Histone	Hhon_g00184.t1	Histone
Histone	Hhon_g00674.t1	7tm_1 Histone
Histone	Hhon_g01009.t1	Histone Histone_H2A_C Macro
Histone	Hhon_g02498.t1	Histone Histone_H2A_C
Histone	Hhon_g04967.t1	Histone Histone_H2A_C
Histone	Hhon_g06924.t1	Histone
Histone	Hhon_g09811.t1	Histone
Histone	Hhon_g11344.t1	Histone
Histone_H2A_C	Hhon_g01009.t1	Histone Histone_H2A_C Macro
Histone_H2A_C	Hhon_g02498.t1	Histone Histone_H2A_C
Histone_H2A_C	Hhon_g04967.t1	Histone Histone_H2A_C
Linker_histone	Hhon_g00175.t1	Linker_histone PHD SAM_1
Linker_histone	Hhon_g00465.t1	Linker_histone
Linker_histone	Hhon_g05246.t1	Linker_histone PHD zf-MYST MOZ_SAS
