#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_1	4	4	4	1.0
OG_2	4	4	4	1.0
OG_3	4	4	4	1.0
OG_4	4	4	4	1.0
OG_5	4	4	4	1.0
OG_6	4	4	4	1.0
OG_7	4	4	4	1.0
OG_8	4	4	4	1.0
OG_9	4	4	4	1.0
OG_10	4	4	4	1.0
OG_11	4	4	4	1.0
OG_12	4	4	4	1.0
OG_13	4	4	4	1.0
OG_14	4	4	4	1.0
OG_15	4	4	4	1.0
OG_16	4	4	4	1.0
OG_17	4	4	4	1.0
OG_18	4	4	4	1.0
OG_19	4	4	4	1.0
OG_20	4	4	4	1.0
OG_21	4	4	4	1.0
OG_22	4	4	4	1.0
OG_23	4	4	4	1.0
OG_24	4	4	4	1.0
OG_25	4	4	4	1.0
OG_26	4	4	4	1.0
OG_27	4	4	4	1.0
OG_28	4	4	4	1.0
OG_29	4	4	4	1.0
OG_30	4	4	4	1.0
OG_31	4	4	4	1.0
OG_32	4	5	5	0.9
OG_33	4	4	4	1.0
OG_34	4	4	4	1.0
OG_35	4	4	4	1.0
OG_36	4	4	4	1.0
OG_37	4	4	4	1.0
OG_38	4	4	4	1.0
OG_39	4	4	4	1.0
OG_40	4	4	4	1.0
OG_41	4	4	4	1.0
OG_42	3	3	3	1.0
OG_43	2	2	2	1.0
OG_44	4	4	4	1.0
OG_45	4	4	4	1.0
OG_46	4	4	4	1.0
OG_47	4	4	4	1.0
OG_48	2	2	2	1.0
OG_49	4	4	4	1.0
OG_50	4	4	4	1.0
OG_51	4	4	4	1.0
OG_52	4	4	4	1.0
OG_53	4	4	4	1.0
OG_54	4	4	4	1.0
OG_55	4	4	4	1.0
OG_56	4	4	4	1.0
OG_57	4	4	4	1.0
OG_58	4	4	4	1.0
OG_59	4	4	4	1.0
OG_60	4	4	4	1.0
OG_61	4	4	4	1.0
OG_62	4	4	4	1.0
OG_63	4	4	4	1.0
OG_64	4	4	4	1.0
OG_65	4	4	4	1.0
OG_66	4	4	4	1.0
OG_67	4	4	4	1.0
OG_68	4	4	4	1.0
OG_69	4	4	4	1.0
OG_70	4	4	4	1.0
OG_71	4	4	4	1.0
OG_72	4	4	4	1.0
OG_73	4	4	4	1.0
OG_74	4	4	4	1.0
OG_75	4	4	4	1.0
OG_76	4	4	4	1.0
OG_77	4	4	4	1.0
OG_78	4	4	4	1.0
OG_79	4	4	4	1.0
OG_80	4	4	4	1.0
OG_81	4	4	4	1.0
OG_82	4	4	4	1.0
OG_83	4	4	4	1.0
OG_84	4	4	4	1.0
OG_85	4	4	4	1.0
OG_86	4	4	4	1.0
OG_87	4	4	4	1.0
OG_88	4	4	4	1.0
OG_89	4	4	4	1.0
OG_90	2	2	2	1.0
OG_91	4	4	4	1.0
OG_92	4	4	4	1.0
OG_93	4	4	4	1.0
OG_94	4	4	4	1.0
OG_95	4	4	4	1.0
OG_96	4	4	4	1.0
OG_97	4	4	4	1.0
OG_98	4	4	4	1.0
OG_99	4	4	4	1.0
OG_100	4	4	4	1.0
OG_101	4	4	4	1.0
OG_102	4	4	4	1.0
OG_103	4	4	4	1.0
OG_104	4	4	4	1.0
OG_105	4	4	4	1.0
OG_106	4	4	4	1.0
OG_107	4	4	4	1.0
OG_108	4	4	4	1.0
OG_109	4	4	4	1.0
OG_110	4	5	5	1.0
OG_111	4	4	4	1.0
OG_112	4	4	4	1.0
OG_113	4	4	4	1.0
OG_114	4	4	4	1.0
OG_115	4	4	4	1.0
OG_116	4	4	4	1.0
OG_117	4	4	4	1.0
OG_118	4	4	4	1.0
OG_119	4	4	4	1.0
OG_120	4	4	4	1.0
OG_121	4	4	4	1.0
OG_122	4	4	4	1.0
OG_123	4	4	4	1.0
OG_124	4	4	4	1.0
OG_125	3	3	3	1.0
OG_126	4	4	4	1.0
OG_127	4	4	4	1.0
OG_128	4	4	4	1.0
OG_129	4	4	4	1.0
OG_130	4	4	4	1.0
OG_131	4	4	4	1.0
OG_132	4	4	4	1.0
OG_133	4	4	4	1.0
OG_134	4	4	4	1.0
OG_135	4	4	4	1.0
OG_136	4	4	4	1.0
OG_137	4	4	4	1.0
OG_138	4	4	4	1.0
OG_139	4	4	4	1.0
OG_140	4	4	4	1.0
OG_141	4	4	4	1.0
OG_142	4	4	4	1.0
OG_143	4	4	4	1.0
OG_144	4	4	4	1.0
OG_145	3	3	3	1.0
OG_146	4	4	4	1.0
OG_147	4	4	4	1.0
OG_148	4	4	4	1.0
OG_149	4	4	4	1.0
OG_150	4	4	4	1.0
OG_151	4	4	4	1.0
OG_152	4	4	4	1.0
OG_153	4	4	4	1.0
OG_154	4	4	4	1.0
OG_155	4	4	4	1.0
OG_156	4	4	4	1.0
OG_157	4	4	4	1.0
OG_158	4	4	4	1.0
OG_159	4	4	4	1.0
OG_160	4	4	4	1.0
OG_161	4	4	4	1.0
OG_162	4	4	4	1.0
OG_163	4	4	4	1.0
OG_164	4	4	4	1.0
OG_165	4	4	4	1.0
OG_166	4	4	4	1.0
OG_167	4	4	4	1.0
OG_168	4	4	4	1.0
OG_169	4	4	4	1.0
OG_170	4	4	4	1.0
OG_171	4	4	4	1.0
OG_172	4	4	4	1.0
OG_173	4	4	4	1.0
OG_174	4	4	4	1.0
OG_175	4	4	4	1.0
OG_176	4	4	4	1.0
OG_177	4	4	4	1.0
OG_178	4	4	4	1.0
OG_179	4	4	4	1.0
OG_180	4	4	4	1.0
OG_181	4	4	4	1.0
OG_182	4	4	4	1.0
OG_183	4	4	4	1.0
OG_184	4	4	4	1.0
OG_185	4	4	4	1.0
OG_186	4	4	4	1.0
OG_187	4	4	4	1.0
OG_188	4	4	4	1.0
OG_189	4	4	4	1.0
OG_190	4	4	4	1.0
OG_191	4	4	4	1.0
OG_192	4	4	4	1.0
OG_193	4	4	4	1.0
OG_194	4	4	4	1.0
OG_195	4	4	4	1.0
OG_196	4	4	4	1.0
OG_197	4	4	4	1.0
OG_198	4	4	4	1.0
OG_199	4	4	4	1.0
OG_200	4	4	4	1.0
OG_201	4	4	4	1.0
OG_202	4	4	4	1.0
OG_203	4	4	4	1.0
OG_204	4	4	4	1.0
OG_205	4	4	4	1.0
OG_206	4	4	4	1.0
OG_207	3	3	3	1.0
OG_208	4	4	4	1.0
OG_209	4	4	4	1.0
OG_210	4	4	4	1.0
OG_211	4	4	4	1.0
OG_212	4	4	4	1.0
OG_213	4	4	4	1.0
OG_214	4	4	4	1.0
OG_215	4	4	4	1.0
OG_216	4	4	4	1.0
OG_217	4	4	4	1.0
OG_218	4	4	4	1.0
OG_219	4	4	4	1.0
OG_220	4	4	4	1.0
OG_221	4	4	4	1.0
OG_222	4	4	4	1.0
OG_223	4	4	4	1.0
OG_224	4	4	4	1.0
OG_225	4	4	4	1.0
OG_226	4	4	4	1.0
OG_227	4	4	4	1.0
OG_228	4	4	4	1.0
OG_229	4	4	4	1.0
OG_230	4	4	4	1.0
OG_231	4	4	4	1.0
OG_232	4	4	4	1.0
OG_233	4	4	4	1.0
OG_234	3	3	3	1.0
OG_235	4	4	4	1.0
OG_236	4	4	4	1.0
OG_237	4	4	4	1.0
OG_238	4	4	4	1.0
OG_239	4	4	4	1.0
OG_240	4	4	4	1.0
OG_241	4	4	4	1.0
OG_242	4	4	4	1.0
OG_243	4	4	4	1.0
