	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_1	0	0	0	0	0	0	1
OG_10	0	0	0	0	0	0	1
OG_100	0	0	0	0	0	0	1
OG_1000	0	0	0	0	0	0	1
OG_10000	0	0	0	0	0	0	1
OG_10001	0	0	0	0	0	0	1
OG_10002	0	0	0	0	0	0	1
OG_10003	0	0	0	0	0	0	1
OG_10004	0	0	0	0	0	0	1
OG_10005	0	0	0	0	0	0	1
OG_10006	0	0	0	0	0	0	1
OG_10007	0	0	0	0	0	0	1
OG_10008	0	0	0	0	1	0	0
OG_10009	0	0	0	0	0	0	1
OG_1001	0	0	0	0	0	0	1
OG_10010	0	0	0	0	0	0	1
OG_10011	0	0	0	0	0	0	1
OG_10012	0	0	0	0	0	0	1
OG_10013	0	0	0	0	0	0	1
OG_10014	0	0	0	0	0	0	1
OG_10015	0	0	0	0	0	0	1
OG_10016	0	0	0	0	1	0	0
OG_10017	0	0	0	0	0	1	0
OG_10018	0	0	0	0	0	0	1
OG_10019	0	0	0	0	0	0	1
OG_1002	0	0	0	0	0	0	1
OG_10020	0	0	0	0	0	0	1
OG_10021	0	0	0	0	0	0	1
OG_10022	0	0	0	0	0	0	1
OG_10023	0	0	0	0	0	0	1
OG_10024	0	0	0	0	0	0	1
OG_10025	0	0	0	0	0	0	1
OG_10026	0	0	0	0	0	0	1
OG_10027	0	0	0	0	0	0	1
OG_10028	0	0	0	0	0	0	1
OG_10029	0	0	0	0	0	0	1
OG_1003	0	0	0	0	0	0	1
OG_10030	0	0	0	0	0	0	1
OG_10031	0	0	0	0	0	0	1
OG_10032	0	0	0	0	0	0	1
OG_10033	0	0	0	0	0	0	1
OG_10034	0	0	0	0	0	0	1
OG_10035	0	0	0	0	0	0	1
OG_10036	0	0	0	0	0	0	1
OG_10037	0	0	0	0	0	0	1
OG_10038	0	0	0	0	0	0	1
OG_10039	0	0	0	0	0	0	1
OG_1004	0	0	0	0	0	0	1
OG_10040	0	0	0	0	0	0	1
OG_10041	0	0	0	0	0	0	1
OG_10042	0	0	0	0	0	0	1
OG_10043	0	0	0	0	0	0	1
OG_10044	0	0	0	0	0	0	1
OG_10045	0	0	0	0	0	0	1
OG_10046	0	0	0	0	1	0	0
OG_10047	0	0	0	0	0	0	1
OG_10048	0	0	0	0	0	0	1
OG_10049	0	0	0	0	0	0	1
OG_1005	0	0	0	0	0	0	1
OG_10050	0	0	0	0	0	0	1
OG_10051	0	0	0	0	0	0	1
OG_10052	0	0	0	0	0	0	1
OG_10053	0	0	0	0	0	0	1
OG_10054	0	0	0	0	0	0	1
OG_10055	0	0	0	0	0	0	1
OG_10056	0	0	0	0	0	0	1
OG_10057	0	0	0	0	0	0	1
OG_10058	0	0	0	0	0	0	1
OG_10059	0	0	0	0	0	0	1
OG_1006	0	0	0	0	0	0	1
OG_10060	0	0	0	0	0	1	0
OG_10061	0	0	0	0	0	0	1
OG_10062	0	0	0	0	0	0	1
OG_10063	0	0	0	0	0	0	1
OG_10064	0	0	0	0	0	0	1
OG_10065	0	0	0	0	0	0	1
OG_10066	0	0	0	0	0	0	1
OG_10067	0	0	0	0	0	0	1
OG_10068	0	0	0	0	0	0	1
OG_10069	0	0	0	0	0	0	1
OG_1007	0	0	0	0	0	0	1
OG_10070	0	0	0	0	0	0	1
OG_10071	0	0	0	0	0	0	1
OG_10072	0	0	0	0	0	0	1
OG_10073	0	0	0	0	0	0	1
OG_10074	0	0	0	0	0	0	1
OG_10075	0	0	0	0	0	0	1
OG_10076	0	0	0	0	0	0	1
OG_10077	0	0	0	0	0	0	1
OG_10078	0	0	0	0	0	0	1
OG_10079	0	0	0	0	0	0	1
OG_1008	0	0	0	0	0	0	1
OG_10080	0	0	0	0	0	0	1
OG_10081	0	0	0	0	0	0	1
OG_10082	0	0	0	0	0	0	1
OG_10083	0	0	0	0	0	0	1
OG_10084	0	0	0	0	0	0	1
OG_10085	0	0	0	0	0	0	1
OG_10086	0	0	0	0	0	0	1
OG_10087	0	0	0	0	0	0	1
OG_10088	0	0	0	0	0	0	1
OG_10089	0	0	0	0	0	0	1
OG_1009	0	0	0	0	0	0	1
OG_10090	0	0	0	0	0	0	1
OG_10091	0	0	0	0	0	0	1
OG_10092	0	0	0	0	0	0	1
OG_10093	0	0	0	0	0	0	1
OG_10094	0	0	0	0	0	0	1
OG_10095	0	0	0	0	0	0	1
OG_10096	0	0	0	0	0	0	1
OG_10097	0	0	0	0	0	0	1
OG_10098	0	0	0	0	0	0	1
OG_10099	0	0	0	0	0	0	1
OG_101	0	0	0	0	0	0	1
OG_1010	0	0	0	0	0	0	1
OG_10100	0	0	0	0	0	0	1
OG_10101	0	0	0	0	0	0	1
OG_10102	0	0	0	0	0	0	1
OG_10103	0	0	0	0	0	0	1
OG_10104	0	0	0	0	0	0	1
OG_10105	0	0	0	0	0	0	1
OG_10106	0	0	0	0	0	0	1
OG_10107	0	0	0	0	0	0	1
OG_10108	0	0	0	0	0	0	1
OG_10109	0	0	0	0	0	0	1
OG_1011	0	0	0	0	1	0	0
OG_10110	0	0	0	0	0	0	1
OG_10111	0	0	0	0	0	0	1
OG_10112	0	0	0	0	0	0	1
OG_10113	0	0	0	0	0	0	1
OG_10114	0	0	0	0	1	0	0
OG_10115	0	0	0	0	0	0	1
OG_10116	0	0	0	0	0	0	1
OG_10117	0	0	0	0	0	0	1
OG_10118	0	0	0	0	0	0	1
OG_10119	0	0	0	0	1	0	0
OG_1012	0	0	0	0	0	0	1
OG_10120	0	0	0	0	0	0	1
OG_10121	0	0	0	0	0	0	1
OG_10122	0	0	0	0	0	0	1
OG_10123	0	0	0	0	0	0	1
OG_10124	0	0	0	0	0	0	1
OG_10125	0	0	0	0	0	0	1
OG_10126	0	0	0	0	0	0	1
OG_10127	0	0	0	0	0	0	1
OG_10128	0	0	0	0	0	0	1
OG_10129	0	0	0	0	0	0	1
OG_1013	0	0	0	0	0	0	1
OG_10130	0	0	0	0	0	0	1
OG_10131	0	0	0	0	0	0	1
OG_10132	0	0	0	0	0	0	1
OG_10133	0	0	0	0	0	0	1
OG_10134	0	0	0	0	0	0	1
OG_10135	0	0	0	0	0	0	1
OG_10136	0	0	0	0	0	0	1
OG_10137	0	0	0	0	0	0	1
OG_10138	0	0	0	0	0	0	1
OG_10139	0	0	0	0	0	0	1
OG_1014	0	0	0	0	0	0	1
OG_10140	0	0	0	0	0	0	1
OG_10141	0	0	0	0	0	0	1
OG_10142	0	0	0	0	0	0	1
OG_10143	0	0	0	0	0	0	1
OG_10144	0	0	0	0	0	0	1
OG_10145	0	0	0	0	0	0	1
OG_10146	0	0	0	0	0	0	1
OG_10147	0	0	0	0	0	0	1
OG_10148	0	0	0	0	0	0	1
OG_10149	0	0	0	0	0	0	1
OG_1015	0	0	0	0	0	0	1
OG_10150	0	0	0	0	0	0	1
OG_10151	0	0	0	0	0	0	1
OG_10152	0	0	0	0	0	0	1
OG_10153	0	0	0	0	0	0	1
OG_10154	0	0	0	0	0	0	1
OG_10155	0	0	0	0	0	0	1
OG_10156	0	0	0	0	0	0	1
OG_10157	0	0	0	0	0	0	1
OG_10158	0	0	0	0	0	0	1
OG_10159	0	0	0	0	0	0	1
OG_1016	0	0	0	0	0	0	1
OG_10160	0	0	0	0	0	0	1
OG_10161	0	0	0	0	0	0	1
OG_10162	0	0	0	0	0	0	1
