	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_1	1	1	1	1	1	1	1
OG_10	1	1	1	1	1	1	1
OG_100	1	1	1	1	1	1	1
OG_1000	1	1	1	1	1	1	1
OG_10000	1	1	1	1	1	1	1
OG_10001	1	1	1	1	1	1	1
OG_10002	1	1	1	1	1	1	1
OG_10003	1	1	1	1	1	1	1
OG_10004	1	1	1	1	1	1	1
OG_10005	1	1	1	1	1	1	1
OG_10006	1	1	1	1	1	1	1
OG_10007	1	1	1	2	1	1	1
OG_10008	0	0	1	1	1	0	0
OG_10009	1	1	1	1	1	1	1
OG_1001	1	1	1	1	1	1	1
OG_10010	1	1	1	1	1	1	1
OG_10011	1	1	1	1	1	1	1
OG_10012	1	1	1	1	1	1	1
OG_10013	1	1	1	1	1	1	1
OG_10014	2	1	2	2	1	1	1
OG_10015	1	1	1	1	1	1	1
OG_10016	0	0	1	1	1	0	0
OG_10017	1	1	0	0	0	1	0
OG_10018	1	1	1	0	1	1	1
OG_10019	1	1	0	1	1	1	1
OG_1002	1	1	1	1	1	1	1
OG_10020	1	1	0	1	1	1	1
OG_10021	1	1	1	1	1	1	1
OG_10022	1	1	1	1	1	1	1
OG_10023	1	1	1	1	1	1	1
OG_10024	3	1	5	2	1	1	1
OG_10025	2	2	1	1	1	1	1
OG_10026	1	1	1	1	1	1	1
OG_10027	1	1	1	1	1	1	1
OG_10028	2	1	1	1	1	1	1
OG_10029	1	1	1	1	1	1	1
OG_1003	1	1	1	1	1	1	1
OG_10030	1	1	1	1	1	1	1
OG_10031	1	1	0	1	1	1	1
OG_10032	1	1	2	2	1	1	1
OG_10033	2	1	1	1	1	1	1
OG_10034	1	1	1	1	1	1	1
OG_10035	1	1	1	1	1	1	1
OG_10036	2	1	1	1	1	1	1
OG_10037	1	1	1	1	1	1	1
OG_10038	0	1	0	1	1	1	1
OG_10039	1	1	2	3	1	1	1
OG_1004	1	1	1	1	1	1	1
OG_10040	1	1	1	1	1	1	1
OG_10041	1	1	1	1	1	1	1
OG_10042	1	1	1	1	1	1	1
OG_10043	1	2	1	1	1	1	1
OG_10044	1	1	1	1	1	1	1
OG_10045	1	1	1	1	1	1	1
OG_10046	0	0	1	1	1	0	0
OG_10047	1	1	1	1	1	1	1
OG_10048	3	2	1	1	1	1	1
OG_10049	1	1	1	1	1	1	1
OG_1005	1	1	1	1	1	1	1
OG_10050	1	1	1	1	1	1	1
OG_10051	1	1	1	1	1	1	1
OG_10052	1	1	1	1	1	1	1
OG_10053	1	1	2	1	1	1	1
OG_10054	1	1	1	1	1	1	1
OG_10055	1	1	1	1	1	1	1
OG_10056	1	1	1	2	1	1	1
OG_10057	1	1	2	1	1	1	1
OG_10058	1	1	3	1	1	1	1
OG_10059	1	1	2	1	1	1	1
