orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_1	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_100	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_1000	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10000	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10001	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10002	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10003	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10004	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10005	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10006	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10007	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	8
OG_10008	Hhon,HoiH23	Hoilungia		1	0	3
OG_10009	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_1001	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10010	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10011	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10012	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10013	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10014	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	10
OG_10015	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10016	Hhon,HoiH23	Hoilungia		1	0	3
OG_10017	Tadh,TrH2	Trichoplax		1	0	3
OG_10018	Hhon,Tadh,TrH2	Placozoa	HoiH23	1	1	6
OG_10019	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	6
OG_1002	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10020	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	6
OG_10021	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10022	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
