#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_1	9	11	11	1.0
OG_2	7	7	7	0.9048
OG_3	4	4	4	1.0
OG_4	11	158	158	0.1609
OG_5	11	13	13	1.0
OG_6	8	15	15	1.0
OG_7	11	17	17	1.0
OG_8	10	11	11	1.0
OG_9	12	13	13	1.0
OG_10	12	20	20	1.0
OG_11	11	15	15	1.0
OG_12	11	19	19	0.8772
OG_13	11	20	20	1.0
OG_14	6	6	6	1.0
OG_15	12	58	58	0.2601
OG_16	12	716	716	0.0602
OG_17	12	14	14	1.0
OG_18	4	4	4	1.0
OG_19	12	13	13	1.0
OG_20	12	28	28	0.9683
OG_21	11	14	14	1.0
OG_22	12	13	13	1.0
OG_23	2	14	14	0.4945
OG_24	6	207	207	0.064
OG_25	12	14	14	1.0
OG_26	10	16	16	0.7667
OG_27	11	13	13	1.0
OG_28	12	19	19	0.7368
OG_29	12	15	15	0.8952
OG_30	12	15	15	1.0
OG_31	12	989	989	0.0415
OG_32	5	13	13	1.0
OG_33	5	7	7	1.0
OG_34	12	15	15	1.0
OG_35	12	16	16	0.9167
OG_36	5	5	5	1.0
OG_37	12	15	15	1.0
OG_38	6	9	9	1.0
OG_39	9	14	14	1.0
OG_40	9	11	11	1.0
OG_41	11	13	13	0.8846
OG_42	12	14	14	0.9011
OG_43	10	10	10	1.0
OG_44	12	12	12	1.0
OG_45	11	16	16	0.85
OG_46	11	58	58	0.5445
OG_47	11	13	13	1.0
OG_48	11	29	29	0.6256
OG_49	10	262	262	0.0927
OG_50	12	16	16	0.7833
OG_51	11	15	15	1.0
OG_52	12	18	18	1.0
OG_53	12	23	23	0.917
OG_54	9	11	11	0.8727
OG_55	5	48	48	0.3041
OG_56	12	18	18	1.0
OG_57	12	15	15	1.0
OG_58	12	32	32	0.4052
OG_59	11	12	12	1.0
OG_60	2	7	7	1.0
OG_61	11	11	11	1.0
OG_62	12	22	22	0.8571
OG_63	9	12	12	0.7273
OG_64	11	12	12	1.0
OG_65	10	11	11	1.0
OG_66	12	16	16	0.55
OG_67	2	6	6	0.7333
OG_68	7	9	9	1.0
OG_69	11	15	15	1.0
OG_70	11	14	14	1.0
OG_71	12	13	13	1.0
OG_72	5	6	6	0.7333
OG_73	2	33	33	0.3504
OG_74	6	263	263	0.0993
OG_75	8	8	8	1.0
OG_76	7	61	61	0.2388
OG_77	12	18	18	0.8431
OG_78	8	9	9	0.8611
OG_79	12	19	19	0.8187
OG_80	6	196	196	0.304
OG_81	7	608	608	0.0368
