to	similarity	from	from_sps	to_sps
Nvec|cnidocyte	0.132075471698113	Tadh|fibre	Tadh	Nvec
Nvec|muscle	0.264150943396226	Tadh|fibre	Tadh	Nvec
Nvec|gastrodermis_muscle	0.509433962264151	Tadh|fibre	Tadh	Nvec
Nvec|gastrodermis	0.358490566037736	Tadh|fibre	Tadh	Nvec
Nvec|digestive_filaments	0.226415094339623	Tadh|fibre	Tadh	Nvec
Nvec|epidermis	0.207547169811321	Tadh|fibre	Tadh	Nvec
Nvec|precursors	0.113207547169811	Tadh|fibre	Tadh	Nvec
Nvec|neuron	0.0754716981132075	Tadh|fibre	Tadh	Nvec
Nvec|gland	0.0188679245283019	Tadh|fibre	Tadh	Nvec
Hvul|cnidocyte	0.119047619047619	Tadh|fibre	Tadh	Hvul
Hvul|gastrodermis	0.642857142857143	Tadh|fibre	Tadh	Hvul
Hvul|epidermis	0.380952380952381	Tadh|fibre	Tadh	Hvul
Hvul|germline	0.0238095238095238	Tadh|fibre	Tadh	Hvul
Hvul|precursors	0	Tadh|fibre	Tadh	Hvul
Hvul|neuron	0.214285714285714	Tadh|fibre	Tadh	Hvul
Hvul|gland	0	Tadh|fibre	Tadh	Hvul
Spis|cnidocyte	0.156862745098039	Tadh|fibre	Tadh	Spis
Spis|gastrodermis	0.274509803921569	Tadh|fibre	Tadh	Spis
Spis|alga-hosting_cells	0.392156862745098	Tadh|fibre	Tadh	Spis
Spis|mitotic_host_cells	0.0392156862745098	Tadh|fibre	Tadh	Spis
Spis|germline	0.176470588235294	Tadh|fibre	Tadh	Spis
Spis|digestive	0.0196078431372549	Tadh|fibre	Tadh	Spis
Spis|epidermis	0.0980392156862745	Tadh|fibre	Tadh	Spis
Spis|calicoblast	0.0980392156862745	Tadh|fibre	Tadh	Spis
Spis|neuron	0.0588235294117647	Tadh|fibre	Tadh	Spis
Spis|gland	0	Tadh|fibre	Tadh	Spis
Spis|unknown	0.137254901960784	Tadh|fibre	Tadh	Spis
Spis|immune	0.156862745098039	Tadh|fibre	Tadh	Spis
Mmus|marrow	0.157894736842105	Tadh|fibre	Tadh	Mmus
Mmus|vascular_cells	0.210526315789474	Tadh|fibre	Tadh	Mmus
Mmus|glia	0.136842105263158	Tadh|fibre	Tadh	Mmus
Mmus|lung	0.189473684210526	Tadh|fibre	Tadh	Mmus
Mmus|liver	0.210526315789474	Tadh|fibre	Tadh	Mmus
Mmus|trachea	0.0315789473684211	Tadh|fibre	Tadh	Mmus
Mmus|limb_muscle	0.0315789473684211	Tadh|fibre	Tadh	Mmus
Mmus|kidney	0.2	Tadh|fibre	Tadh	Mmus
Mmus|tongue	0.115789473684211	Tadh|fibre	Tadh	Mmus
Mmus|heart_and_aorta	0.115789473684211	Tadh|fibre	Tadh	Mmus
Mmus|bladder	0.0736842105263158	Tadh|fibre	Tadh	Mmus
Mmus|mammary_gland	0.0421052631578947	Tadh|fibre	Tadh	Mmus
Mmus|neuron	0.0947368421052632	Tadh|fibre	Tadh	Mmus
Mmus|spleen	0.168421052631579	Tadh|fibre	Tadh	Mmus
Mmus|immune_cells	0.368421052631579	Tadh|fibre	Tadh	Mmus
Mmus|thymus	0.147368421052632	Tadh|fibre	Tadh	Mmus
Dmel|Female_Reproductive_System	0.241071428571429	Tadh|fibre	Tadh	Dmel
Dmel|Muscle_Cell	0.0803571428571429	Tadh|fibre	Tadh	Dmel
Dmel|Epithelial_Cell	0.125	Tadh|fibre	Tadh	Dmel
Dmel|Hemocyte	0.258928571428571	Tadh|fibre	Tadh	Dmel
Dmel|Glial_Cell	0.133928571428571	Tadh|fibre	Tadh	Dmel
Dmel|unannotated	0.0357142857142857	Tadh|fibre	Tadh	Dmel
Dmel|Gland	0.205357142857143	Tadh|fibre	Tadh	Dmel
Dmel|Male_Reproductive_System	0.151785714285714	Tadh|fibre	Tadh	Dmel
Dmel|Male_Germline_Cell	0.196428571428571	Tadh|fibre	Tadh	Dmel
Dmel|Adipose_System	0.223214285714286	Tadh|fibre	Tadh	Dmel
Dmel|Excretory_System	0.0803571428571429	Tadh|fibre	Tadh	Dmel
Dmel|Gut_Cell	0.0982142857142857	Tadh|fibre	Tadh	Dmel
Dmel|neuron	0.0803571428571429	Tadh|fibre	Tadh	Dmel
Dmel|Oenocyte	0.0803571428571429	Tadh|fibre	Tadh	Dmel
Dmel|neuron_other_cells	0.383928571428571	Tadh|fibre	Tadh	Dmel
Dmel|Cardial_Cell	0.0803571428571429	Tadh|fibre	Tadh	Dmel
Dmel|Tracheal_Cell	0.107142857142857	Tadh|fibre	Tadh	Dmel
Dmel|Germline_Cell	0.348214285714286	Tadh|fibre	Tadh	Dmel
Dmel|Pigment_Cell	0.160714285714286	Tadh|fibre	Tadh	Dmel
Dmel|Female_Germline_Cell	0.455357142857143	Tadh|fibre	Tadh	Dmel
Mlei|digestive	0.436363636363636	Tadh|fibre	Tadh	Mlei
Mlei|epithelia	0.109090909090909	Tadh|fibre	Tadh	Mlei
Mlei|unknown	0	Tadh|fibre	Tadh	Mlei
Mlei|neuron	0.0545454545454545	Tadh|fibre	Tadh	Mlei
