to	similarity	from	from_sps	to_sps
Nvec|cnidocyte	0.373993971036305	Tadh|peptidergic	Tadh	Nvec
Nvec|muscle	0.045735323901058	Tadh|peptidergic	Tadh	Nvec
Nvec|gastrodermis_muscle	0	Tadh|peptidergic	Tadh	Nvec
Nvec|gastrodermis	0	Tadh|peptidergic	Tadh	Nvec
Nvec|digestive_filaments	0	Tadh|peptidergic	Tadh	Nvec
Nvec|epidermis	0	Tadh|peptidergic	Tadh	Nvec
Nvec|precursors	0	Tadh|peptidergic	Tadh	Nvec
Nvec|neuron	0.522971492127678	Tadh|peptidergic	Tadh	Nvec
Nvec|gland	0.550255956167968	Tadh|peptidergic	Tadh	Nvec
Hvul|cnidocyte	0	Tadh|peptidergic	Tadh	Hvul
Hvul|gastrodermis	0.0517054816069406	Tadh|peptidergic	Tadh	Hvul
Hvul|epidermis	0.131111261205915	Tadh|peptidergic	Tadh	Hvul
Hvul|germline	0	Tadh|peptidergic	Tadh	Hvul
Hvul|precursors	0	Tadh|peptidergic	Tadh	Hvul
Hvul|neuron	0.577823597560389	Tadh|peptidergic	Tadh	Hvul
Hvul|gland	0.143189368072127	Tadh|peptidergic	Tadh	Hvul
Spis|cnidocyte	0.0642653442655084	Tadh|peptidergic	Tadh	Spis
Spis|gastrodermis	0	Tadh|peptidergic	Tadh	Spis
Spis|alga-hosting_cells	0	Tadh|peptidergic	Tadh	Spis
Spis|mitotic_host_cells	0.0289926285032749	Tadh|peptidergic	Tadh	Spis
Spis|germline	0	Tadh|peptidergic	Tadh	Spis
Spis|digestive	0.0979313497080123	Tadh|peptidergic	Tadh	Spis
Spis|epidermis	0	Tadh|peptidergic	Tadh	Spis
Spis|calicoblast	0.0781287709890005	Tadh|peptidergic	Tadh	Spis
Spis|neuron	0.595339718907697	Tadh|peptidergic	Tadh	Spis
Spis|gland	0.300582988735955	Tadh|peptidergic	Tadh	Spis
Spis|unknown	0.105695471448584	Tadh|peptidergic	Tadh	Spis
Spis|immune	0.0644282346454387	Tadh|peptidergic	Tadh	Spis
Mmus|marrow	0	Tadh|peptidergic	Tadh	Mmus
Mmus|vascular_cells	0.297273785322389	Tadh|peptidergic	Tadh	Mmus
Mmus|glia	0.352222298264844	Tadh|peptidergic	Tadh	Mmus
Mmus|lung	0.0579167209355133	Tadh|peptidergic	Tadh	Mmus
Mmus|liver	0.0332485780091498	Tadh|peptidergic	Tadh	Mmus
Mmus|trachea	0.0231876388498588	Tadh|peptidergic	Tadh	Mmus
Mmus|limb_muscle	0	Tadh|peptidergic	Tadh	Mmus
Mmus|kidney	0.0964440764781698	Tadh|peptidergic	Tadh	Mmus
Mmus|tongue	0	Tadh|peptidergic	Tadh	Mmus
Mmus|heart_and_aorta	0.258385905330514	Tadh|peptidergic	Tadh	Mmus
Mmus|bladder	0	Tadh|peptidergic	Tadh	Mmus
Mmus|mammary_gland	0	Tadh|peptidergic	Tadh	Mmus
Mmus|neuron	0.64149205961424	Tadh|peptidergic	Tadh	Mmus
Mmus|spleen	0	Tadh|peptidergic	Tadh	Mmus
Mmus|immune_cells	0.0165671737962386	Tadh|peptidergic	Tadh	Mmus
Mmus|thymus	0	Tadh|peptidergic	Tadh	Mmus
Dmel|Female_Reproductive_System	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Muscle_Cell	0.085471109274657	Tadh|peptidergic	Tadh	Dmel
Dmel|Epithelial_Cell	0.240605308679702	Tadh|peptidergic	Tadh	Dmel
Dmel|Hemocyte	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Glial_Cell	0.337361851229579	Tadh|peptidergic	Tadh	Dmel
Dmel|unannotated	0.611371458160794	Tadh|peptidergic	Tadh	Dmel
Dmel|Gland	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Male_Reproductive_System	0.185376857571356	Tadh|peptidergic	Tadh	Dmel
Dmel|Male_Germline_Cell	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Adipose_System	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Excretory_System	0.110716776192408	Tadh|peptidergic	Tadh	Dmel
Dmel|Gut_Cell	0.0468269085351301	Tadh|peptidergic	Tadh	Dmel
Dmel|neuron	0.506305252347774	Tadh|peptidergic	Tadh	Dmel
Dmel|Oenocyte	0	Tadh|peptidergic	Tadh	Dmel
Dmel|neuron_other_cells	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Cardial_Cell	0.17987963440985	Tadh|peptidergic	Tadh	Dmel
Dmel|Tracheal_Cell	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Germline_Cell	0	Tadh|peptidergic	Tadh	Dmel
Dmel|Pigment_Cell	0.319680095871694	Tadh|peptidergic	Tadh	Dmel
Dmel|Female_Germline_Cell	0	Tadh|peptidergic	Tadh	Dmel
Mlei|digestive	0	Tadh|peptidergic	Tadh	Mlei
Mlei|epithelia	0	Tadh|peptidergic	Tadh	Mlei
Mlei|unknown	0.00922525856040494	Tadh|peptidergic	Tadh	Mlei
Mlei|neuron	0.211319655721776	Tadh|peptidergic	Tadh	Mlei
Mlei|muscle	0	Tadh|peptidergic	Tadh	Mlei
Mlei|comb	0.236388307830765	Tadh|peptidergic	Tadh	Mlei
Mlei|lens	0	Tadh|peptidergic	Tadh	Mlei
Mlei|tentacle	0.152806754274205	Tadh|peptidergic	Tadh	Mlei
Mlei|colloblast	0	Tadh|peptidergic	Tadh	Mlei
Spolac|archaeocyte	0	Tadh|peptidergic	Tadh	Spolac
Spolac|precursor	0	Tadh|peptidergic	Tadh	Spolac
Spolac|choanoblast	0.26082686589749	Tadh|peptidergic	Tadh	Spolac
Spolac|choanocyte	0.344338796580417	Tadh|peptidergic	Tadh	Spolac
Spolac|apopylar_cell	0.403924968991342	Tadh|peptidergic	Tadh	Spolac
Spolac|myopeptidocyte	0.0786153597953022	Tadh|peptidergic	Tadh	Spolac
Spolac|unknown	0	Tadh|peptidergic	Tadh	Spolac
Spolac|lophocyte	0.036383114376876	Tadh|peptidergic	Tadh	Spolac
Spolac|pinacocyte	0.361871901152061	Tadh|peptidergic	Tadh	Spolac
Spolac|sclerophorocyte	0	Tadh|peptidergic	Tadh	Spolac
Spolac|sclerocyte	0	Tadh|peptidergic	Tadh	Spolac
Spolac|granulocyte	0	Tadh|peptidergic	Tadh	Spolac
Spolac|metabolocyte	0	Tadh|peptidergic	Tadh	Spolac
Spolac|neuroid	0	Tadh|peptidergic	Tadh	Spolac
Spolac|amoebocyte	0	Tadh|peptidergic	Tadh	Spolac
Spolac|mesocyte	0.212610246063057	Tadh|peptidergic	Tadh	Spolac
Nvec|cnidocyte	0.462372374054429	TrH2|peptidergic	TrH2	Nvec
Nvec|muscle	0.119522396741064	TrH2|peptidergic	TrH2	Nvec
Nvec|gastrodermis_muscle	0	TrH2|peptidergic	TrH2	Nvec
Nvec|gastrodermis	0	TrH2|peptidergic	TrH2	Nvec
Nvec|digestive_filaments	0	TrH2|peptidergic	TrH2	Nvec
Nvec|epidermis	0	TrH2|peptidergic	TrH2	Nvec
Nvec|precursors	0	TrH2|peptidergic	TrH2	Nvec
Nvec|neuron	0.54323868702284	TrH2|peptidergic	TrH2	Nvec
Nvec|gland	0.548222188892855	TrH2|peptidergic	TrH2	Nvec
Hvul|cnidocyte	0	TrH2|peptidergic	TrH2	Hvul
Hvul|gastrodermis	0.0193930027121392	TrH2|peptidergic	TrH2	Hvul
Hvul|epidermis	0.111666351686662	TrH2|peptidergic	TrH2	Hvul
Hvul|germline	0	TrH2|peptidergic	TrH2	Hvul
Hvul|precursors	0	TrH2|peptidergic	TrH2	Hvul
Hvul|neuron	0.53885818172573	TrH2|peptidergic	TrH2	Hvul
Hvul|gland	0.165371999159583	TrH2|peptidergic	TrH2	Hvul
Spis|cnidocyte	0.111866183240774	TrH2|peptidergic	TrH2	Spis
Spis|gastrodermis	0	TrH2|peptidergic	TrH2	Spis
Spis|alga-hosting_cells	0	TrH2|peptidergic	TrH2	Spis
Spis|mitotic_host_cells	0.0558147890446018	TrH2|peptidergic	TrH2	Spis
Spis|germline	0	TrH2|peptidergic	TrH2	Spis
Spis|digestive	0.072745420657116	TrH2|peptidergic	TrH2	Spis
Spis|epidermis	0	TrH2|peptidergic	TrH2	Spis
Spis|calicoblast	0.114258032593269	TrH2|peptidergic	TrH2	Spis
Spis|neuron	0.449279840433683	TrH2|peptidergic	TrH2	Spis
Spis|gland	0.227400460622403	TrH2|peptidergic	TrH2	Spis
Spis|unknown	0.141566912432894	TrH2|peptidergic	TrH2	Spis
Spis|immune	0.193293529639368	TrH2|peptidergic	TrH2	Spis
Mmus|marrow	0	TrH2|peptidergic	TrH2	Mmus
Mmus|vascular_cells	0.159130230321491	TrH2|peptidergic	TrH2	Mmus
Mmus|glia	0.324390854658287	TrH2|peptidergic	TrH2	Mmus
Mmus|lung	0.0842942253590342	TrH2|peptidergic	TrH2	Mmus
Mmus|liver	0.0626316810623027	TrH2|peptidergic	TrH2	Mmus
Mmus|trachea	0.0922451393782744	TrH2|peptidergic	TrH2	Mmus
Mmus|limb_muscle	0	TrH2|peptidergic	TrH2	Mmus
Mmus|kidney	0.0163742645951382	TrH2|peptidergic	TrH2	Mmus
Mmus|tongue	0	TrH2|peptidergic	TrH2	Mmus
Mmus|heart_and_aorta	0.255499017176383	TrH2|peptidergic	TrH2	Mmus
Mmus|bladder	0	TrH2|peptidergic	TrH2	Mmus
Mmus|mammary_gland	0	TrH2|peptidergic	TrH2	Mmus
Mmus|neuron	0.518160895132013	TrH2|peptidergic	TrH2	Mmus
Mmus|spleen	0	TrH2|peptidergic	TrH2	Mmus
Mmus|immune_cells	0.0527146153346273	TrH2|peptidergic	TrH2	Mmus
Mmus|thymus	0	TrH2|peptidergic	TrH2	Mmus
Dmel|Female_Reproductive_System	0	TrH2|peptidergic	TrH2	Dmel
Dmel|Muscle_Cell	0.0858065646403816	TrH2|peptidergic	TrH2	Dmel
Dmel|Epithelial_Cell	0.252809931928599	TrH2|peptidergic	TrH2	Dmel
Dmel|Hemocyte	0.0200894940727581	TrH2|peptidergic	TrH2	Dmel
Dmel|Glial_Cell	0.230394635632534	TrH2|peptidergic	TrH2	Dmel
Dmel|unannotated	0.507904439408743	TrH2|peptidergic	TrH2	Dmel
Dmel|Gland	0	TrH2|peptidergic	TrH2	Dmel
Dmel|Male_Reproductive_System	0.172820093254921	TrH2|peptidergic	TrH2	Dmel
Dmel|Male_Germline_Cell	0	TrH2|peptidergic	TrH2	Dmel
Dmel|Adipose_System	0	TrH2|peptidergic	TrH2	Dmel
Dmel|Excretory_System	0.116399969906783	TrH2|peptidergic	TrH2	Dmel
Dmel|Gut_Cell	0.0515424082013232	TrH2|peptidergic	TrH2	Dmel
Dmel|neuron	0.410089806050424	TrH2|peptidergic	TrH2	Dmel
Dmel|Oenocyte	0.0181967891423985	TrH2|peptidergic	TrH2	Dmel
Dmel|neuron_other_cells	0	TrH2|peptidergic	TrH2	Dmel
Dmel|Cardial_Cell	0.183956213191705	TrH2|peptidergic	TrH2	Dmel
Dmel|Tracheal_Cell	0.0153249441861128	TrH2|peptidergic	TrH2	Dmel
Dmel|Germline_Cell	0	TrH2|peptidergic	TrH2	Dmel
