	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	TrH2_epithelia_dorsal	TrH2_epithelia_dorsal_like	TrH2_epithelia_gland_like	TrH2_epithelia_unknown_1	TrH2_epithelia_ventral	TrH2_fibre	TrH2_gland_1	TrH2_lipophil	TrH2_peptidergic_alpha	TrH2_peptidergic_beta	TrH2_peptidergic_delta	TrH2_peptidergic_epsilon	TrH2_peptidergic_eta	TrH2_peptidergic_gamma	TrH2_peptidergic_gamma_like	TrH2_peptidergic_iota	TrH2_peptidergic_iota_like	TrH2_peptidergic_kappa	TrH2_peptidergic_lambda	TrH2_peptidergic_mu	TrH2_peptidergic_mu_like	TrH2_peptidergic_nu	TrH2_peptidergic_omicron	TrH2_peptidergic_progenitors	TrH2_peptidergic_theta	TrH2_peptidergic_zeta	TrH2_trans_epithelia_dorsal_ventral	TrH2_trans_epithelia_ventral_peptidergic	TrH2_trans_fibre_epithelia	TrH2_trans_fibre_gland	TrH2_trans_lipophil_1_epithelia	TrH2_trans_lipophil_1_fibre	TrH2_trans_lipophil_1_gland	TrH2_unknown_1	TrH2_unknown_2.1	TrH2_unknown_2.2	TrH2_unknown_2.3	TrH2_unknown_2.4	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1	HoiH23_epithelia_dorsal	HoiH23_epithelia_gland_like	HoiH23_epithelia_unknown	HoiH23_epithelia_ventral	HoiH23_fibre_1	HoiH23_fibre_2	HoiH23_gland_1	HoiH23_lipophil_1	HoiH23_lipophil_2	HoiH23_peptidergic_alpha	HoiH23_peptidergic_beta	HoiH23_peptidergic_epsilon	HoiH23_peptidergic_eta	HoiH23_peptidergic_gamma	HoiH23_peptidergic_gamma_like	HoiH23_peptidergic_iota	HoiH23_peptidergic_kappa	HoiH23_peptidergic_lambda	HoiH23_peptidergic_mu	HoiH23_peptidergic_mu_like	HoiH23_peptidergic_nu	HoiH23_peptidergic_progenitors	HoiH23_peptidergic_theta	HoiH23_peptidergic_zeta	HoiH23_peptidergic_zeta_like	HoiH23_trans_fibre_gland	HoiH23_trans_gland_epithelia_dorsal	HoiH23_trans_gland_epithelia_ventral	HoiH23_trans_lipophil_1_epithelia	HoiH23_trans_lipophil_1_fibre	HoiH23_trans_lipophil_1_gland	HoiH23_trans_lipophil_1_lipophil_2	HoiH23_trans_lipophil_2_epithelia	HoiH23_trans_lipophil_2_gland	HoiH23_unknown_1
Tadh_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9994247199657493	0.99863029587799	0.0034734627725838962	0.0022653891187754695	0.14493626409701293	0.5065625211006236	0.02448093116565035	0.009057961848102843	0.0	0.006437497087534931	0.009983061660312533	0.0	0.0	0.0	0.011147225072532733	0.0	0.0	0.0	0.02155291723185742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6015539793939526	0.0029069417608269584	0.06470735804959712	0.0	0.0	0.0	0.0	0.005780656508650523	0.0	0.010844836494753601	0.000588168192828448	0.005763628470305303	0.9980951689025449	0.01839627334636951	0.02978703548377895	0.2181801326528785	0.0004957872322535715	0.013165466759510622	0.9577858896212172	0.0	0.0004658270365080651	0.0	0.00945904109243943	0.009094961622367094	0.0	0.0	0.0	0.0	0.031760336232244224	0.0	0.0	0.0	0.017016034205417335	0.0	0.008400613394384748	0.0	0.0	0.002460925958460933	0.000908467607355844	0.0	0.0	0.0	0.8572718164517813	0.0	0.0	0.0	0.0	0.0	0.44400032907451653	0.004191367650924053	0.9964265871355791	0.28684950863462344	0.48110210106099016	0.03418744491014434	0.040682059858049915	0.0003167043360258092	0.006028283951977267	0.009571355580456358	0.05185061656180188	0.00047121516872678285	0.010671987502719592	0.0	0.0	0.026092214694260853	0.21096692438834935	0.0	0.0	0.019318088190997482	0.016513511212758413	0.0	0.0	0.0	0.003393422564067527	0.0	0.17752520305304892	0.0	0.17771474896702533	0.00020603200470533774	0.0	0.0	0.00031533005096050383	0.0	0.32219036711293236	0.0	0.02726447883489974
Tadh_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005641936904856338	0.0029119158141105695	0.9967217862191071	0.001097051789851234	0.33448353956208193	0.04022307594694438	0.22526582165848003	0.024911224323521185	0.023052910100297974	0.0	0.0	0.008202953848369783	0.0	0.009102605873414295	0.009688274210461513	0.0	0.008869892948454597	0.005823733212971873	0.0	0.0	0.0	0.008440125485817202	0.009888919448190332	0.0008880882222865703	0.0	0.0	0.0	0.002231786224138066	0.0	0.0	0.03360563890424514	0.0	0.0	0.006044664596110224	0.0	0.0	0.0	0.00456800708171681	0.02568527953240634	0.9537736672838215	0.09623974675361242	0.6605943922966431	0.0	0.5651885700093788	0.0	0.014512279437024093	0.0	0.027309297727901263	0.0	0.0	0.0	0.028259975715603305	0.0	0.0	0.006130358124811606	0.0	0.0	0.0	0.0	0.0	0.00678818515311541	0.009058311855336275	0.0	0.00903592434088713	0.006732753065522833	0.0	0.0	0.0	0.022169929456387606	0.0	0.00647599562885429	0.00883413839121295	0.00043189618410279125	0.0	0.0	0.006887159012417084	0.0011263523308430046	0.9636642484650526	0.1254590855989181	0.7212022815703654	0.0015420704137096232	0.0	0.510618678536812	0.0006749275930992299	0.0003282842579121838	0.026639329200978425	0.0003456030514448384	0.008581177640879538	0.0	0.0014446971933227658	0.008116436523481818	0.0	0.0	0.0	0.000836889133338952	0.0	0.009745004788111243	0.0052834735668476455	0.0	0.0	0.009357155545836975	0.0	0.043500139736368834	0.02455787312965686	0.0016414653440563545	0.0	0.005918379819588271	0.0	0.0023935497154125023	0.0	0.00551088816765215
Tadh_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003626097710211308	0.0005186468809482093	0.0035345443909396727	0.869269411096736	0.03106455104482906	0.0	0.0	0.0	0.0	0.01513363193193764	0.0	0.0	0.0	0.0	0.01611393628659975	0.0	0.0	0.0	0.0	0.014008625238766946	0.0	0.013385508416425817	0.0	0.0	0.0	0.0	0.0	0.0008006683660753819	0.0	0.0	0.0009439731113788004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007506490752038441	0.6631380903355931	0.008124421044839838	0.0	0.0	0.0	0.0	0.0	0.0	0.014475654076940883	0.0	0.0	0.0	0.0	0.0	0.010607808761798319	0.0005362903356832055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016589590113932882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000183647766470394	0.0	0.0	0.0024960734341658935	0.0	0.0	0.0	0.7295261103119862	0.0	0.0	0.00041780477389529976	0.0	0.0	0.0	0.0	0.016083547274384952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04181992922628158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012548901396614878	0.0	0.0
Tadh_epithelia_unknown_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008800576758719878	0.0022265001115633056	0.9839277059574385	0.018996010464246593	0.9958789977654231	0.021057498794615787	0.016600852054953662	0.005407657209622002	0.008966113563030082	0.0	0.0	0.0	0.0	0.0194536400802777	0.0	0.0	0.0	0.0025570956366989823	0.0	0.009932820621670904	0.0	0.0	0.0	0.0007587828850088745	0.0	0.0	0.00747306844655843	0.011104912019949226	0.0	0.0	0.04286116745565106	0.0	0.00028027104570792075	0.0	0.0	0.01158134259890196	0.0	0.005682038060728794	0.011429404153826005	0.48405106487178595	0.9606728508305198	0.8445063853814262	0.0	0.05159919607721804	0.0	0.0022621650754088415	0.0	0.006660256961920899	0.0	0.00028058336376548496	0.0	0.0	0.013179838467372394	0.016613692876460254	0.0	0.0055929777443330725	0.0	0.0	0.0	0.009755101553906938	0.0	0.0	0.0	0.0	0.005571963774158575	0.0	0.0	0.0	0.010704774166421904	0.0	0.0015931826125988146	0.006472223359429673	0.0	0.0	0.008112167564528688	0.0	0.0017369876812169073	0.5654629662456447	0.7202467181068856	0.8923796105658239	0.0	0.0	0.04711378919034976	0.00643353771389104	0.0013684670337189653	0.006496291014993111	0.00043751837642130013	0.0	0.013073139166601466	0.010884871644402891	0.0010121312720567878	0.0050872790633179335	0.0	0.0003743591018846117	0.010337457583184538	0.0	0.0	0.004842206832567507	0.0004321794655840401	0.0	0.004158580893178086	0.0	0.003095124184395573	0.004271633319318127	0.0008127318649107525	0.0	0.0	0.0	0.0011863792170113457	0.0	0.0008039160040407784
Tadh_epithelia_unknown_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10873198884093445	0.16835178094859374	0.019194045990618913	0.01495886976027864	0.9975539449508953	0.19048678203398453	0.01411104601630279	0.002968138265458304	0.006357183374188504	0.0	0.008700510607275998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013667372594289122	0.0	0.0	0.0	0.0014508386169091027	0.01703831315624564	0.0	0.0	0.024438203368736366	0.02045332801875457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003854104318794284	0.0007272770711753101	0.0	0.041867210099425026	0.0	0.6830998743432523	0.5092394602212332	0.0	0.0005618259615655854	0.0356119434341099	0.0	0.0	0.009970716208012913	0.00927697423898131	0.020496464539777395	0.0	0.0	0.0	0.0	0.0	0.0005601352164571359	0.00253780382737705	0.0	0.006111803869919032	0.0	0.0	0.006052429811046385	0.0	0.0	0.0021332467316046667	0.0	0.0	0.0	0.28004278366309077	0.0	0.0	0.0	0.0	0.0	0.013824149606919023	0.0	0.041864790750311104	0.1651471785029781	0.9609629528262857	0.26419880738038104	0.002724427617212212	0.0005094625877246086	0.006401757895543135	0.0	0.02886295025378542	0.012820464040191479	0.010853322547301847	0.0	0.0	0.02199731168658444	0.052388691474918106	0.0	0.0	0.010637829064268607	0.014700704971512112	0.0	0.0	0.0012708436104369191	0.004179471991287411	0.0	0.017599762471618277	0.0	0.0	0.008725627606502393	0.0	0.0	0.0	0.0	0.1751422892033931	0.0	0.011539806258352277
Tadh_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19978418262424374	0.02553265011687615	0.956108055834252	0.004273118200743732	0.9984534616374148	0.03654837791244943	0.04420574935047235	0.00049182143014374	0.0260529902089168	0.02741127166281098	0.0	0.024417847708996698	0.0	0.017835848175262493	0.0	0.0	0.00889066558696822	0.0	0.026253686547396973	0.0027107041184017836	0.008900363880131016	0.0	0.0	0.5004519558311173	0.0	0.0	0.7994211811436799	0.17364895430054184	0.0	0.0	0.10270753603374484	0.0	0.0	0.00047653747056994745	0.0	0.009924689682892767	0.0	0.005937581410983521	0.09333789989001867	0.9895203636887004	0.4625944604253963	0.9969691683708846	0.0007455031976815437	0.08614005978299646	0.0	0.006696438811319439	0.0	0.019320040423814456	0.018580808399708375	0.0	0.0	0.07512516711952683	0.0	0.008034164129280034	0.0	0.0236634430257109	0.00015367900886885754	0.0	0.008831362029990387	0.0009302077575294848	0.010514137955329378	0.0	0.0	0.0	0.1927702580871884	0.0	0.0	0.0	0.8033467031596679	0.0	0.0016789712535439875	0.04672887802248089	0.006455608266023827	0.00029670000570644037	0.01777518724032497	0.0	0.08685775278892813	0.9438249854132861	0.9474295398183766	0.9983437822803042	0.00034433137381488586	0.0	0.18300760472184935	0.0	0.0011048017151265386	0.02134331861477326	0.027501756909480896	0.011611896927125682	0.0	0.0038524428992183094	0.02070329813211635	0.0	0.0	0.011652344861368616	0.0011284809088355928	0.0	0.0	0.1842644116670823	0.0	0.0	0.0008447890326238307	0.0	0.0023423956773292974	0.21933384857343355	0.0652677788286843	0.0	0.00044054596918756444	0.0	0.18368309077137968	0.0	0.0011067207917885172
Tadh_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04120627019821238	0.209933020546539	0.00987197858187837	0.0	0.031339298998083194	0.9998022170616497	0.040610884681938665	0.01691120606860231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006906244553116517	0.005114041828479487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016585624354361943	0.0	0.6445167650152825	0.21786680526560326	0.0	0.446918821679823	0.0	0.02402215089841997	0.0	0.0	0.0	0.009432416432320215	0.01716331365873712	0.009963415723404426	0.0	0.0002537138342523841	0.9996975595189141	0.0	0.0	0.023815866739914336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3889523577001021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008352557652375253	0.03242004687930901	0.0	0.9996735435493912	0.7476976968308817	0.005296273115566031	0.020634974239391847	0.024471228579213043	0.0	0.0	0.0	0.0	0.0	0.007380741435352597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009742636715739862	0.6912532300989579	0.0	0.014689997287711322	0.0	0.49812541602225757	0.0010941063735347423	0.0	0.02630263924729778	0.016145798983966557	0.02231791491123731
Tadh_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07773330582103918	0.024904490817804555	0.2004627716721315	0.0	0.09830028853274739	0.012566752645542752	0.9998850137958966	0.00494286216492823	0.0	0.0	0.0	0.0	0.0	0.026430307242872778	0.008482340683158	0.0	0.0	0.0	0.0	0.0	0.017054022855016157	0.0	0.0	0.0	0.0	0.00997721694583543	0.0	0.0	0.0	0.16770644747772687	0.0	0.0	0.6811076176320303	0.03172347826196704	0.0	0.01855316775000921	0.0	0.0	0.00015839744596032738	0.5070134061831336	0.003265637216091194	0.015163702567298761	0.0	0.9996846932902821	0.012860785378696827	0.0	0.0	0.0	0.009089303313885353	0.0	0.0	0.0	0.0	0.033072634643541515	0.004176653407129379	0.0	0.0	0.0	0.0	0.0	0.00027133818667195793	0.0	0.0	0.0	0.0	0.0009373544825825128	0.0	0.009932940316155412	0.0012537490108701318	0.020689625056334336	0.40505602079882164	0.637343892175095	0.0	0.20230171754933918	0.0	0.0	0.026352837103889776	0.8949350167137888	0.003954770242116625	0.0022673319452387567	0.0	0.0	0.9996899816605254	0.0	0.0	0.0	0.009971676461638608	0.006942445128053039	0.0	0.020951205855018584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004522197203872189	0.0	0.0	0.0	0.0	0.28795491007238766	0.5794029488918919	0.0	0.0	0.40407130702832705	0.0	0.001396269124193466	0.03771508593413193	0.0
Tadh_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44726199848455694	0.0	0.0	0.023692697301719808	0.1545332307962796	0.0228551770300884	0.9998129650431151	0.0	0.008048393743165056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010065741580085576	0.0	0.005172620330070883	0.0	0.0	0.0	0.0	0.0	0.0	0.31628027183124413	0.12121302189892966	0.09953405873758513	0.024514213278346547	0.0	0.005659008867474252	0.0	0.0	0.017865834974383044	0.03706203270516273	0.0004993013429403442	0.0	0.0	0.0	0.0	0.9993452605874256	0.0008288273926321581	0.0	0.009447144536557883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051738740332839435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021534160109468865	0.0	0.0	0.6568986099162064	0.2784670724265262	0.0002711093104415742	0.031052610652290362	0.0	0.0389807990138785	0.00834898423150102	0.0	0.0	0.0	0.001930633778894738	0.9997246340603857	0.016497785127402728	0.0	0.009794363433167972	0.0	0.0	0.0005218429882453845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004875797167392441	0.008144137165176226	0.5421553585622649	0.08155102820791546	0.631818771169977	0.5460281330562329	0.019745391494302544	0.01459854396846549	0.02773083586652903
Tadh_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023844860250065353	0.0	0.033497019534832397	0.009321217084900982	0.005867704787392174	0.0	0.9903534714185928	0.0	0.0	0.0	0.0	0.006781110887440139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011504016469827663	0.0	0.0	0.008825554627848233	0.061167383159940227	0.0	0.0	0.0	0.0	0.0	0.009231482275327843	0.0	0.00981157394233491	0.0	0.0	0.006802384386038819	0.017900186099789515	0.0	0.10099974338207275	0.0	0.007885253619451126	0.0	0.0	0.0	0.9967118957603631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060167164456134604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009777098508484783	0.0	0.0	0.05341310608367644	0.0	0.0	0.014698855407418433	0.0	9.936283755126966e-05	0.9883103611856967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021909566487691084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
