	Tadh_0	Tadh_1	Tadh_10	Tadh_11	Tadh_12	Tadh_13	Tadh_14	Tadh_15	Tadh_16	Tadh_17	Tadh_18	Tadh_19	Tadh_2	Tadh_20	Tadh_21	Tadh_22	Tadh_23	Tadh_24	Tadh_25	Tadh_26	Tadh_27	Tadh_28	Tadh_29	Tadh_3	Tadh_30	Tadh_31	Tadh_32	Tadh_33	Tadh_34	Tadh_35	Tadh_36	Tadh_37	Tadh_38	Tadh_39	Tadh_4	Tadh_40	Tadh_41	Tadh_42	Tadh_43	Tadh_44	Tadh_45	Tadh_46	Tadh_47	Tadh_48	Tadh_49	Tadh_5	Tadh_50	Tadh_51	Tadh_52	Tadh_53	Tadh_6	Tadh_7	Tadh_8	Tadh_9	TrH2_0	TrH2_1	TrH2_10	TrH2_11	TrH2_12	TrH2_13	TrH2_14	TrH2_15	TrH2_16	TrH2_17	TrH2_18	TrH2_19	TrH2_2	TrH2_20	TrH2_21	TrH2_22	TrH2_23	TrH2_24	TrH2_25	TrH2_26	TrH2_27	TrH2_28	TrH2_29	TrH2_3	TrH2_30	TrH2_31	TrH2_32	TrH2_33	TrH2_34	TrH2_35	TrH2_36	TrH2_37	TrH2_38	TrH2_39	TrH2_4	TrH2_40	TrH2_41	TrH2_42	TrH2_43	TrH2_44	TrH2_45	TrH2_46	TrH2_47	TrH2_48	TrH2_49	TrH2_5	TrH2_50	TrH2_51	TrH2_52	TrH2_53	TrH2_54	TrH2_55	TrH2_56	TrH2_57	TrH2_58	TrH2_6	TrH2_7	TrH2_8	TrH2_9	Hhon_0	Hhon_1	Hhon_10	Hhon_11	Hhon_12	Hhon_13	Hhon_14	Hhon_15	Hhon_16	Hhon_17	Hhon_18	Hhon_19	Hhon_2	Hhon_20	Hhon_21	Hhon_22	Hhon_23	Hhon_24	Hhon_25	Hhon_26	Hhon_27	Hhon_28	Hhon_29	Hhon_3	Hhon_30	Hhon_31	Hhon_32	Hhon_33	Hhon_34	Hhon_35	Hhon_36	Hhon_37	Hhon_38	Hhon_39	Hhon_4	Hhon_40	Hhon_41	Hhon_42	Hhon_43	Hhon_44	Hhon_45	Hhon_46	Hhon_47	Hhon_48	Hhon_49	Hhon_5	Hhon_50	Hhon_51	Hhon_52	Hhon_53	Hhon_54	Hhon_55	Hhon_6	Hhon_7	Hhon_8	Hhon_9	HoiH23_0	HoiH23_1	HoiH23_10	HoiH23_11	HoiH23_12	HoiH23_13	HoiH23_14	HoiH23_15	HoiH23_16	HoiH23_17	HoiH23_18	HoiH23_19	HoiH23_2	HoiH23_20	HoiH23_21	HoiH23_22	HoiH23_23	HoiH23_24	HoiH23_25	HoiH23_26	HoiH23_27	HoiH23_28	HoiH23_29	HoiH23_3	HoiH23_30	HoiH23_31	HoiH23_32	HoiH23_33	HoiH23_34	HoiH23_35	HoiH23_36	HoiH23_37	HoiH23_38	HoiH23_39	HoiH23_4	HoiH23_40	HoiH23_41	HoiH23_42	HoiH23_43	HoiH23_44	HoiH23_45	HoiH23_46	HoiH23_47	HoiH23_48	HoiH23_49	HoiH23_5	HoiH23_50	HoiH23_51	HoiH23_52	HoiH23_53	HoiH23_54	HoiH23_55	HoiH23_6	HoiH23_7	HoiH23_8	HoiH23_9
Tadh_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999597547595559	0.0	0.0	0.0	0.9872758549516748	0.0003154146057231749	0.0	0.0	0.0	0.0	0.022118571169846377	0.0	0.0	0.0	0.7266113408089478	0.0	0.9993359450990428	0.7805009002768024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026470749385251323	0.0	0.0	0.0	0.0002767647342494414	0.0	0.9998057388260126	0.0	0.0	0.0	0.0	0.022574868262404946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997267254618192	0.0	0.0	0.012898202532819236	0.0	0.00794318439343598	0.0	0.0	0.0	0.999425916803858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016046130500444407	0.00035249197249606043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034781179590109837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008350268657120168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023349800421029576	0.00962071589567731	0.0	0.0	0.8320249431106628	0.0	0.0	0.005850124981570403	0.00022252018835513388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005992927989257972	0.0	0.04474195816709265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997094889465303	0.0	0.0	0.0
Tadh_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015918261635609367	0.0	0.9497159331931815	0.0	0.0007183880457067174	0.03538769587841177	0.0012311626620521085	0.0045073697169840405	0.0	0.0	0.005790376878765316	0.0	0.9994928861677728	0.004534970502062326	0.004674180585740842	0.037173042510425816	0.014225555286643168	0.0029888756484672298	0.0012308834797258488	0.0	0.0	0.06092752074256627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00728142893076592	0.0	0.0	0.0	0.0	0.008239235804386364	0.0	0.0	0.0	0.0	0.0	0.9990136142541113	0.0	0.0	0.0	0.0	0.0	0.0	0.009365974114468057	0.0	0.0	0.7796079440671426	0.0	0.0077340969262484375	0.016663780201655126	0.9988832254912099	0.0	0.0	0.0	0.0	0.0	0.029087102714514836	0.0	0.015922817297806462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014869873243280679	0.0055811743759782585	0.0	0.0	0.00044725273850438696	0.0	0.0	0.00033539806648218113	0.009018290466628592	0.0	0.0	0.0048188446635999554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016257988568809244	0.0	0.0003524807398847232	0.00039586459477717294	0.0	0.0	0.014937097278519513	0.0005270960550026189	0.002133759447420054	0.0003953955867583008	0.0	0.0	0.0	0.007776608180477343	0.001779373431945302	0.0	0.0006181328994528839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014302624746648175	0.9972915473842963	0.13158185790011317	0.0	0.0	0.0	0.0001407358974064162	0.0	0.0	0.0009491350155912237	0.0018318907875385301	0.0	0.16581759233568574	0.0	0.0	0.0	0.0	0.0	0.0	0.0053256492666142255	0.0	0.0	0.0026227882967442794	0.0	0.0	0.0	0.0	0.0	0.0	0.008778817448628119	0.002871736636957554	0.0	0.9934770964518955	0.0
Tadh_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8889352772364865	0.0	0.0	0.03920437352293847	0.0	0.0	0.0	0.0	0.0	0.0	0.8946217160357487	0.00198563717326348	0.00028935430040417736	0.0005650893425451934	0.08336889937918243	0.0022021148272073536	0.002193058183365036	0.0	0.0	0.9388749664927254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001034520148953007	0.0	0.0	0.0	0.0	0.0	0.21009021686562313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7872272758707266	0.0	0.0	0.031802159611545186	0.9993004158000447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021626247203036008	0.0	0.0	0.0	0.00776827057052326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002476284034896183	0.005030289010824006	0.0	0.0	0.006308403835891886	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004077078124170137	0.0	0.0	0.0	0.0	0.0	0.0	0.0004124476073719133	0.0	0.00034878592707285414	0.0	0.0	0.0	0.00032551470505159583	0.0	0.0	0.006244984767825082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003602572703694492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9900780754597625	0.09502942232229575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009635817017623526	0.0	0.15608175498300936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014275399962614153	0.0	0.9803736134058842	0.0
Tadh_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15371796881071936	0.006629316359537415	0.0	0.02039380313682014	0.0008461030480179882	0.00041210233477202577	0.013317278083885577	0.0002448348983270604	0.021708940213864686	0.011118003377751817	0.0	0.0	0.0	0.17469416412886773	0.03320517837800769	0.00802535233033744	0.04047536404821954	0.0	0.0	0.0	0.0	0.0	0.0009978513612231433	0.02545134566415196	0.9974770278221314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033420672087365957	0.0	0.0	0.0	0.0002915056559940912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001114347026856336	0.0015689175164375557	0.0	0.002781446001957749	0.0	0.0	0.0	0.00035213559428947343	0.0	0.0	0.0	0.0015342850867075086	0.002765514137099274	0.16368289700294272	0.01958876223820804	0.0	0.006503054207007914	0.009342139596713494	0.0	0.0	0.03104247017983852	0.020193126147607012	0.04755142683328472	0.06390279395445937	0.22488775583855158	0.007452411716107289	0.0	0.0	0.00029527106400433644	0.0	0.6211084484442991	0.012492583073413716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36866764210754266	0.0	0.0	0.0	0.0	0.0	0.00134542247638228	0.0	0.0	0.0	0.20461315588174556	0.0003687709044702636	0.009108260375217643	0.001865576797434126	0.0	0.0	0.036583951267957084	0.0	0.0	0.0	0.005644496933589295	0.002586770888824519	0.0	0.0	0.0	0.0	0.0	0.0	0.010076550469480403	0.014124904826034613	0.03574945997579645	0.07377709436763348	0.022164571870509013	0.019261853049625827	0.0058486189901009265	0.24771854247323763	0.09077769500162099	0.9708372138302388	0.0003405188240259199	0.00222724915900785	0.0008662348290598338	0.0037739723830796422	0.051149623914792074	0.0033741108299831625	0.0021461142390511515	0.007410995508108574	0.0	0.0	0.0008385568390621657	0.0	0.13306186657109823	0.0028210433089514014	0.0	0.0	0.8232000309605609	0.0	0.0	0.0	0.0007193778852835205	0.001810523921403559	0.0	0.0	0.0	0.0	0.0	0.0	0.2356594498428555	0.0	0.0012575532655918439	0.013371915646758667	0.0	0.0	0.044280261672965046	0.07627097122130397	0.0	0.0	0.0	0.027667038618209305	0.0	0.0	0.025993396540249927	0.0	0.019469379823533927	0.0	0.0	0.0	0.0010136640917880262	0.0
Tadh_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010952347897787088	0.0	0.0	0.001436593023435406	0.07492529628708829	0.0	0.0	0.0017726262694970837	0.0	0.0	0.0	0.3141970164618919	0.0	0.1076716761574997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6298147566896563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8592825815446608	0.0	0.0	0.0	0.9364472358969749	0.0	0.0	0.27668855783418267	0.0	0.0	0.0	0.0	0.001137757265310895	0.16543044767794188	0.0	0.0	0.0	0.0	0.0	0.0	0.07245529859542858	0.0	0.0004080040386255707	0.0	0.0	0.0	0.04733496990108247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014880054559262204	0.0	0.0	0.0	0.0	0.0	0.0	0.0008138046347840619	0.0	0.0	0.0	0.0	0.0003043880622827673	0.0	0.0	0.009065592651085313	0.0	0.0	0.0	0.0	0.24367766705728844	0.001146874188996739	0.00033896262339301207	0.0	0.005721159405464294	0.0	0.06420646071146001	0.0	0.0	0.007220123869274548	0.0006794159846091357	0.0908803177172662	0.002433720595655832	0.0012638340030156538	0.0	0.7550378826553288	0.0	0.2750522756404362	0.00017179547125225356	0.0	9.898395042313982e-05	0.00010737697094784384	0.0	0.0	0.0	0.0	0.0	0.021129490034364456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033633839788447463	0.0	0.0	0.0	0.0	0.0	0.0	0.005523875639502779	0.0	0.0	0.005559364218836276	0.7422786707700914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4544697567628661	0.0	0.20102390726491218
Tadh_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10420764116183073	0.0	0.0	0.0	0.0	0.0	0.0	0.10624523236411883	0.0	0.10153911937205803	0.002855148825555729	0.0	0.00349105293312691	0.0	0.0	0.0	0.0009310399809107485	0.0	0.0008014774982691968	0.9343563764009908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014924770702173752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.677734248423156	0.002291624658919266	0.0	0.0	0.8854225536650178	0.0	0.002269932105696233	0.1795398968490348	0.0	0.012579556898317523	0.0	0.012547753247094576	0.0037152571265380244	0.3954755890746169	0.0	0.0001455008281124532	0.004264813090665499	0.0	0.0	0.0	0.007285548037702018	0.0	0.012885451152767317	0.0023461359480796188	0.0	0.0	0.10025009776878072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002533915146618362	0.0	0.0	0.0	0.0	0.0	0.0	0.009131046215510788	0.0	0.0	0.0	0.0	0.0006958202232787789	0.0	0.0	0.005951893640406212	0.0	0.0	0.0	0.002243951562630346	0.7791588733564772	0.0	0.0	0.0009325730862198497	0.0003503251104301902	0.0	0.15825753805380172	0.00028378637497215734	0.0	0.03209743798815452	0.00034284441658650783	0.020375181290415306	0.00108098911949969	0.0	0.0	0.12545937070908492	0.0	0.09704451542462891	0.005384798079248725	0.0	0.00012749493425574885	0.00022952720926325995	0.0	0.0	0.0	0.0006609938451222592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014768485599168206	0.0013068897137847979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03626480862355463	0.9981044427419348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07603788175450184	0.0	0.2697902828551567
Tadh_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24636596017160578	0.0	0.0	0.0019947966398586444	0.0	0.006056466221606818	0.0	0.0	0.0	0.0	0.7963659069222067	0.00043969908720079367	0.0	0.0	0.035067595075475626	0.006647831460349115	0.0	0.0	0.0	0.5026820316429123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020394909511659568	0.0	0.0	0.0	0.0	0.0	0.018593428814784565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8916502046400865	0.0	0.0	0.02845991383330539	0.9925552514286904	0.0	0.0	0.00913750343892887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003863246073741875	0.015209934771925605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033603135662615475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01588507234107421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9964168395097165	0.018679536614777392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02943710915586621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007759964445213489	0.0	0.48168424147992156	0.0
Tadh_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9410337092458918	0.0	0.0	0.0005672358636344295	0.03131869308388675	0.0	0.0629842454053768	0.0	0.0	0.0	0.0	0.0	0.002326744234614136	0.0012725578713961023	0.6789592588917504	0.0037734678084500933	0.01007029568908261	0.0	0.0	0.0003850195089241282	0.0	0.0	0.0	0.0	0.016034579892091828	0.0	0.12178776839019702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018330898422295964	0.0	0.0	0.0	0.002627451522200842	0.001997831269481681	0.0	0.008977476314588352	0.0025949008966069643	0.00109008939788535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04071770991483155	0.00041354080348169123	0.0007492623681281667	0.0	0.0008468805877876111	0.0	0.0	0.0	0.001334205186663036	0.3867002022414646	0.04244670390578647	0.14392275842801575	0.0	0.00040968277566435585	0.0	0.0	0.0	0.009284688097784701	0.043369798329896625	0.0	0.00041653160439900723	0.0025933957438335586	0.0	0.0	0.0	0.13520583528066407	0.3859156102047592	0.0	0.0	0.0	0.0	0.0	0.039842315188000875	0.0	0.0	0.0	0.59915231500687	0.0	0.0	0.022385687801996762	0.0	0.0003621867413846665	0.0	0.0	0.0	0.0	0.0	0.6902410881987024	0.0	0.0	0.0	0.0	0.0	0.0	0.8669067508650851	0.0	0.8226691913115354	0.0851908141718779	0.0	0.0	0.9452917631200879	0.07895251018664316	0.851344693809023	0.28807732755140186	0.011571665885160716	0.0	0.0	0.8411889947633526	0.035716349525111026	0.408619497336451	0.0	0.024033806469844675	0.0	0.006547843194485693	0.0010747157363072953	0.0010202761771615839	0.0297598982116942	0.0	0.0	0.0	0.00132564700443969	0.0	0.0	0.0	0.0	0.0007816288310865394	0.0	0.0	0.0	0.0	0.0	0.0	0.06434556241378321	0.0	0.01401125317432567	0.0	0.0	0.0	0.0	0.0	0.0	0.0008832655090823401	0.0011071932890079645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003580662425089255	0.0
Tadh_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9344710605681881	0.0	0.0	0.0	0.03513646251872205	0.0	0.013571464668028981	0.0	0.0	0.0	0.0	0.0	0.0	0.00013405695224348815	0.2979018285728952	0.0005400980957745313	0.0020259080490157267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001346739758091831	0.0	0.020704181592019706	0.0	0.0	0.0011473706249103554	0.0	0.0	0.0	0.0	0.0	0.0	0.0002797383683049007	0.0	0.0	0.0	0.0	0.0	0.0	0.000498816620187253	0.0	0.00814098767430522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03358447798625976	0.0	0.005009548278087429	0.0	0.08203338104122519	0.0	0.007535277045692982	0.0	0.0006227490668380138	0.0	0.0	0.0	0.00040003033413411773	0.07338069151722146	0.0010890026145424798	0.042107487111908634	0.0	0.0	0.0	0.0	0.0	0.0066473779908449	0.002980962732014371	0.0	0.0	0.0	0.0	0.0	0.0	0.1110238861287198	0.020322568298260964	0.0	0.0	0.0	0.0	0.0	0.017576392556433645	0.0	0.0	0.0	0.1299760358742323	0.0	0.0	0.015913010218391796	0.0	0.0	0.0	0.0	0.0	0.029163822908276064	0.000245479448880362	0.8429314272414961	0.0	0.0	0.0	0.0	0.0	0.0	0.20145384341003295	0.0	0.5108952233816976	0.15897084624410748	0.0	0.0	0.22115913486923575	0.010552854363992862	0.28691102779801264	0.007605085483390902	0.019076531805426414	0.0	0.0	0.41381336235778	0.06308061198150718	0.9335214517555993	0.0003525614783031876	0.013942840717572834	0.0	0.001620029976962148	0.0	0.0	0.016547911796329515	0.0	0.0	0.0	0.0	0.0046347130683192465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003512213360755928	0.0	0.007931578678527371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00670123036462936	0.0003649271573518381
Tadh_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09452397452782399	0.0	0.0	0.0	0.0	0.0	0.0	0.4547364170509143	0.0	0.682330944728855	0.0	0.0	0.0031524050567249776	0.0	0.0	0.0	0.010151532570293487	0.0	0.0	0.3284435802653748	0.00013062919806887226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033466447048834218	0.30200290479530756	0.0	0.0	0.0	0.6120923468339795	0.0	0.0001937308742201317	0.660839238343534	0.0	0.0	0.0	0.0	0.002499436707199364	0.10590905290812772	0.0	0.005655863341181661	0.00043791892941474886	0.0	0.0	0.000756507390668156	0.37602730709657406	0.0	0.0	0.0	0.0	0.0	0.06295911157692699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027654101142127103	0.00019300859616331155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027802365396648768	0.002438443085436203	0.0	0.0	0.008852365680747161	0.0	0.0	0.0	0.0	0.5056119465945967	0.0	0.0	0.0	0.004296658738805776	0.0	0.28447691201367015	0.0	0.0	0.015890480310636116	0.0	0.48924968889914255	0.0	0.0	0.0	0.0319236032651555	0.0025479077007762797	0.8541144586619742	0.00020124322107516304	0.0	0.0	0.006248745025247672	0.0	0.0	0.0	0.0	0.0	0.0007638373612962274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007285893640918565	0.008013896388631689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04425066856328456	0.4151605394089023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9689717210898143	0.0	0.7212832241715017
