	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1	HoiH23_epithelia_dorsal	HoiH23_epithelia_gland_like	HoiH23_epithelia_unknown	HoiH23_epithelia_ventral	HoiH23_fibre_1	HoiH23_fibre_2	HoiH23_gland_1	HoiH23_lipophil_1	HoiH23_lipophil_2	HoiH23_peptidergic_alpha	HoiH23_peptidergic_beta	HoiH23_peptidergic_epsilon	HoiH23_peptidergic_eta	HoiH23_peptidergic_gamma	HoiH23_peptidergic_gamma_like	HoiH23_peptidergic_iota	HoiH23_peptidergic_kappa	HoiH23_peptidergic_lambda	HoiH23_peptidergic_mu	HoiH23_peptidergic_mu_like	HoiH23_peptidergic_nu	HoiH23_peptidergic_progenitors	HoiH23_peptidergic_theta	HoiH23_peptidergic_zeta	HoiH23_peptidergic_zeta_like	HoiH23_trans_fibre_gland	HoiH23_trans_gland_epithelia_dorsal	HoiH23_trans_gland_epithelia_ventral	HoiH23_trans_lipophil_1_epithelia	HoiH23_trans_lipophil_1_fibre	HoiH23_trans_lipophil_1_gland	HoiH23_trans_lipophil_1_lipophil_2	HoiH23_trans_lipophil_2_epithelia	HoiH23_trans_lipophil_2_gland	HoiH23_unknown_1
Hhon_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92404107525198	0.003654117911339891	0.03167328900849324	0.0036126699515839343	0.0011505539568136113	0.0	2.4803797263891136e-05	0.0004948272504168013	0.00043239543396897845	0.0004933982416337788	0.01998216636186492	0.011498377945557964	0.007506816215052882	0.006520454188405	0.0005956383117132226	0.002234797261321405	0.0	0.002621262997622869	0.013451057669439617	0.0005166184860322608	0.0	0.003548672727646545	0.0068081942915916805	0.0012972548118309777	0.0454967494156947	0.0	0.19381922921688516	0.0	0.0	0.0007179524614375238	0.0	0.0	0.025573531486082036	0.0009092629022386768	0.001056826176579246
Hhon_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.917747220806734e-05	0.6023394728943338	0.024315821014076026	0.2990871169067767	0.001980357835966418	0.0	0.04504047327597978	0.003053959059789321	0.0	0.001338192514377857	0.014595265417311973	0.0	0.0005113951219192495	0.0014526286469818109	0.0	0.0	0.0	0.0	0.0	0.0017174456521744691	0.0	0.006319495472921345	0.0	0.0	0.00018568319485679874	5.379437370682634e-05	0.04590945350272398	0.027463287340959062	0.018753054979635544	0.0015556798900515135	0.0006224664296032133	0.0	0.0006137910953958876	0.005491516127048677	0.0006116261562130382
Hhon_epithelia_unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021700046952175364	0.016240291242881878	0.7595710498075208	0.059052783817335294	7.463863009999301e-05	0.0	0.01382647750918207	0.0	0.0	0.0	0.0020150302051289404	0.0	0.0	0.0	0.0	0.0	0.0	0.0006985970181421068	0.0	0.0	0.0	0.0006197051612590709	0.0	0.0013253249404272158	6.299162379158773e-05	0.0	0.0	0.0062282516553899825	0.0	0.0	0.0	0.0	0.014934375855590024	0.0	0.0
Hhon_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009280177938075163	0.1583821571579601	0.22420857551490586	0.8785152992370324	0.00040001520151686	0.0	0.004956164432228569	0.0	0.0002713726086971687	0.001949023502994924	0.0046477242436022935	0.0048852140578058536	0.0	0.0161535015137197	0.00018207317791688152	0.0005560572051483327	0.0	0.00010988662638237701	0.010118223718545415	0.001018672421095524	0.0	0.16706523532508885	0.00026692868197865914	0.0	0.00293264643475171	3.737086637064798e-05	0.0030214414462708928	0.1483357953552446	0.08077985160935126	0.0007097806723034108	0.0004902789505838761	0.0	0.014900980641381848	0.0027908839633879476	0.0008220440539915998
Hhon_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000771856756186819	0.003661523434799039	0.0014625990144817498	0.9465180750556585	0.9508763625473776	9.788625719922179e-05	0.0	0.0027435313816949495	0.0	0.0	0.0	0.0	0.0	0.0017718753104936525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027201508947865423	0.7007415432553792	0.0	0.011144501506744595	0.0	0.4549496929226433	0.003564690341918861	0.0	0.004711588494244674	0.015160115408061494	0.002927750742545778
Hhon_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011674517202711386	0.18606528446809872	0.0012309523299961355	0.0018027016125254768	0.00020681775357133913	0.0	0.952899951274859	0.0	3.235799348975316e-05	0.005086816965817162	0.00027890630644655546	0.007025447143678888	0.0	1.3136469428695754e-05	0.0063639072938064655	0.0	0.0	0.0	0.0	0.00044994378978298214	0.0	0.007571039827693494	0.0	0.0	4.908027389591522e-05	9.925566602481797e-06	0.3027229397419387	0.3857875482005646	0.0	0.0	0.27411279103445435	0.0	0.001737357372292269	0.036503638305281395	0.0005515363022914425
Hhon_gland_1_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001940124438003277	0.0	0.0	0.7167013536801771	0.0	0.014458699184748843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04144319868672862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hhon_lipophil_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002735805942020506	0.0007808680468686148	0.0	0.0	0.0	0.00020979617539741523	0.9790626642850745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008206820726090754	0.02001858884424671	0.5490962787011069	0.08550870801675062	0.3800926174705873	0.4552362081396944	0.002441668088102467	0.003248341383573995	0.0
Hhon_lipophil_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8565620384378778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002939850147127837	0.0	0.0	0.0	0.0	0.0	0.0	0.12470384840983155	0.38724651944074495	0.3730957523629173	0.0
Hhon_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014048492304592815	0.0006291301819599047	0.0	0.0017836255441494055	0.0	0.0	0.0008332814113857256	0.0	0.0	0.9710382965237352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025800366018473835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
