Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_ventral	orchid1	22	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_167	8.197935	-1.4497979
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_241	-2.4089077	20.491905
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_96	8.636418	5.968096
epithelia_ventral	orchid1	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_147	9.268619	3.2396083
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_189	0.5482579	-0.30537093
peptidergic_mu_like	cyan3	26	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_250	10.994771	-3.8466072
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_191	0.8656999	-0.039678175
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_47	9.272862	9.497157
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_203	1.3435864	-1.8036977
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_74	7.4410124	10.275918
peptidergic_alpha	dodgerblue1	21	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_212	16.607325	16.392351
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_132	7.0686088	3.6857715
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_50	8.629233	11.292681
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_158	6.7650185	3.2296336
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_57	8.85258	12.014756
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_165	7.488946	1.7962694
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_54	7.9722676	12.762453
unknown_1	darkolivegreen2	20	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_23	-7.406565	15.0586
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_138	7.2975454	1.3365912
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_52	9.072609	11.815631
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_152	6.9318213	2.8523135
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_241	-2.2691958	20.602325
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_219	-12.001704	6.6201644
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_51	7.7101393	11.405385
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_152	6.1550007	1.9133766
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_191	0.81902564	-0.20549698
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_166	6.5998836	2.0832133
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_164	6.1836863	4.0188828
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_173	7.8815274	3.3447552
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_126	5.425845	4.299387
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_126	5.1614327	3.4842384
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_137	7.2599654	1.2825054
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_125	5.164229	4.17132
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_72	7.7239037	9.782022
