	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1
Tadh_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9989915471450296	0.04006487740263856	0.03902679137428768	0.23801896967561706	0.0005	0.010409552493305024	0.9444021939179847	0.00860460222367761	0.0004472569533745095	0.0	0.009463594329562182	0.009412832259017886	0.0	0.0	0.0	0.0	0.0270020719890331	0.0	0.0	0.0	0.017869104319417885	0.0	0.007429787065092039	0.0	0.0	0.0019904068578336033	0.0009244375188228229	0.0	0.0	0.0	0.8938023552619369	0.0	0.0	0.0	0.0	0.000575154155868252	0.4829855124368784	0.004831496789502238
Tadh_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02701592270317286	0.9623136048772967	0.09864448307987955	0.7646846452238754	0.0036063590239990262	0.5947358689213981	0.0	0.008729355964148932	0.0	0.03715758282978741	0.0	0.0	0.0	0.018175170549127827	0.0	0.0	0.010674195423671626	0.0	0.0	0.0	0.0	0.0	0.004883188986655412	0.009291077049007574	0.0	0.0	0.008724984003705798	0.0	0.0	0.0	0.021575793010600895	0.00011996216039225005	0.008100473890152358	0.009632030975448888	0.0004936759978161458	0.0	0.00046933097966866315	0.007036669790368879
Tadh_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8463676314957033	0.005430081387010297	0.0	0.0	0.0	0.0	0.0	0.0	0.014728472145783086	0.0	0.0	0.0	0.0	0.0	0.014422791735806925	0.0	0.0	0.0	0.0	0.0007783201098319847	0.0	0.0	0.0	0.015938727027220507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001871788948490162	0.0	0.0	0.007359752100817542	0.0
Tadh_epithelia_unknown_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015397809652092712	0.56140237399803	0.974943569794452	0.8800864910922692	0.0	0.06740461502856832	0.0	0.001029495614497548	0.0	0.006820246731396309	0.0	0.0	0.0	0.0	0.011182158762648088	0.016895098173934205	0.0	0.009526615447710662	0.0	0.0	0.0	0.009746460287970587	0.0	0.0	0.0	0.0	0.004789984300588263	0.0	0.0	0.0	0.012184390892626627	0.0	0.001072458741723178	0.009227599818134438	0.0	0.0	0.00950413404380532	0.0
Tadh_epithelia_unknown_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043603402619136505	0.0004620656801394586	0.7883113638436542	0.5499414784434387	0.0	0.00038997459464930133	0.043535102904368406	0.0	0.0	0.01582929696977001	0.00909026452526895	0.020107635297418887	0.0	0.0	0.0	0.0	0.0	0.00045811170892734384	0.0	0.0	0.005969476381515262	0.0	0.0	0.008724322163711825	0.0	0.0	0.0033053317336389594	0.0	0.0	0.0	0.3599078560825341	0.0	0.0	0.0	0.0	0.0	0.015784183972817896	0.0
Tadh_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08823828092201125	0.9938261115370848	0.49371655536673476	0.998725209361683	0.01117064014196017	0.10093276721983735	0.0	0.008283909475466174	0.0	0.021727784226593667	0.01751610059268912	0.0	0.0	0.09421650341750462	0.0	0.007694507389996339	0.004548877542144833	0.026247270986702986	0.004353423594640207	0.0	0.010808212206440121	0.0009293968959937249	0.010220322177182663	0.0	0.0	0.0	0.1980957805324927	0.0	0.0	0.0	0.8203996087499213	0.0	0.0014922602176259425	0.045627551104241264	0.009531100737947093	0.0009275460012579086	0.01937502760943744	0.0
Tadh_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01664861645802537	0.009928236831453479	0.0	0.0	0.9997959939751648	0.0	0.0	0.026558156645831894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3626356060738951	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016749915868458166	0.4675511575921899	0.004732602876967569	0.02276814499199614	0.0	0.99983951064139	0.013954859206637336	0.0	0.0	0.0	0.009621281765884605	0.0	0.0	0.0	0.0	0.018716713458111732	0.005122977746084678	0.0	0.0	0.0	0.0	0.0	0.00031303108322849486	0.0	0.0	0.0	0.0002910807609364582	0.0009129780608230217	0.0	0.009946831867168316	0.0012447509134855133	0.017368038732973236	0.3838820099590526	0.6380932112463323	0.0	0.2075414874349734	0.0	0.0
Tadh_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01875108335520318	0.035297550104807666	0.0004993840316790816	0.0	0.0	0.0	0.0	0.9997889061348963	0.0018659962643747176	0.0	0.009488675286375531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006573304873807413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01867341963638708	0.0	0.0	0.6344005489316487	0.2635327282161509	0.0	0.0
Tadh_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006820783605203859	0.018118781639927556	0.00012241108506111966	0.11470408699488666	0.0	0.0012467604054193786	0.0	0.0	0.0	0.9984030230696653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06021956716492745	0.0	0.0	0.0	0.009989124297002005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
