Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	0.7486879	3.3258379
epithelia_ventral	orchid1	29	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_126	5.499351	-2.3975692
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	4.7793875	12.442108
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	-11.010731	9.655298
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_107	2.5747008	-1.4349306
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	5.7718496	9.788016
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	4.689411	12.485132
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	-0.15396579	2.7394865
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	4.7671432	12.210316
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	4.598863	12.525252
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_138	5.9142723	0.045627132
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_162	1.6349208	3.2913332
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	5.538095	13.235312
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	5.0462112	1.1834799
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	4.686431	12.7343
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	-10.939082	9.372218
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	2.6170115	-1.6196628
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_154	0.018489929	2.6651998
epithelia_unknown_2	plum3	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_99	6.7049193	-1.7740617
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	-10.534795	9.59605
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	4.675706	0.23397635
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	1.3202355	3.5296772
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	3.4300647	-2.3365972
trans_gland_epithelia	gray45	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_76	0.36532202	-10.52758
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_77	4.952426	12.948951
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	5.1522484	12.841305
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	4.8350368	12.679467
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	4.7691154	12.405816
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	2.6853864	-1.469448
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	22.558443	1.5761522
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_28	4.1922345	7.951984
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.1876264	7.9520755
peptidergic_mu	cyan3	32	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_183	13.469494	21.375538
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	0.34918037	-10.524565
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	3.5538945	-2.6139889
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_135	4.076448	1.0524383
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	-10.159842	9.085403
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	-10.878398	9.337721
