	TrH2_epithelia_dorsal	TrH2_epithelia_dorsal_like	TrH2_epithelia_gland_like	TrH2_epithelia_unknown_1	TrH2_epithelia_ventral	TrH2_fibre	TrH2_gland_1	TrH2_lipophil	TrH2_peptidergic_alpha	TrH2_peptidergic_beta	TrH2_peptidergic_delta	TrH2_peptidergic_epsilon	TrH2_peptidergic_eta	TrH2_peptidergic_gamma	TrH2_peptidergic_gamma_like	TrH2_peptidergic_iota	TrH2_peptidergic_iota_like	TrH2_peptidergic_kappa	TrH2_peptidergic_lambda	TrH2_peptidergic_mu	TrH2_peptidergic_mu_like	TrH2_peptidergic_nu	TrH2_peptidergic_omicron	TrH2_peptidergic_progenitors	TrH2_peptidergic_theta	TrH2_peptidergic_zeta	TrH2_trans_epithelia_dorsal_ventral	TrH2_trans_epithelia_ventral_peptidergic	TrH2_trans_fibre_epithelia	TrH2_trans_fibre_gland	TrH2_trans_lipophil_1_epithelia	TrH2_trans_lipophil_1_fibre	TrH2_trans_lipophil_1_gland	TrH2_unknown_1	TrH2_unknown_2.1	TrH2_unknown_2.2	TrH2_unknown_2.3	TrH2_unknown_2.4	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1
TrH2_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9946754361625496	0.046045181215640954	0.0506874134115833	0.3059410599480435	0.052197172950868134	0.1336333859998911	0.8472080386256596	0.0	0.0	0.0	0.04709010213820965	0.0	0.0	0.007688433081571971	0.0	0.01812741903467269	0.03921857858319103	0.007012886479381397	0.006759460177442672	0.0	0.015374722629164774	0.000819522675858516	0.009626354970241512	0.008683562383964538	0.0	0.0	0.0010632726448963452	0.0004685489681484446	0.0	0.019975654127540238	0.8651976581039669	0.007087988105852266	0.0005024037329446316	0.004446111730629387	0.0	0.0	0.07662761887994154	0.0
TrH2_epithelia_dorsal_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8482542231990559	0.0497793219734431	0.057999949084419744	0.07472611925029925	0.2665532762948344	0.05618382602780801	0.6875069133709432	0.2727550346122691	0.9826969742660336	0.0	0.013203958820622716	0.006961767775963615	0.0	0.0	0.03187039660719698	0.0	0.0	0.001882254036907944	0.0	0.0	0.05205280761969494	0.0004925167733384145	0.0	0.01762812115895767	0.0	0.0	0.00018272807465105295	0.00020826494217510632	0.012011972381563681	0.11224343714543669	0.09412874912903937	0.008196672859166138	0.05854469087351246	0.0	0.0016378232518994076	0.0	0.9707310058549805	0.05698364688050313
TrH2_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01982711905549658	0.9438068383806542	0.9707555369558506	0.8641261995979501	0.009119954886661345	0.5117328030579482	0.0	0.0	0.0	0.027348862246521118	0.007341735418365884	0.0	0.00017604080393478555	0.0	0.016144872451268874	0.0	0.0	0.013732537542472889	0.0013811969223849938	0.0	0.004964575970908868	0.00047229060917108173	0.0040539012673591985	0.0	0.0	0.013951698457203615	0.006966312709676244	0.0	0.0	0.009910064342463994	0.10630300433556672	0.0	0.00782746548774199	0.021918308471171703	0.0009987841280157117	0.0008220983782776233	0.006770889091374396	0.01724901418120369
TrH2_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002744518806439183	0.0	0.9455357047774594	0.019138607941139137	0.0	0.0	0.0	0.0	0.0	0.0	0.03653697455477832	0.0	0.0007118826224962201	0.0	0.0	0.0	0.019764973845952577	0.009825048818910703	0.0	0.0	0.0	0.021653152841156886	0.0	0.0	0.0	0.021239769519086297	0.0003491097808131059	0.0	0.0	0.0	0.0011491542742118077	0.0	0.0	0.0001588348382725415	0.0	0.0	0.001118369374893723	0.0
TrH2_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12806857303271388	0.9544142526111171	0.981498527565849	0.9973874297121382	0.044819283334768326	0.17050058510823304	0.03626636043504695	0.017475926019443443	0.04808209720870486	0.03422848200843211	0.12859909836980787	0.02497852141947691	0.0	0.006293272506183123	0.02654286553402267	0.0	0.014467010640160701	0.020803034991774112	0.003987274267349939	0.0	0.028143525363355754	0.004076234496233998	0.02485901177539865	0.013022251258652761	0.0	0.045127112888716826	0.1600751818903124	0.0	0.028057328339144864	0.03146521778475136	0.7591255401362401	0.009829739319834345	0.0007902888301807023	0.03821228483456728	0.00968368285675025	0.00020669742562754419	0.029502481210921146	0.008433702939269835
TrH2_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3171891367196269	0.020765231720740643	0.01335790507138922	0.21950761208996136	0.9997584257825899	0.018609353011434692	0.0	0.14150133489384312	0.00048219475486216586	0.019760781729941123	0.028869742948737575	0.0	0.0	0.0	0.013503829705604884	0.027183042728607176	0.018345914565714824	0.007000997398510425	0.0029923770861918562	0.0	0.0	0.0	0.01893664986081556	0.0	0.0	0.007277040994721029	0.0007986430430923085	0.0	0.0	0.009606295636964083	0.0006664287244239591	0.5081460424422573	0.0	0.0	0.0	0.0	0.0	0.0
TrH2_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007391896238588923	0.5201268551075342	0.006665945153785822	0.05129247363101613	0.05457017465228686	0.9998854748569759	0.009698408510411722	0.015202518785903668	0.0	0.00012978203710117066	0.008647657114751815	0.0	0.0	0.0	0.0	0.008630754574480103	0.012502955329439078	0.0	0.0	0.0	0.0	0.0	0.009595970998779879	0.0	0.0	0.00030426763343401503	0.00030064095459181794	0.0	0.0	0.0	0.0012641461025927414	0.01589456057902134	0.370722130110372	0.6483800802544173	0.0	0.15937990817647357	0.0	0.0
TrH2_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018618312390643967	0.05180314433165019	0.0	0.004297255985485787	0.009786407455723945	0.010332428883170163	0.0	0.9996605795424871	0.00036137170287495245	0.0	0.034166177085583956	0.0	0.0	0.0	0.0	0.007800010794341769	0.0	0.0	0.0	0.0	0.005331042904122765	0.0	0.0	0.0	0.0	0.0004970089688041846	0.00014954773638358758	0.0	0.0	0.0	0.0	0.02683966192440921	0.00039065372635705786	0.00041054102607658864	0.7123776166083371	0.33295530755341013	0.0007534555807516481	0.02860686318536796
TrH2_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006314278740139604	0.017515642629961723	0.0	0.11017932397369554	0.0	0.009344019095905582	0.0	0.0	0.0	0.9994267199624103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028533282922691815	0.0	0.0	0.0	0.009252990196942661	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TrH2_peptidergic_beta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019523555877384177	0.018852181243676262	0.008304346024633754	0.1129902419416396	0.01044001151738787	0.008176884163693788	0.0	0.017646875546194755	0.0	0.0	0.943688125502306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039577471324081265	0.0	0.0	0.0	0.0	0.0029323461216140064	0.0	0.0	0.0	0.005147940700877809	0.00020124128742389605	0.0	0.021384297765429622	0.0	0.0	0.0050677995164046565	0.0
