TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	11.966638	-3.227863
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	11.062375	-1.4536588
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	11.717961	-1.5482779
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.6714997	-4.428196
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	12.04864	-3.291222
fibre	chartreuse3	44	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	-8.399126	1.0043927
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_65	13.4367285	-3.276563
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.6035874	11.047818
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_187	3.5810475	12.027894
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	1.947982	11.442271
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	11.195337	-1.4657961
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	11.972269	-3.1976414
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_190	1.7624632	12.602912
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	-3.7707276	11.022541
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_179	3.7775793	13.209327
lipophil	khaki2	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_4	12.682868	-2.503119
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.1370506	10.932528
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	5.910347	10.002726
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	12.459108	-2.6207097
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	11.944424	-3.1996317
