module	mc_top	ct_top
bisque4	231	peptidergic_eta
black	100	epithelia_gland_like
blue	30	fibre
brown	125	epithelia_ventral
brown4	250	peptidergic_mu_like
cyan	162	epithelia_ventral
darkgreen	24	unknown_1
darkgrey	253	peptidergic_omicron
darkmagenta	233	peptidergic_eta
darkolivegreen	182	epithelia_unknown
darkorange	223	peptidergic_gamma
darkorange2	24	unknown_1
darkred	255	peptidergic_other_2
darkslateblue	232	peptidergic_eta
darkturquoise	215	peptidergic_alpha
floralwhite	226	peptidergic_delta
green	117	epithelia_ventral
greenyellow	56	gland_1
grey	215	peptidergic_alpha
grey60	242	peptidergic_iota
honeydew1	216	peptidergic_alpha
ivory	220	peptidergic_beta
lavenderblush3	219	peptidergic_beta
lightcyan	247	peptidergic_lambda
lightcyan1	176	epithelia_unknown
lightgreen	228	peptidergic_epsilon_like
lightpink4	215	peptidergic_alpha
lightsteelblue1	244	peptidergic_iota_like
lightyellow	211	peptidergic_progenitors
magenta	242	peptidergic_iota
maroon	236	peptidergic_theta
mediumpurple3	254	peptidergic_other_1
midnightblue	245	peptidergic_kappa
navajowhite2	17	lipophil_2
orange	249	peptidergic_mu
orangered4	234	peptidergic_eta
paleturquoise	229	peptidergic_zeta
palevioletred3	250	peptidergic_mu_like
pink	146	epithelia_ventral
plum1	251	peptidergic_mu_like
plum2	224	peptidergic_gamma_like
purple	235	peptidergic_theta
red	194	epithelia_dorsal
royalblue	17	lipophil_2
saddlebrown	246	peptidergic_lambda
salmon	193	epithelia_dorsal
salmon4	252	peptidergic_mu_like
sienna3	217	peptidergic_alpha
skyblue	147	epithelia_ventral
skyblue3	181	epithelia_unknown
steelblue	237	peptidergic_theta_like
tan	134	epithelia_ventral
thistle1	230	peptidergic_eta
thistle2	87	gland_1_like
turquoise	9	lipophil_1
violet	227	peptidergic_epsilon
white	225	peptidergic_delta
yellow	195	epithelia_dorsal
yellowgreen	184	epithelia_unknown
