module	mc_top	ct_top
bisque4	132	epithelia
black	81	epithelia_gland_like
blue	129	epithelia
brown	3	lipophil
brown4	169	peptidergic
cyan	177	peptidergic
darkgreen	97	epithelia
darkgrey	27	unknown_2
darkmagenta	102	epithelia
darkolivegreen	85	epithelia_gland_like
darkorange	103	epithelia
darkorange2	7	lipophil
darkred	182	peptidergic
darkslateblue	28	unknown_2
darkturquoise	88	epithelia_gland_like
floralwhite	28	unknown_2
green	165	peptidergic
greenyellow	26	unknown_2
grey	28	unknown_2
grey60	91	epithelia
ivory	19	lipophil
lightcyan	81	epithelia_gland_like
lightcyan1	167	peptidergic
lightgreen	188	peptidergic
lightsteelblue1	179	peptidergic
lightyellow	85	epithelia_gland_like
magenta	185	peptidergic
mediumpurple3	177	peptidergic
midnightblue	189	peptidergic
navajowhite2	176	peptidergic
orange	175	peptidergic
orangered4	187	peptidergic
paleturquoise	168	peptidergic
palevioletred3	19	lipophil
pink	173	peptidergic
plum1	170	peptidergic
plum2	183	peptidergic
purple	171	peptidergic
red	108	epithelia
royalblue	174	peptidergic
saddlebrown	125	epithelia
salmon	164	peptidergic
salmon4	152	epithelia
sienna3	53	gland
skyblue	181	peptidergic
skyblue3	106	epithelia
steelblue	164	peptidergic
tan	180	peptidergic
thistle1	182	peptidergic
thistle2	27	unknown_2
turquoise	31	fibre
violet	183	peptidergic
white	28	unknown_2
yellow	143	epithelia
yellowgreen	176	peptidergic
