module	mc_top	ct_top
bisque4	52	unknown_2
black	196	peptidergic
blue	72	fibre
brown	190	epithelia
brown4	197	peptidergic
cyan	217	peptidergic
darkgreen	57	unknown_2
darkgrey	210	peptidergic
darkmagenta	198	peptidergic
darkolivegreen	206	peptidergic
darkorange	166	epithelia
darkorange2	204	peptidergic
darkred	8	lipophil
darkseagreen4	166	epithelia
darkslateblue	99	gland
darkturquoise	46	unknown_2
floralwhite	216	peptidergic
green	51	unknown_2
greenyellow	59	fibre
grey	52	unknown_2
grey60	211	peptidergic
honeydew1	72	fibre
ivory	62	fibre
lavenderblush3	114	gland
lightcyan	201	peptidergic
lightcyan1	5	lipophil
lightgreen	214	peptidergic
lightpink4	205	peptidergic
lightsteelblue1	138	epithelia
lightyellow	50	unknown_2
magenta	216	peptidergic
maroon	126	epithelia_gland_like
mediumpurple3	209	peptidergic
midnightblue	213	peptidergic
navajowhite2	199	peptidergic
orange	58	unknown_2
orangered4	133	epithelia
paleturquoise	62	fibre
palevioletred3	8	lipophil
pink	41	unknown_1
plum1	52	unknown_2
plum2	2	lipophil
purple	47	unknown_2
red	206	peptidergic
royalblue	205	peptidergic
saddlebrown	215	peptidergic
salmon	50	unknown_2
salmon4	203	peptidergic
sienna3	65	fibre
skyblue	200	peptidergic
skyblue3	48	unknown_2
steelblue	162	trans
tan	178	epithelia
thistle1	60	fibre
thistle2	205	peptidergic
turquoise	31	lipophil
violet	130	epithelia
white	202	peptidergic
yellow	124	epithelia_gland_like
yellowgreen	203	peptidergic
