module	mc_top	ct_top
bisque4	52	unknown_2.4
black	196	peptidergic_alpha
blue	72	fibre
brown	190	epithelia_dorsal
brown4	197	peptidergic_beta
cyan	217	peptidergic_omicron
darkgreen	57	unknown_2.4
darkgrey	210	peptidergic_iota_like
darkmagenta	198	peptidergic_gamma
darkolivegreen	206	peptidergic_iota
darkorange	166	epithelia_dorsal_like
darkorange2	204	peptidergic_eta
darkred	8	lipophil
darkseagreen4	166	epithelia_dorsal_like
darkslateblue	99	gland_1
darkturquoise	46	unknown_2.1
floralwhite	216	peptidergic_nu
green	51	unknown_2.3
greenyellow	59	fibre
grey	52	unknown_2.4
grey60	211	peptidergic_kappa
honeydew1	72	fibre
ivory	62	fibre
lavenderblush3	114	gland_1
lightcyan	201	peptidergic_epsilon
lightcyan1	5	lipophil
lightgreen	214	peptidergic_mu
lightpink4	205	peptidergic_theta
lightsteelblue1	138	epithelia_ventral
lightyellow	50	unknown_2.2
magenta	216	peptidergic_nu
maroon	126	epithelia_gland_like
mediumpurple3	209	peptidergic_iota_like
midnightblue	213	peptidergic_lambda
navajowhite2	199	peptidergic_gamma_like
orange	58	unknown_2.4
orangered4	133	epithelia_ventral
paleturquoise	62	fibre
palevioletred3	8	lipophil
pink	41	unknown_1
plum1	52	unknown_2.4
plum2	2	lipophil
purple	47	unknown_2.2
red	206	peptidergic_iota
royalblue	205	peptidergic_theta
saddlebrown	215	peptidergic_mu_like
salmon	50	unknown_2.2
salmon4	203	peptidergic_eta
sienna3	65	fibre
skyblue	200	peptidergic_delta
skyblue3	48	unknown_2.2
steelblue	162	trans_epithelia_dorsal_ventral
tan	178	epithelia_dorsal
thistle1	60	fibre
thistle2	205	peptidergic_theta
turquoise	31	lipophil
violet	130	epithelia_unknown_1
white	202	peptidergic_zeta
yellow	124	epithelia_gland_like
yellowgreen	203	peptidergic_eta
