to	from	weight
Tadh.bisque4	TrH2.lightsteelblue1	0.229166666666667
Tadh.brown	TrH2.orange	0.102325581395349
Tadh.brown	TrH2.turquoise	0.464929859719439
Tadh.brown4	TrH2.navajowhite2	0.642857142857143
Tadh.cyan	TrH2.darkolivegreen	0.329787234042553
Tadh.cyan	TrH2.floralwhite	0.207100591715976
Tadh.darkgreen	TrH2.maroon	0.115384615384615
Tadh.darkorange	TrH2.maroon	0.134615384615385
Tadh.darkorange	TrH2.orangered4	0.137931034482759
Tadh.darkorange	TrH2.tan	0.117241379310345
Tadh.darkorange2	TrH2.orange	0.207729468599034
Tadh.darkorange2	TrH2.plum2	0.202127659574468
Tadh.darkred	TrH2.midnightblue	0.272727272727273
Tadh.darkslateblue	TrH2.salmon	0.12
Tadh.floralwhite	TrH2.salmon	0.126582278481013
Tadh.floralwhite	TrH2.skyblue3	0.294117647058824
Tadh.green	TrH2.black	0.644230769230769
Tadh.greenyellow	TrH2.darkturquoise	0.401960784313726
Tadh.lightcyan	TrH2.lightsteelblue1	0.10077519379845
Tadh.lightcyan	TrH2.tan	0.160839160839161
Tadh.lightcyan1	TrH2.brown4	0.777777777777778
Tadh.lightgreen	TrH2.darkgrey	0.148648648648649
Tadh.lightgreen	TrH2.magenta	0.342465753424658
Tadh.lightsteelblue1	TrH2.red	0.283333333333333
Tadh.magenta	TrH2.saddlebrown	0.363636363636364
Tadh.mediumpurple3	TrH2.red	0.304
Tadh.midnightblue	TrH2.cyan	0.409638554216867
Tadh.navajowhite2	TrH2.lightpink4	0.3
Tadh.orange	TrH2.yellowgreen	0.362068965517241
Tadh.orangered4	TrH2.mediumpurple3	0.413793103448276
Tadh.paleturquoise	TrH2.darkmagenta	0.447368421052632
Tadh.palevioletred3	TrH2.darkseagreen4	0.104575163398693
Tadh.palevioletred3	TrH2.turquoise	0.183574879227053
Tadh.pink	TrH2.white	0.388059701492537
Tadh.plum1	TrH2.skyblue	0.40625
Tadh.plum2	TrH2.lightgreen	0.188405797101449
Tadh.purple	TrH2.lightcyan	0.459459459459459
Tadh.red	TrH2.bisque4	0.126760563380282
Tadh.royalblue	TrH2.darkorange2	0.344827586206897
Tadh.royalblue	TrH2.salmon4	0.241379310344828
Tadh.saddlebrown	TrH2.lightsteelblue1	0.264150943396226
Tadh.saddlebrown	TrH2.tan	0.308139534883721
Tadh.salmon	TrH2.darkgreen	0.102739726027397
Tadh.sienna3	TrH2.darkslateblue	0.588235294117647
Tadh.skyblue	TrH2.midnightblue	0.288135593220339
Tadh.skyblue3	TrH2.orangered4	0.458333333333333
Tadh.skyblue3	TrH2.violet	0.103448275862069
Tadh.tan	TrH2.grey60	0.472222222222222
Tadh.thistle2	TrH2.salmon	0.2375
