module	ct_top
yellow	epithelia_dorsal
black	epithelia_gland_like
darkolivegreen	epithelia_gland_like
green	epithelia_gland_like
grey	epithelia_gland_like
magenta	epithelia_gland_like
ivory	epithelia_unknown
palevioletred3	epithelia_unknown
saddlebrown	epithelia_unknown
darkgreen	epithelia_ventral
skyblue3	fibre_2
salmon	gland_1
sienna3	gland_1
turquoise	lipophil_1
bisque4	lipophil_2
tan	lipophil_2
pink	peptidergic_alpha
floralwhite	peptidergic_beta
thistle2	peptidergic_beta
darkgrey	peptidergic_epsilon
orangered4	peptidergic_eta
plum2	peptidergic_eta
white	peptidergic_eta
orange	peptidergic_gamma
lightcyan1	peptidergic_gamma_like
red	peptidergic_iota
greenyellow	peptidergic_kappa
darkorange	peptidergic_lambda
midnightblue	peptidergic_lambda
darkmagenta	peptidergic_mu
salmon4	peptidergic_mu_like
yellowgreen	peptidergic_mu_like
brown4	peptidergic_nu
purple	peptidergic_nu
lightgreen	peptidergic_progenitors
lightyellow	peptidergic_progenitors
darkred	peptidergic_theta
plum1	peptidergic_zeta
mediumpurple3	peptidergic_zeta_like
paleturquoise	peptidergic_zeta_like
skyblue	peptidergic_zeta_like
violet	trans_gland_epithelia_ventral
lightsteelblue1	unknown_1
steelblue	unknown_1
