annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
Cupin_8	12	24	300	15756	4.02194300152782e-15	7.68191113291814e-13
Pyr_redox_3	4	9	300	15756	1.50544325491673e-05	0.00143769830844548
NIDO	5	24	300	15756	7.64205742715046e-05	0.00364908242146435
TMC	3	5	300	15756	6.64338582429848e-05	0.00364908242146435
Phospholip_A2_1	2	3	300	15756	0.0010703795397123	0.0378273726892945
SNF	4	25	300	15756	0.00118829443003019	0.0378273726892945
2OG-FeII_Oxy_3	2	11	300	15756	0.0177418302352799	0.134692956475134
Amnionless	1	1	300	15756	0.019040365575019	0.134692956475134
ASC	2	9	300	15756	0.0119077912155948	0.134692956475134
Choline_transpo	1	1	300	15756	0.019040365575019	0.134692956475134
COR	4	45	300	15756	0.0103977145476808	0.134692956475134
EGF_3	4	37	300	15756	0.00518829974160422	0.134692956475134
EGF_CA	6	98	300	15756	0.0110628550329481	0.134692956475134
Ependymin	2	11	300	15756	0.0177418302352799	0.134692956475134
FXa_inhibition	3	24	300	15756	0.0102871317550077	0.134692956475134
G8	1	1	300	15756	0.019040365575019	0.134692956475134
Gate	1	1	300	15756	0.019040365575019	0.134692956475134
Hairy_orange	1	1	300	15756	0.019040365575019	0.134692956475134
L_HMGIC_fpl	1	1	300	15756	0.019040365575019	0.134692956475134
Microtub_bd	1	1	300	15756	0.019040365575019	0.134692956475134
PACT_coil_coil	1	1	300	15756	0.019040365575019	0.134692956475134
Patatin	2	10	300	15756	0.0146990868044172	0.134692956475134
PID_2	1	1	300	15756	0.019040365575019	0.134692956475134
SEA	3	30	300	15756	0.0189814188736628	0.134692956475134
SH3_2	2	11	300	15756	0.0177418302352799	0.134692956475134
TSP_3	1	1	300	15756	0.019040365575019	0.134692956475134
TSP_C	1	1	300	15756	0.019040365575019	0.134692956475134
VWD	2	12	300	15756	0.0210255001974387	0.143423947775385
5_nucleotid_C	1	3	300	15756	0.0560438819497806	0.152919735034401
AAA_6	2	18	300	15756	0.045235518340542	0.152919735034401
AAA_7	2	18	300	15756	0.045235518340542	0.152919735034401
AAA_8	2	18	300	15756	0.045235518340542	0.152919735034401
AAA_9	2	18	300	15756	0.045235518340542	0.152919735034401
AAA_lid_1	2	15	300	15756	0.0322214171088399	0.152919735034401
AAA_lid_11	2	18	300	15756	0.045235518340542	0.152919735034401
ABC2_membrane	1	3	300	15756	0.0560438819497806	0.152919735034401
ABC2_membrane_7	1	3	300	15756	0.0560438819497806	0.152919735034401
Alk_phosphatase	1	3	300	15756	0.0560438819497806	0.152919735034401
ALO	1	3	300	15756	0.0560438819497806	0.152919735034401
ARL2_Bind_BART	1	2	300	15756	0.0377193811464247	0.152919735034401
CECR6_TMEM121	1	3	300	15756	0.0560438819497806	0.152919735034401
DHC_N2	2	18	300	15756	0.045235518340542	0.152919735034401
Dynein_AAA_lid	2	17	300	15756	0.0407105718469752	0.152919735034401
Dynein_C	2	18	300	15756	0.045235518340542	0.152919735034401
Dynein_heavy	2	18	300	15756	0.045235518340542	0.152919735034401
ERAP1_C	2	19	300	15756	0.0499359180082329	0.152919735034401
Ferritin	1	2	300	15756	0.0377193811464247	0.152919735034401
FGE-sulfatase	1	3	300	15756	0.0560438819497806	0.152919735034401
Frizzled	1	3	300	15756	0.0560438819497806	0.152919735034401
FTCD	1	3	300	15756	0.0560438819497806	0.152919735034401
FTCD_C	1	3	300	15756	0.0560438819497806	0.152919735034401
GMC_oxred_N	1	3	300	15756	0.0560438819497806	0.152919735034401
HOOK_N	1	2	300	15756	0.0377193811464247	0.152919735034401
Il2rg	1	3	300	15756	0.0560438819497806	0.152919735034401
Ins145_P3_rec	1	3	300	15756	0.0560438819497806	0.152919735034401
Lipoxygenase	1	3	300	15756	0.0560438819497806	0.152919735034401
MT	2	16	300	15756	0.0363696074710169	0.152919735034401
NTR	1	3	300	15756	0.0560438819497806	0.152919735034401
Nucleos_tra2_C	1	3	300	15756	0.0560438819497806	0.152919735034401
Nucleos_tra2_N	1	3	300	15756	0.0560438819497806	0.152919735034401
Peptidase_M3	1	2	300	15756	0.0377193811464247	0.152919735034401
Prominin	1	3	300	15756	0.0560438819497806	0.152919735034401
RIH_assoc	1	3	300	15756	0.0560438819497806	0.152919735034401
Roc	2	14	300	15756	0.0282750625452864	0.152919735034401
RYDR_ITPR	1	3	300	15756	0.0560438819497806	0.152919735034401
Scramblase	2	18	300	15756	0.045235518340542	0.152919735034401
