annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
Exo_endo_phos	2	18	21	15756	0.000255557929216561	0.00383336893824842
PAX	1	2	21	15756	0.00266395924068596	0.0199796943051447
7tm_1	4	679	21	15756	0.0113934086874196	0.0284835217185489
7tm_3	2	95	21	15756	0.00701132142602514	0.0284835217185489
ANF_receptor	2	112	21	15756	0.00962905614139341	0.0284835217185489
RasGEF_N	1	7	21	15756	0.00929431973338501	0.0284835217185489
Homeodomain	1	29	21	15756	0.0379724156483912	0.0711982793407334
RhoGEF	1	27	21	15756	0.0353983479584786	0.0711982793407334
CUB	1	40	21	15756	0.0520132597670094	0.081817621943204
GAIN	1	42	21	15756	0.0545450812954693	0.081817621943204
I-set	1	57	21	15756	0.07332951868238	0.0999947982032455
Ig_3	1	67	21	15756	0.0856544251700467	0.107068031462558
GPS	1	74	21	15756	0.0941887982277929	0.10867938257053
7tm_2	1	111	21	15756	0.138053325730535	0.14791427756843
Pkinase	1	169	21	15756	0.202767464812705	0.202767464812705
