GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0070948	regulation of neutrophil mediated cytoto...	8	2	0.01	1.5e-05	0.11533	BP
GO:0002673	regulation of acute inflammatory respons...	9	2	0.01	1.9e-05	0.11533	BP
GO:0002283	neutrophil activation involved in immune...	13	2	0.01	4e-05	0.161866666666667	BP
GO:0000737	DNA catabolic process, endonucleolytic	56	2	0.04	0.00079	1	BP
GO:0038180	nerve growth factor signaling pathway	2	1	0	0.00158	1	BP
GO:1905451	positive regulation of Fc-gamma receptor...	2	1	0	0.00158	1	BP
GO:0043409	negative regulation of MAPK cascade	87	2	0.07	0.00189	1	BP
GO:0032486	Rap protein signal transduction	7	1	0.01	0.00552	1	BP
GO:0010933	positive regulation of macrophage tolera...	11	1	0.01	0.00866	1	BP
GO:0032494	response to peptidoglycan	12	1	0.01	0.00944	1	BP
GO:0071320	cellular response to cAMP	13	1	0.01	0.01023	1	BP
GO:0032695	negative regulation of interleukin-12 pr...	14	1	0.01	0.01101	1	BP
GO:2000178	negative regulation of neural precursor ...	14	1	0.01	0.01101	1	BP
GO:0010936	negative regulation of macrophage cytoki...	14	1	0.01	0.01101	1	BP
GO:0007634	optokinetic behavior	14	1	0.01	0.01101	1	BP
GO:0043052	thermotaxis	14	1	0.01	0.01101	1	BP
GO:0050960	detection of temperature stimulus involv...	15	1	0.01	0.01179	1	BP
GO:0002755	MyD88-dependent toll-like receptor signa...	15	1	0.01	0.01179	1	BP
GO:0070498	interleukin-1-mediated signaling pathway	16	1	0.01	0.01257	1	BP
GO:0046580	negative regulation of Ras protein signa...	16	1	0.01	0.01257	1	BP
GO:0051898	negative regulation of protein kinase B ...	17	1	0.01	0.01335	1	BP
GO:0050955	thermoception	17	1	0.01	0.01335	1	BP
GO:0050961	detection of temperature stimulus involv...	18	1	0.01	0.01413	1	BP
GO:0051058	negative regulation of small GTPase medi...	18	1	0.01	0.01413	1	BP
GO:0002719	negative regulation of cytokine producti...	18	1	0.01	0.01413	1	BP
GO:0032655	regulation of interleukin-12 production	19	1	0.02	0.01492	1	BP
GO:0016048	detection of temperature stimulus	19	1	0.02	0.01492	1	BP
GO:0032615	interleukin-12 production	20	1	0.02	0.0157	1	BP
GO:0061028	establishment of endothelial barrier	20	1	0.02	0.0157	1	BP
GO:1990384	hyaloid vascular plexus regression	21	1	0.02	0.01647	1	BP
GO:0050951	sensory perception of temperature stimul...	21	1	0.02	0.01647	1	BP
GO:0071347	cellular response to interleukin-1	22	1	0.02	0.01725	1	BP
GO:0034122	negative regulation of toll-like recepto...	23	1	0.02	0.01803	1	BP
GO:0010935	regulation of macrophage cytokine produc...	23	1	0.02	0.01803	1	BP
GO:0002701	negative regulation of production of mol...	23	1	0.02	0.01803	1	BP
GO:0060033	anatomical structure regression	24	1	0.02	0.01881	1	BP
GO:0010934	macrophage cytokine production	24	1	0.02	0.01881	1	BP
GO:0070555	response to interleukin-1	25	1	0.02	0.01959	1	BP
GO:0070373	negative regulation of ERK1 and ERK2 cas...	26	1	0.02	0.02036	1	BP
GO:0043330	response to exogenous dsRNA	26	1	0.02	0.02036	1	BP
GO:0051591	response to cAMP	27	1	0.02	0.02114	1	BP
GO:0048008	platelet-derived growth factor receptor ...	28	1	0.02	0.02192	1	BP
GO:0001885	endothelial cell development	28	1	0.02	0.02192	1	BP
GO:0061082	myeloid leukocyte cytokine production	28	1	0.02	0.02192	1	BP
GO:0043331	response to dsRNA	28	1	0.02	0.02192	1	BP
GO:0006915	apoptotic process	858	3	0.68	0.02207	1	BP
GO:0001960	negative regulation of cytokine-mediated...	29	1	0.02	0.02269	1	BP
GO:0014070	response to organic cyclic compound	318	2	0.25	0.02342	1	BP
GO:0034121	regulation of toll-like receptor signali...	30	1	0.02	0.02347	1	BP
GO:0012501	programmed cell death	883	3	0.7	0.02387	1	BP
GO:0060761	negative regulation of response to cytok...	31	1	0.02	0.02424	1	BP
GO:0045824	negative regulation of innate immune res...	35	1	0.03	0.02733	1	BP
GO:0045446	endothelial cell differentiation	37	1	0.03	0.02887	1	BP
GO:0043407	negative regulation of MAP kinase activi...	37	1	0.03	0.02887	1	BP
GO:0007602	phototransduction	37	1	0.03	0.02887	1	BP
