GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0010466	negative regulation of peptidase activit...	44	3	0.08	5e-05	0.607	BP
GO:0060349	bone morphogenesis	23	2	0.04	0.00067	1	BP
GO:0008078	mesodermal cell migration	1	1	0	0.00171	1	BP
GO:1904395	positive regulation of skeletal muscle a...	1	1	0	0.00171	1	BP
GO:0060764	cell-cell signaling involved in mammary ...	1	1	0	0.00171	1	BP
GO:0110135	Norrin signaling pathway	1	1	0	0.00171	1	BP
GO:0043407	negative regulation of MAP kinase activi...	37	2	0.06	0.00174	1	BP
GO:0072675	osteoclast fusion	2	1	0	0.00342	1	BP
GO:0035426	extracellular matrix-cell signaling	2	1	0	0.00342	1	BP
GO:0042074	cell migration involved in gastrulation	2	1	0	0.00342	1	BP
GO:0051919	positive regulation of fibrinolysis	2	1	0	0.00342	1	BP
GO:0099183	trans-synaptic signaling by BDNF, modula...	2	1	0	0.00342	1	BP
GO:0033690	positive regulation of osteoblast prolif...	3	1	0.01	0.00512	1	BP
GO:0061304	retinal blood vessel morphogenesis	3	1	0.01	0.00512	1	BP
GO:1902262	apoptotic process involved in blood vess...	3	1	0.01	0.00512	1	BP
GO:0007412	axon target recognition	3	1	0.01	0.00512	1	BP
GO:0048771	tissue remodeling	74	2	0.13	0.00681	1	BP
GO:0043569	negative regulation of insulin-like grow...	4	1	0.01	0.00683	1	BP
GO:0051918	negative regulation of fibrinolysis	4	1	0.01	0.00683	1	BP
GO:0048808	male genitalia morphogenesis	4	1	0.01	0.00683	1	BP
GO:0048539	bone marrow development	5	1	0.01	0.00853	1	BP
GO:1902527	positive regulation of protein monoubiqu...	5	1	0.01	0.00853	1	BP
GO:2000647	negative regulation of stem cell prolife...	6	1	0.01	0.01023	1	BP
GO:0060707	trophoblast giant cell differentiation	6	1	0.01	0.01023	1	BP
GO:0010642	negative regulation of platelet-derived ...	7	1	0.01	0.01192	1	BP
GO:0008285	negative regulation of cell population p...	299	3	0.51	0.01286	1	BP
