GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0090103	cochlea morphogenesis	36	4	0.07	5.6e-07	0.0067984	BP
GO:0007190	activation of adenylate cyclase activity	48	4	0.09	1.8e-06	0.010926	BP
GO:0008344	adult locomotory behavior	63	4	0.12	5.5e-06	0.021852	BP
GO:0007189	adenylate cyclase-activating G protein-c...	150	5	0.3	7.2e-06	0.021852	BP
GO:1904588	cellular response to glycoprotein	28	3	0.06	2e-05	0.0346857142857143	BP
GO:0038194	thyroid-stimulating hormone signaling pa...	28	3	0.06	2e-05	0.0346857142857143	BP
GO:1905229	cellular response to thyrotropin-releasi...	28	3	0.06	2e-05	0.0346857142857143	BP
GO:0007166	cell surface receptor signaling pathway	1033	9	2.04	3.6e-05	0.05463	BP
GO:0071542	dopaminergic neuron differentiation	36	3	0.07	4.3e-05	0.0580022222222222	BP
GO:0060122	inner ear receptor cell stereocilium org...	43	3	0.08	7.3e-05	0.088622	BP
GO:0040018	positive regulation of multicellular org...	66	3	0.13	0.00026	0.286945454545455	BP
GO:0120162	positive regulation of cold-induced ther...	73	3	0.14	0.00036	0.3642	BP
GO:0030183	B cell differentiation	78	3	0.15	0.00043	0.401553846153846	BP
GO:0001649	osteoblast differentiation	98	3	0.19	0.00085	0.737071428571428	BP
GO:0007187	G protein-coupled receptor signaling pat...	24	2	0.05	0.00098	0.793146666666667	BP
GO:0009755	hormone-mediated signaling pathway	107	3	0.21	0.00109	0.797193333333333	BP
GO:0007186	G protein-coupled receptor signaling pat...	557	9	1.1	0.00141	0.797193333333333	BP
GO:0040012	regulation of locomotion	463	5	0.91	0.00148	0.797193333333333	BP
GO:0071504	cellular response to heparin	1	1	0	0.00197	0.797193333333333	BP
GO:0003430	growth plate cartilage chondrocyte growt...	1	1	0	0.00197	0.797193333333333	BP
GO:0060784	regulation of cell proliferation involve...	1	1	0	0.00197	0.797193333333333	BP
GO:0032808	lacrimal gland development	1	1	0	0.00197	0.797193333333333	BP
GO:0060018	astrocyte fate commitment	1	1	0	0.00197	0.797193333333333	BP
GO:0021780	glial cell fate specification	1	1	0	0.00197	0.797193333333333	BP
GO:0030916	otic vesicle formation	1	1	0	0.00197	0.797193333333333	BP
GO:0060517	epithelial cell proliferation involved i...	1	1	0	0.00197	0.797193333333333	BP
GO:0072034	renal vesicle induction	1	1	0	0.00197	0.797193333333333	BP
GO:0072190	ureter urothelium development	1	1	0	0.00197	0.797193333333333	BP
GO:0072193	ureter smooth muscle cell differentiatio...	1	1	0	0.00197	0.797193333333333	BP
GO:1904864	negative regulation of beta-catenin-TCF ...	1	1	0	0.00197	0.797193333333333	BP
GO:0099170	postsynaptic modulation of chemical syna...	48	2	0.09	0.00389	1	BP
GO:2000741	positive regulation of mesenchymal stem ...	2	1	0	0.00394	1	BP
GO:0072289	metanephric nephron tubule formation	2	1	0	0.00394	1	BP
GO:0060729	intestinal epithelial structure maintena...	2	1	0	0.00394	1	BP
GO:2000020	positive regulation of male gonad develo...	2	1	0	0.00394	1	BP
GO:1901203	positive regulation of extracellular mat...	2	1	0	0.00394	1	BP
