annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
7tm_1	42	679	151	15756	6.59891096827693e-23	5.27912877462154e-21
7tm_3	8	95	151	15756	3.55074490299428e-06	0.000142029796119771
HLH	5	30	151	15756	8.88575148558531e-06	0.000236953372948942
ANF_receptor	8	112	151	15756	1.2110678715421e-05	0.000242213574308419
PAS_11	2	2	151	15756	9.12438972335092e-05	0.00145990235573615
PAS	2	4	151	15756	0.000540583889979561	0.00720778519972748
HTH_Tnp_Tc5	2	6	151	15756	0.00133450241002194	0.0152514561145364
NIT	2	10	151	15756	0.00390389319533037	0.0390389319533037
AHD	1	1	151	15756	0.00958365067275957	0.0479182533637978
BrkDBD	1	1	151	15756	0.00958365067275957	0.0479182533637978
BTD	1	1	151	15756	0.00958365067275957	0.0479182533637978
GABP-alpha	1	1	151	15756	0.00958365067275957	0.0479182533637978
LAG1-DNAbind	1	1	151	15756	0.00958365067275957	0.0479182533637978
NCU-G1	1	1	151	15756	0.00958365067275957	0.0479182533637978
RBD	1	1	151	15756	0.00958365067275957	0.0479182533637978
Sclerostin	1	1	151	15756	0.00958365067275957	0.0479182533637978
FAD_binding_8	1	2	151	15756	0.019076057448286	0.0586955613793415
Ferric_reduct	1	2	151	15756	0.019076057448286	0.0586955613793415
Ion_trans_2	1	2	151	15756	0.019076057448286	0.0586955613793415
Met_10	1	2	151	15756	0.019076057448286	0.0586955613793415
NAD_binding_6	1	2	151	15756	0.019076057448286	0.0586955613793415
OAR	1	2	151	15756	0.019076057448286	0.0586955613793415
PH	3	55	151	15756	0.0157388742454015	0.0586955613793415
RPEL	1	2	151	15756	0.019076057448286	0.0586955613793415
SAM_PNT	1	2	151	15756	0.019076057448286	0.0586955613793415
SOXp	1	2	151	15756	0.019076057448286	0.0586955613793415
Guanylate_cyc	2	28	151	15756	0.0293055150607271	0.0808428001675231
LicD	1	3	151	15756	0.0284780833036435	0.0808428001675231
YEATS	1	3	151	15756	0.0284780833036435	0.0808428001675231
CO_deh_flav_C	1	4	151	15756	0.0377905831081985	0.0944764577704962
Ets	1	4	151	15756	0.0377905831081985	0.0944764577704962
Fz	1	4	151	15756	0.0377905831081985	0.0944764577704962
Ald_Xan_dh_C	1	6	151	15756	0.0561503839571272	0.10695311229929
Ald_Xan_dh_C2	1	6	151	15756	0.0561503839571272	0.10695311229929
Ammonium_transp	1	6	151	15756	0.0561503839571272	0.10695311229929
FA_desaturase	1	6	151	15756	0.0561503839571272	0.10695311229929
FAD_binding_5	1	5	151	15756	0.0470144036992762	0.10695311229929
Fer2_2	1	6	151	15756	0.0561503839571272	0.10695311229929
MBOAT	1	6	151	15756	0.0561503839571272	0.10695311229929
MyTH4	1	5	151	15756	0.0470144036992762	0.10695311229929
NIF	1	6	151	15756	0.0561503839571272	0.10695311229929
Sec7	1	5	151	15756	0.0470144036992762	0.10695311229929
bZIP_2	1	7	151	15756	0.065199354879189	0.115909964229669
Fer2	1	7	151	15756	0.065199354879189	0.115909964229669
Globin	1	7	151	15756	0.065199354879189	0.115909964229669
7tm_2	3	111	151	15756	0.0908633302122899	0.156310476431002
zf-C3HC4	1	10	151	15756	0.0918324049032134	0.156310476431002
Pkinase_Tyr	2	56	151	15756	0.100555148818309	0.167591914697181
bZIP_1	1	12	151	15756	0.109167611779912	0.174668178847859
CRAL_TRIO	1	12	151	15756	0.109167611779912	0.174668178847859
LRR_8	3	122	151	15756	0.112355884193713	0.176244524225433
EF-hand_5	1	15	151	15756	0.134555962180239	0.207009172584983
FERM_M	1	17	151	15756	0.151080879133001	0.215829827332858
HMG_box	1	17	151	15756	0.151080879133001	0.215829827332858
Y_phosphatase	1	17	151	15756	0.151080879133001	0.215829827332858
zf-C3HC4_3	1	17	151	15756	0.151080879133001	0.215829827332858
GST_N_4	1	18	151	15756	0.159225411012467	0.21962125656892
Scramblase	1	18	151	15756	0.159225411012467	0.21962125656892
FYVE	1	20	151	15756	0.175282331403767	0.226170750198409
GST_C_6	1	20	151	15756	0.175282331403767	0.226170750198409
HECT	1	20	151	15756	0.175282331403767	0.226170750198409
HNOBA	1	20	151	15756	0.175282331403767	0.226170750198409
C1_1	1	22	151	15756	0.191034592635466	0.242583609695829
LRR_5	1	24	151	15756	0.20648793740901	0.258109921761263
Thioredoxin	1	25	151	15756	0.214104281259203	0.263512961549789
COesterase	1	26	151	15756	0.221648000891131	0.264654329422246
PARP	1	26	151	15756	0.221648000891131	0.264654329422246
Homeodomain	1	29	151	15756	0.243850261390384	0.286882660459275
zf-C2H2	1	35	151	15756	0.286384786470857	0.332040332140124
PDZ	1	39	151	15756	0.31341189999818	0.358185028569349
GAIN	1	42	151	15756	0.333012666413982	0.375225539621388
APAF1_C	1	55	151	15756	0.411722752295104	0.457469724772338
I-set	1	57	151	15756	0.422983884441774	0.46354398294989
EF-hand_7	1	59	151	15756	0.434030850109938	0.469222540659392
Ras	1	72	151	15756	0.500888182548003	0.534280728051204
GPS	1	74	151	15756	0.51045276633568	0.537318701405979
RRM_1	1	92	151	15756	0.588739653068671	0.611677561629788
p450	1	100	151	15756	0.619412760583961	0.635295139060473
Ank_2	1	163	151	15756	0.793578205438951	0.803623499178684
Pkinase	1	169	151	15756	0.805287120891744	0.805287120891744
