GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0014057	positive regulation of acetylcholine sec...	34	4	0.27	0.00015	0.573253333333333	BP
GO:0070459	prolactin secretion	35	4	0.28	0.00017	0.573253333333333	BP
GO:0033685	negative regulation of luteinizing hormo...	35	4	0.28	0.00017	0.573253333333333	BP
GO:0070474	positive regulation of uterine smooth mu...	39	4	0.31	0.00026	0.573253333333333	BP
GO:1902093	positive regulation of flagellated sperm...	39	4	0.31	0.00026	0.573253333333333	BP
GO:0043117	positive regulation of vascular permeabi...	40	4	0.32	0.00028	0.573253333333333	BP
GO:0035106	operant conditioning	46	4	0.37	0.00049	0.85988	BP
GO:1904229	regulation of succinate dehydrogenase ac...	5	2	0.04	0.00063	0.967365	BP
GO:0014827	intestine smooth muscle contraction	52	4	0.42	0.00078	1	BP
GO:0050919	negative chemotaxis	7	2	0.06	0.00131	1	BP
GO:0030433	ubiquitin-dependent ERAD pathway	62	4	0.5	0.00151	1	BP
GO:1904715	negative regulation of chaperone-mediate...	12	2	0.1	0.00401	1	BP
GO:0006589	octopamine biosynthetic process	13	2	0.1	0.00472	1	BP
GO:0042421	norepinephrine biosynthetic process	13	2	0.1	0.00472	1	BP
GO:0030517	negative regulation of axon extension	14	2	0.11	0.00548	1	BP
GO:0010667	negative regulation of cardiac muscle ce...	15	2	0.12	0.00629	1	BP
GO:0043392	negative regulation of DNA binding	17	2	0.14	0.00806	1	BP
GO:0042420	dopamine catabolic process	17	2	0.14	0.00806	1	BP
GO:0006930	substrate-dependent cell migration, cell...	1	1	0.01	0.00807	1	BP
GO:0036254	cellular response to amiloride	1	1	0.01	0.00807	1	BP
GO:0036047	peptidyl-lysine demalonylation	1	1	0.01	0.00807	1	BP
GO:2001212	regulation of vasculogenesis	1	1	0.01	0.00807	1	BP
GO:0010610	regulation of mRNA stability involved in...	1	1	0.01	0.00807	1	BP
GO:1904045	cellular response to aldosterone	1	1	0.01	0.00807	1	BP
GO:0003195	tricuspid valve formation	1	1	0.01	0.00807	1	BP
GO:0003199	endocardial cushion to mesenchymal trans...	1	1	0.01	0.00807	1	BP
GO:0022013	pallium cell proliferation in forebrain	1	1	0.01	0.00807	1	BP
GO:0035910	ascending aorta morphogenesis	1	1	0.01	0.00807	1	BP
GO:0003150	muscular septum morphogenesis	1	1	0.01	0.00807	1	BP
GO:0033564	anterior/posterior axon guidance	1	1	0.01	0.00807	1	BP
GO:0050914	sensory perception of salty taste	1	1	0.01	0.00807	1	BP
GO:0036304	umbilical cord morphogenesis	1	1	0.01	0.00807	1	BP
GO:0006032	chitin catabolic process	1	1	0.01	0.00807	1	BP
GO:0008217	regulation of blood pressure	102	4	0.82	0.00906	1	BP
GO:0014031	mesenchymal cell development	21	2	0.17	0.01219	1	BP
GO:0060260	regulation of transcription initiation f...	65	3	0.52	0.01533	1	BP
GO:2000142	regulation of DNA-templated transcriptio...	66	3	0.53	0.01596	1	BP
GO:0036048	protein desuccinylation	2	1	0.02	0.01607	1	BP
GO:0036049	peptidyl-lysine desuccinylation	2	1	0.02	0.01607	1	BP
GO:0006880	intracellular sequestering of iron ion	2	1	0.02	0.01607	1	BP
GO:2000820	negative regulation of transcription fro...	2	1	0.02	0.01607	1	BP
GO:1904116	response to vasopressin	2	1	0.02	0.01607	1	BP
GO:1904117	cellular response to vasopressin	2	1	0.02	0.01607	1	BP
GO:0061698	protein deglutarylation	2	1	0.02	0.01607	1	BP
GO:0046813	receptor-mediated virion attachment to h...	2	1	0.02	0.01607	1	BP
GO:0044650	adhesion of symbiont to host cell	2	1	0.02	0.01607	1	BP
GO:0061643	chemorepulsion of axon	2	1	0.02	0.01607	1	BP
GO:0140059	dendrite arborization	2	1	0.02	0.01607	1	BP
GO:0035912	dorsal aorta morphogenesis	2	1	0.02	0.01607	1	BP
GO:0019062	virion attachment to host cell	2	1	0.02	0.01607	1	BP
GO:0035907	dorsal aorta development	2	1	0.02	0.01607	1	BP
GO:2000143	negative regulation of DNA-templated tra...	2	1	0.02	0.01607	1	BP
GO:0097577	sequestering of iron ion	2	1	0.02	0.01607	1	BP
GO:0060633	negative regulation of transcription ini...	2	1	0.02	0.01607	1	BP
GO:0032488	Cdc42 protein signal transduction	2	1	0.02	0.01607	1	BP
GO:0055078	sodium ion homeostasis	25	2	0.2	0.01706	1	BP
GO:0051897	positive regulation of protein kinase B ...	27	2	0.22	0.01975	1	BP
GO:0045746	negative regulation of Notch signaling p...	27	2	0.22	0.01975	1	BP
GO:0035315	hair cell differentiation	28	2	0.23	0.02116	1	BP
GO:2000845	positive regulation of testosterone secr...	3	1	0.02	0.02401	1	BP
GO:1990264	peptidyl-tyrosine dephosphorylation invo...	3	1	0.02	0.02401	1	BP
GO:0044406	adhesion of symbiont to host	3	1	0.02	0.02401	1	BP
GO:0055012	ventricular cardiac muscle cell differen...	3	1	0.02	0.02401	1	BP
GO:0055015	ventricular cardiac muscle cell developm...	3	1	0.02	0.02401	1	BP
GO:0070093	negative regulation of glucagon secretio...	3	1	0.02	0.02401	1	BP
GO:0071318	cellular response to ATP	3	1	0.02	0.02401	1	BP
GO:0060413	atrial septum morphogenesis	3	1	0.02	0.02401	1	BP
GO:0060116	vestibular receptor cell morphogenesis	3	1	0.02	0.02401	1	BP
GO:0001990	regulation of systemic arterial blood pr...	30	2	0.24	0.0241	1	BP
GO:0046626	regulation of insulin receptor signaling...	30	2	0.24	0.0241	1	BP
GO:0003044	regulation of systemic arterial blood pr...	31	2	0.25	0.02563	1	BP
GO:1900076	regulation of cellular response to insul...	32	2	0.26	0.0272	1	BP
GO:0006367	transcription initiation from RNA polyme...	82	3	0.66	0.02822	1	BP
GO:2000843	regulation of testosterone secretion	4	1	0.03	0.03189	1	BP
GO:0097084	vascular associated smooth muscle cell d...	4	1	0.03	0.03189	1	BP
GO:0099403	maintenance of mitotic sister chromatid ...	4	1	0.03	0.03189	1	BP
GO:0099404	mitotic sister chromatid cohesion, telom...	4	1	0.03	0.03189	1	BP
GO:0006567	threonine catabolic process	4	1	0.03	0.03189	1	BP
GO:0061156	pulmonary artery morphogenesis	4	1	0.03	0.03189	1	BP
GO:1904231	positive regulation of succinate dehydro...	4	1	0.03	0.03189	1	BP
GO:1904232	regulation of aconitate hydratase activi...	4	1	0.03	0.03189	1	BP
GO:1904234	positive regulation of aconitate hydrata...	4	1	0.03	0.03189	1	BP
GO:0060948	cardiac vascular smooth muscle cell deve...	4	1	0.03	0.03189	1	BP
GO:1904743	negative regulation of telomeric DNA bin...	4	1	0.03	0.03189	1	BP
GO:0035936	testosterone secretion	4	1	0.03	0.03189	1	BP
GO:1904907	regulation of maintenance of mitotic sis...	4	1	0.03	0.03189	1	BP
GO:1904908	negative regulation of maintenance of mi...	4	1	0.03	0.03189	1	BP
GO:0003050	regulation of systemic arterial blood pr...	4	1	0.03	0.03189	1	BP
GO:0034183	negative regulation of maintenance of mi...	4	1	0.03	0.03189	1	BP
GO:0034092	negative regulation of maintenance of si...	4	1	0.03	0.03189	1	BP
GO:0060114	vestibular receptor cell differentiation	4	1	0.03	0.03189	1	BP
GO:0060118	vestibular receptor cell development	4	1	0.03	0.03189	1	BP
GO:0032370	positive regulation of lipid transport	37	2	0.3	0.0356	1	BP
GO:0007219	Notch signaling pathway	90	3	0.73	0.03579	1	BP
GO:0010566	regulation of ketone biosynthetic proces...	5	1	0.04	0.03971	1	BP
GO:0070934	CRD-mediated mRNA stabilization	5	1	0.04	0.03971	1	BP
GO:0015889	cobalamin transport	5	1	0.04	0.03971	1	BP
GO:0006566	threonine metabolic process	5	1	0.04	0.03971	1	BP
GO:0097017	renal protein absorption	5	1	0.04	0.03971	1	BP
GO:0060947	cardiac vascular smooth muscle cell diff...	5	1	0.04	0.03971	1	BP
GO:2000678	negative regulation of transcription reg...	5	1	0.04	0.03971	1	BP
GO:1904742	regulation of telomeric DNA binding	5	1	0.04	0.03971	1	BP
GO:0007250	activation of NF-kappaB-inducing kinase ...	5	1	0.04	0.03971	1	BP
GO:0050910	detection of mechanical stimulus involve...	5	1	0.04	0.03971	1	BP
GO:0003215	cardiac right ventricle morphogenesis	5	1	0.04	0.03971	1	BP
GO:0032102	negative regulation of response to exter...	160	4	1.29	0.03976	1	BP
GO:0006814	sodium ion transport	97	3	0.78	0.04319	1	BP
GO:0050731	positive regulation of peptidyl-tyrosine...	42	2	0.34	0.04487	1	BP
GO:1905954	positive regulation of lipid localizatio...	42	2	0.34	0.04487	1	BP
GO:0061314	Notch signaling involved in heart develo...	6	1	0.05	0.04746	1	BP
GO:0006548	histidine catabolic process	6	1	0.05	0.04746	1	BP
GO:0045875	negative regulation of sister chromatid ...	6	1	0.05	0.04746	1	BP
GO:0060842	arterial endothelial cell differentiatio...	6	1	0.05	0.04746	1	BP
GO:0060347	heart trabecula formation	6	1	0.05	0.04746	1	BP
GO:0050915	sensory perception of sour taste	6	1	0.05	0.04746	1	BP
GO:0070091	glucagon secretion	6	1	0.05	0.04746	1	BP
GO:0070092	regulation of glucagon secretion	6	1	0.05	0.04746	1	BP
GO:0035313	wound healing, spreading of epidermal ce...	6	1	0.05	0.04746	1	BP
GO:0071526	semaphorin-plexin signaling pathway	6	1	0.05	0.04746	1	BP
GO:0045598	regulation of fat cell differentiation	44	2	0.36	0.0488	1	BP
GO:0006352	DNA-templated transcription, initiation	102	3	0.82	0.04891	1	BP
GO:0000041	transition metal ion transport	46	2	0.37	0.05285	1	BP
GO:0008593	regulation of Notch signaling pathway	46	2	0.37	0.05285	1	BP
GO:0003014	renal system process	47	2	0.38	0.05491	1	BP
GO:0060252	positive regulation of glial cell prolif...	7	1	0.06	0.05515	1	BP
GO:0045721	negative regulation of gluconeogenesis	7	1	0.06	0.05515	1	BP
GO:0098719	sodium ion import across plasma membrane	7	1	0.06	0.05515	1	BP
GO:0001755	neural crest cell migration	7	1	0.06	0.05515	1	BP
GO:1900152	negative regulation of nuclear-transcrib...	7	1	0.06	0.05515	1	BP
GO:0006547	histidine metabolic process	7	1	0.06	0.05515	1	BP
GO:0060977	coronary vasculature morphogenesis	7	1	0.06	0.05515	1	BP
GO:0060837	blood vessel endothelial cell differenti...	7	1	0.06	0.05515	1	BP
GO:0070662	mast cell proliferation	7	1	0.06	0.05515	1	BP
GO:0070666	regulation of mast cell proliferation	7	1	0.06	0.05515	1	BP
GO:0070667	negative regulation of mast cell prolife...	7	1	0.06	0.05515	1	BP
GO:0045575	basophil activation	7	1	0.06	0.05515	1	BP
GO:0003184	pulmonary valve morphogenesis	7	1	0.06	0.05515	1	BP
GO:0003177	pulmonary valve development	7	1	0.06	0.05515	1	BP
GO:0003299	muscle hypertrophy in response to stress	7	1	0.06	0.05515	1	BP
GO:0014898	cardiac muscle hypertrophy in response t...	7	1	0.06	0.05515	1	BP
GO:0003283	atrial septum development	7	1	0.06	0.05515	1	BP
GO:0003222	ventricular trabecula myocardium morphog...	7	1	0.06	0.05515	1	BP
GO:1903975	regulation of glial cell migration	7	1	0.06	0.05515	1	BP
GO:0045631	regulation of mechanoreceptor differenti...	7	1	0.06	0.05515	1	BP
GO:0045607	regulation of inner ear auditory recepto...	7	1	0.06	0.05515	1	BP
GO:0002276	basophil activation involved in immune r...	7	1	0.06	0.05515	1	BP
GO:2000980	regulation of inner ear receptor cell di...	7	1	0.06	0.05515	1	BP
GO:0098771	inorganic ion homeostasis	430	7	3.47	0.05673	1	BP
GO:0003073	regulation of systemic arterial blood pr...	49	2	0.4	0.05914	1	BP
GO:0051896	regulation of protein kinase B signaling	50	2	0.4	0.06129	1	BP
GO:0090504	epiboly	8	1	0.06	0.06278	1	BP
GO:0090505	epiboly involved in wound healing	8	1	0.06	0.06278	1	BP
GO:0044319	wound healing, spreading of cells	8	1	0.06	0.06278	1	BP
GO:0003180	aortic valve morphogenesis	8	1	0.06	0.06278	1	BP
GO:0060343	trabecula formation	8	1	0.06	0.06278	1	BP
GO:1902284	neuron projection extension involved in ...	8	1	0.06	0.06278	1	BP
GO:0048841	regulation of axon extension involved in...	8	1	0.06	0.06278	1	BP
GO:0048843	negative regulation of axon extension in...	8	1	0.06	0.06278	1	BP
GO:0048846	axon extension involved in axon guidance	8	1	0.06	0.06278	1	BP
GO:0010813	neuropeptide catabolic process	8	1	0.06	0.06278	1	BP
GO:0055065	metal ion homeostasis	352	6	2.84	0.06333	1	BP
GO:0046916	cellular transition metal ion homeostasi...	52	2	0.42	0.06567	1	BP
GO:0050801	ion homeostasis	448	7	3.61	0.06773	1	BP
GO:0050886	endocrine process	92	6	0.74	0.06918	1	BP
GO:0019835	cytolysis	9	1	0.07	0.07035	1	BP
GO:0033007	negative regulation of mast cell activat...	9	1	0.07	0.07035	1	BP
GO:0015824	proline transport	9	1	0.07	0.07035	1	BP
GO:0046321	positive regulation of fatty acid oxidat...	9	1	0.07	0.07035	1	BP
GO:0044062	regulation of excretion	9	1	0.07	0.07035	1	BP
GO:0003176	aortic valve development	9	1	0.07	0.07035	1	BP
GO:0035813	regulation of renal sodium excretion	9	1	0.07	0.07035	1	BP
GO:0014887	cardiac muscle adaptation	9	1	0.07	0.07035	1	BP
