annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
DUF5600	2	5	147	15675	0.0008574878696913	0.025724636090739
EHD_N	2	5	147	15675	0.0008574878696913	0.025724636090739
Nexin_C	2	4	147	15675	0.000517680980103925	0.025724636090739
PXA	2	4	147	15675	0.000517680980103925	0.025724636090739
PX	3	22	147	15675	0.00109187550793036	0.0262050121903286
EF-hand_4	2	8	147	15675	0.00235694211996889	0.0471388423993778
ADH_N_2	1	1	147	15675	0.00937799043062204	0.0562679425837322
Aldedh	2	12	147	15675	0.00542058784479095	0.0562679425837322
Cadherin	2	10	147	15675	0.0037415815540932	0.0562679425837322
Cdd1	1	1	147	15675	0.00937799043062204	0.0562679425837322
DUF2678	1	1	147	15675	0.00937799043062204	0.0562679425837322
Dynamin_N	2	15	147	15675	0.00846635162952929	0.0562679425837322
GTP_cyclohydroI	1	1	147	15675	0.00937799043062204	0.0562679425837322
PRT_C	1	1	147	15675	0.00937799043062204	0.0562679425837322
PTPS	1	1	147	15675	0.00937799043062204	0.0562679425837322
RNF220	1	1	147	15675	0.00937799043062204	0.0562679425837322
Urocanase	1	1	147	15675	0.00937799043062204	0.0562679425837322
Urocanase_C	1	1	147	15675	0.00937799043062204	0.0562679425837322
Urocanase_N	1	1	147	15675	0.00937799043062204	0.0562679425837322
Vps54	1	1	147	15675	0.00937799043062204	0.0562679425837322
AXH	1	2	147	15675	0.0186686268608054	0.0605468979269364
dDENN	1	2	147	15675	0.0186686268608054	0.0605468979269364
DHFR_1	1	2	147	15675	0.0186686268608054	0.0605468979269364
DUF2464	1	2	147	15675	0.0186686268608054	0.0605468979269364
DUF3585	1	2	147	15675	0.0186686268608054	0.0605468979269364
DUF726	1	2	147	15675	0.0186686268608054	0.0605468979269364
FolB	1	2	147	15675	0.0186686268608054	0.0605468979269364
LRR_5	2	19	147	15675	0.0134545911397148	0.0605468979269364
NAGPA	1	2	147	15675	0.0186686268608054	0.0605468979269364
NIPSNAP	1	2	147	15675	0.0186686268608054	0.0605468979269364
SH3BP5	1	2	147	15675	0.0186686268608054	0.0605468979269364
STAS	1	2	147	15675	0.0186686268608054	0.0605468979269364
Sulfate_transp	1	2	147	15675	0.0186686268608054	0.0605468979269364
TB2_DP1_HVA22	1	2	147	15675	0.0186686268608054	0.0605468979269364
Thymosin	1	2	147	15675	0.0186686268608054	0.0605468979269364
tRNA_bind	1	2	147	15675	0.0186686268608054	0.0605468979269364
Vps54_N	1	2	147	15675	0.0186686268608054	0.0605468979269364
Arfaptin	1	3	147	15675	0.0278727174529996	0.0760165021445443
DUF5128	1	3	147	15675	0.0278727174529996	0.0760165021445443
FMO-like	1	3	147	15675	0.0278727174529996	0.0760165021445443
GAS2	1	3	147	15675	0.0278727174529996	0.0760165021445443
Recep_L_domain	1	3	147	15675	0.0278727174529996	0.0760165021445443
TRAM_LAG1_CLN8	1	3	147	15675	0.0278727174529996	0.0760165021445443
Vps5	1	3	147	15675	0.0278727174529996	0.0760165021445443
HLH	2	30	147	15675	0.0320103465176768	0.0853609240471382
CH	2	32	147	15675	0.0360597888626615	0.0870377951622715
Longin	1	4	147	15675	0.0369910629439654	0.0870377951622715
START	1	4	147	15675	0.0369910629439654	0.0870377951622715
WD40_2	1	4	147	15675	0.0369910629439654	0.0870377951622715
zf-B_box	1	4	147	15675	0.0369910629439654	0.0870377951622715
zf-LITAF-like	1	4	147	15675	0.0369910629439654	0.0870377951622715
Ank	2	33	147	15675	0.0381547566633494	0.0880494384538832
ABC2_membrane_3	1	5	147	15675	0.0460244567125336	0.0920489134250673
Bax1-I	1	5	147	15675	0.0460244567125336	0.0920489134250673
BRO1	1	5	147	15675	0.0460244567125336	0.0920489134250673
DENN	1	5	147	15675	0.0460244567125336	0.0920489134250673
EGF_2	1	5	147	15675	0.0460244567125336	0.0920489134250673
RFX_DNA_binding	1	5	147	15675	0.0460244567125336	0.0920489134250673
Syntaxin	1	5	147	15675	0.0460244567125336	0.0920489134250673
uDENN	1	5	147	15675	0.0460244567125336	0.0920489134250673
ADH_zinc_N_2	1	6	147	15675	0.0549736848467554	0.106400680348559
MARVEL	1	6	147	15675	0.0549736848467554	0.106400680348559
Filamin	1	7	147	15675	0.0638395262104372	0.116071865837159
His_Phos_2	1	7	147	15675	0.0638395262104372	0.116071865837159
NHL	1	7	147	15675	0.0638395262104372	0.116071865837159
UBA	1	7	147	15675	0.0638395262104372	0.116071865837159
Cytochrom_B561	1	8	147	15675	0.0726227525090756	0.126300439146218
G-alpha	1	8	147	15675	0.0726227525090756	0.126300439146218
SNARE	1	8	147	15675	0.0726227525090756	0.126300439146218
Na_H_Exchanger	1	9	147	15675	0.0813241283551959	0.135540213925326
p450	3	108	147	15675	0.081164658713182	0.135540213925326
SH3_2	1	9	147	15675	0.0813241283551959	0.135540213925326
PH	2	52	147	15675	0.0854954734710873	0.140173108571059
RUN	1	10	147	15675	0.0899444113330961	0.140173108571059
SAM_2	1	10	147	15675	0.0899444113330961	0.140173108571059
UBX	1	10	147	15675	0.0899444113330961	0.140173108571059
zf-C3HC4_2	1	10	147	15675	0.0899444113330961	0.140173108571059
ASC	1	11	147	15675	0.0984843520630055	0.149596484146338
Synaptobrevin	1	11	147	15675	0.0984843520630055	0.149596484146338
adh_short	2	58	147	15675	0.102847313791918	0.154270970687876
Laminin_G_3	1	12	147	15675	0.106944694264662	0.158436584095795
ADH_zinc_N	1	13	147	15675	0.115326174820308	0.164751678314726
EF-hand_8	1	13	147	15675	0.115326174820308	0.164751678314726
RGS	1	13	147	15675	0.115326174820308	0.164751678314726
Aldo_ket_red	1	14	147	15675	0.123629523837127	0.172506312330875
DHHC	1	14	147	15675	0.123629523837127	0.172506312330875
Actin	1	15	147	15675	0.131855464709098	0.177782649045975
Asp	1	15	147	15675	0.131855464709098	0.177782649045975
TIR_2	1	15	147	15675	0.131855464709098	0.177782649045975
BACK	1	16	147	15675	0.140004714178304	0.186672952237738
ADH_N	1	18	147	15675	0.156075972981179	0.203577356062407
LRR_8	3	145	147	15675	0.15543442673882	0.203577356062407
Ras	2	76	147	15675	0.159509500019764	0.205818709702921
Kelch_1	1	19	147	15675	0.163999383083482	0.207157115473872
ubiquitin	1	19	147	15675	0.163999383083482	0.207157115473872
Tetraspanin	1	22	147	15675	0.187329006145714	0.234161257682142
Ion_trans	2	86	147	15675	0.193013546937757	0.238779645696194
BTB	1	26	147	15675	0.217432228844763	0.263554216781531
CUB	1	26	147	15675	0.217432228844763	0.263554216781531
Ank_2	3	174	147	15675	0.223872996665917	0.267069309073102
RhoGAP	1	27	147	15675	0.224783335136527	0.267069309073102
Galactosyl_T	1	29	147	15675	0.239280419991741	0.281506376460872
Ank_5	1	32	147	15675	0.260522674521294	0.30352156254908
Arrestin_C	1	34	147	15675	0.27435580852402	0.313549495456023
Arrestin_N	1	34	147	15675	0.27435580852402	0.313549495456023
Kringle	1	35	147	15675	0.281175685523379	0.31831209681892
PDZ	1	43	147	15675	0.333491708387349	0.374009392583942
MAM	1	47	147	15675	0.358213426543189	0.398014918381321
ABC_tran	1	50	147	15675	0.376155055923704	0.406654114512113
C2	1	50	147	15675	0.376155055923704	0.406654114512113
Lectin_C	1	49	147	15675	0.370230564239537	0.406654114512113
Ank_4	1	53	147	15675	0.393598430576208	0.421712604188795
MFS_1	1	73	147	15675	0.49813075329843	0.528988410582404
Death	1	80	147	15675	0.530315559463532	0.558226904698455
SRCR	1	86	147	15675	0.556265202256	0.580450645832348
7tm_3	1	105	147	15675	0.629405788238079	0.651109436108358
EGF	1	113	147	15675	0.656494928233036	0.673328131521063
ANF_receptor	1	128	147	15675	0.702095568316415	0.713995493203134
Pkinase	1	176	147	15675	0.811316710159273	0.818134497639603
7tm_1	4	820	147	15675	0.952805949185274	0.952805949185274
