annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
Exo_endo_phos	2	18	16	15675	0.000148039255766787	0.00148039255766787
Homeodomain	2	33	16	15675	0.00050633887001951	0.00253169435009755
7tm_1	5	820	16	15675	0.00104229600124667	0.00347432000415558
PAX	1	2	16	15675	0.00204049046369204	0.00408098092738407
TAFH	1	2	16	15675	0.00204049046369204	0.00408098092738407
zf-MYND	1	8	16	15675	0.0081385664856013	0.0135642774760022
Arrestin_C	1	34	16	15675	0.0341621244544912	0.0379579160605458
Arrestin_N	1	34	16	15675	0.0341621244544912	0.0379579160605458
RabGAP-TBC	1	27	16	15675	0.0272194770510366	0.0379579160605458
Ank_2	1	174	16	15675	0.163632163946111	0.163632163946111
