GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:1900264	positive regulation of DNA-directed DNA ...	12	7	0.42	4e-08	0.000319384	BP
GO:0000387	spliceosomal snRNP assembly	31	10	1.08	5.2e-08	0.000319384	BP
GO:0006298	mismatch repair	23	8	0.8	6.1e-07	0.00249774666666667	BP
GO:0051225	spindle assembly	88	14	3.07	1.8e-06	0.0055278	BP
GO:0010498	proteasomal protein catabolic process	294	26	10.25	1.1e-05	0.0270248	BP
GO:1905907	negative regulation of amyloid fibril fo...	6	4	0.21	2.1e-05	0.042994	BP
GO:0048025	negative regulation of mRNA splicing, vi...	12	5	0.42	3.2e-05	0.0561554285714286	BP
GO:0006260	DNA replication	202	36	7.05	5.6e-05	0.0805284444444444	BP
GO:0006301	postreplication repair	21	6	0.73	5.9e-05	0.0805284444444444	BP
GO:0006335	DNA replication-dependent nucleosome ass...	4	3	0.14	0.00016	0.163786666666667	BP
GO:0006269	DNA replication, synthesis of RNA primer	4	3	0.14	0.00016	0.163786666666667	BP
GO:0048478	replication fork protection	4	3	0.14	0.00016	0.163786666666667	BP
GO:0048026	positive regulation of mRNA splicing, vi...	17	5	0.59	0.00022	0.207883076923077	BP
GO:0002183	cytoplasmic translational initiation	18	5	0.63	0.00029	0.254454285714286	BP
GO:0006270	DNA replication initiation	28	6	0.98	0.00034	0.272977777777778	BP
GO:0009265	2'-deoxyribonucleotide biosynthetic proc...	10	6	0.35	0.00039	0.272977777777778	BP
GO:0006231	dTMP biosynthetic process	5	3	0.17	4e-04	0.272977777777778	BP
GO:1903934	positive regulation of DNA primase activ...	5	3	0.17	4e-04	0.272977777777778	BP
GO:1902969	mitotic DNA replication	12	4	0.42	0.00057	0.357352727272727	BP
GO:0000381	regulation of alternative mRNA splicing,...	21	5	0.73	0.00064	0.357352727272727	BP
GO:0006268	DNA unwinding involved in DNA replicatio...	21	5	0.73	0.00064	0.357352727272727	BP
GO:0070979	protein K11-linked ubiquitination	21	5	0.73	0.00064	0.357352727272727	BP
GO:0000398	mRNA splicing, via spliceosome	180	31	6.28	0.00074	0.395224347826087	BP
GO:0051290	protein heterotetramerization	6	3	0.21	0.00078	0.39923	BP
GO:0006284	base-excision repair	35	6	1.22	0.00118	0.479472258064516	BP
GO:0009213	pyrimidine deoxyribonucleoside triphosph...	2	2	0.07	0.00121	0.479472258064516	BP
GO:0034421	post-translational protein acetylation	2	2	0.07	0.00121	0.479472258064516	BP
GO:0006226	dUMP biosynthetic process	2	2	0.07	0.00121	0.479472258064516	BP
GO:0090204	protein localization to nuclear pore	2	2	0.07	0.00121	0.479472258064516	BP
GO:0043111	replication fork arrest	2	2	0.07	0.00121	0.479472258064516	BP
GO:0045900	negative regulation of translational elo...	2	2	0.07	0.00121	0.479472258064516	BP
GO:0046601	positive regulation of centriole replica...	7	3	0.24	0.00132	0.506715	BP
GO:0010569	regulation of double-strand break repair...	49	7	1.71	0.00142	0.528584242424242	BP
GO:1900087	positive regulation of G1/S transition o...	25	5	0.87	0.00149	0.538328235294118	BP
GO:0006511	ubiquitin-dependent protein catabolic pr...	360	24	12.56	0.00166	0.573253333333333	BP
GO:0000724	double-strand break repair via homologou...	130	16	4.53	0.00168	0.573253333333333	BP
GO:0043968	histone H2A acetylation	16	4	0.56	0.00189	0.62748	BP
GO:2000622	regulation of nuclear-transcribed mRNA c...	8	3	0.28	0.00206	0.665922105263158	BP
GO:0000278	mitotic cell cycle	482	45	16.81	0.00222	0.699243076923077	BP
GO:0007052	mitotic spindle organization	84	9	2.93	0.00249	0.764679	BP
GO:0006406	mRNA export from nucleus	41	6	1.43	0.00274	0.820930731707317	BP
GO:0016925	protein sumoylation	18	4	0.63	0.00301	0.877020465116279	BP
GO:0007098	centrosome cycle	83	13	2.89	0.00307	0.877020465116279	BP
GO:0044314	protein K27-linked ubiquitination	3	2	0.1	0.00355	0.969071111111111	BP
GO:1902523	positive regulation of protein K63-linke...	3	2	0.1	0.00355	0.969071111111111	BP
