GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0007189	adenylate cyclase-activating G protein-c...	158	14	1.27	7.2e-10	8.84448e-06	BP
GO:0007187	G protein-coupled receptor signaling pat...	28	6	0.23	7.1e-08	0.000397182666666667	BP
GO:0008285	negative regulation of cell population p...	306	14	2.47	9.7e-08	0.000397182666666667	BP
GO:0007194	negative regulation of adenylate cyclase...	22	5	0.18	6.9e-07	0.00152672571428571	BP
GO:0032811	negative regulation of epinephrine secre...	22	5	0.18	6.9e-07	0.00152672571428571	BP
GO:0150099	neuron-glial cell signaling	23	5	0.19	8.7e-07	0.00152672571428571	BP
GO:0014053	negative regulation of gamma-aminobutyri...	23	5	0.19	8.7e-07	0.00152672571428571	BP
GO:0033602	negative regulation of dopamine secretio...	24	5	0.19	1.1e-06	0.00168905	BP
GO:0007186	G protein-coupled receptor signaling pat...	595	33	4.8	1.6e-06	0.00208828	BP
GO:0060124	positive regulation of growth hormone se...	26	5	0.21	1.7e-06	0.00208828	BP
GO:0009954	proximal/distal pattern formation	4	3	0.03	2e-06	0.00223345454545455	BP
GO:0050805	negative regulation of synaptic transmis...	77	7	0.62	2.4e-06	0.00236230769230769	BP
GO:0014049	positive regulation of glutamate secreti...	28	5	0.23	2.5e-06	0.00236230769230769	BP
GO:0007214	gamma-aminobutyric acid signaling pathwa...	29	5	0.23	3e-06	0.00263228571428571	BP
GO:0014002	astrocyte development	17	4	0.14	8.5e-06	0.00696093333333333	BP
GO:0007193	adenylate cyclase-inhibiting G protein-c...	67	7	0.54	1.2e-05	0.009213	BP
GO:0051932	synaptic transmission, GABAergic	44	5	0.36	2.5e-05	0.0180647058823529	BP
GO:0002062	chondrocyte differentiation	50	5	0.4	4.7e-05	0.0320748888888889	BP
GO:0097102	endothelial tip cell fate specification	2	2	0.02	6.4e-05	0.0341815652173913	BP
GO:0001757	somite specification	2	2	0.02	6.4e-05	0.0341815652173913	BP
GO:0021688	cerebellar molecular layer formation	2	2	0.02	6.4e-05	0.0341815652173913	BP
GO:0060853	Notch signaling pathway involved in arte...	2	2	0.02	6.4e-05	0.0341815652173913	BP
GO:0045611	negative regulation of hemocyte differen...	2	2	0.02	6.4e-05	0.0341815652173913	BP
GO:0046331	lateral inhibition	3	2	0.02	0.00019	0.0972483333333333	BP
GO:0001649	osteoblast differentiation	93	8	0.75	0.00023	0.1130128	BP
GO:0007200	phospholipase C-activating G protein-cou...	83	7	0.67	0.00025	0.118115384615385	BP
GO:0048665	neuron fate specification	16	3	0.13	0.00026	0.11829037037037	BP
GO:0072014	proximal tubule development	4	2	0.03	0.00038	0.150578064516129	BP
GO:0048633	positive regulation of skeletal muscle t...	4	2	0.03	0.00038	0.150578064516129	BP
GO:0021693	cerebellar Purkinje cell layer structura...	4	2	0.03	0.00038	0.150578064516129	BP
GO:0002315	marginal zone B cell differentiation	4	2	0.03	0.00038	0.150578064516129	BP
GO:0042311	vasodilation	46	4	0.37	0.00049	0.18809875	BP
GO:0002076	osteoblast development	20	3	0.16	0.00052	0.193473	BP
GO:0042472	inner ear morphogenesis	84	5	0.68	0.00055	0.193473	BP
GO:0007386	compartment pattern specification	5	2	0.04	0.00063	0.193473	BP
GO:0034351	negative regulation of glial cell apopto...	5	2	0.04	0.00063	0.193473	BP
GO:0045608	negative regulation of inner ear auditor...	5	2	0.04	0.00063	0.193473	BP
GO:0014807	regulation of somitogenesis	5	2	0.04	0.00063	0.193473	BP
GO:0002085	inhibition of neuroepithelial cell diffe...	5	2	0.04	0.00063	0.193473	BP
GO:0032693	negative regulation of interleukin-10 pr...	5	2	0.04	0.00063	0.193473	BP
GO:0060732	positive regulation of inositol phosphat...	22	3	0.18	0.00069	0.206730731707317	BP
GO:0009912	auditory receptor cell fate commitment	6	2	0.05	0.00094	0.262430909090909	BP
GO:0061314	Notch signaling involved in heart develo...	6	2	0.05	0.00094	0.262430909090909	BP
GO:0003323	type B pancreatic cell development	6	2	0.05	0.00094	0.262430909090909	BP
GO:1900746	regulation of vascular endothelial growt...	7	2	0.06	0.00131	0.357600888888889	BP
GO:0019722	calcium-mediated signaling	103	5	0.83	0.00139	0.371190434782609	BP
GO:2000726	negative regulation of cardiac muscle ce...	8	2	0.06	0.00174	0.454769361702128	BP
GO:0021510	spinal cord development	32	3	0.26	0.0021	0.534715294117647	BP
GO:0046960	sensitization	9	2	0.07	0.00222	0.534715294117647	BP
GO:0072070	loop of Henle development	9	2	0.07	0.00222	0.534715294117647	BP
GO:0045662	negative regulation of myoblast differen...	9	2	0.07	0.00222	0.534715294117647	BP
GO:0070986	left/right axis specification	10	2	0.08	0.00277	0.618666909090909	BP
GO:0006182	cGMP biosynthetic process	10	2	0.08	0.00277	0.618666909090909	BP
GO:0001661	conditioned taste aversion	10	2	0.08	0.00277	0.618666909090909	BP
GO:0060158	phospholipase C-activating dopamine rece...	10	2	0.08	0.00277	0.618666909090909	BP
GO:0042417	dopamine metabolic process	36	3	0.29	0.00296	0.649297142857143	BP
GO:0021853	cerebral cortex GABAergic interneuron mi...	11	2	0.09	0.00336	0.699563389830509	BP
GO:0071880	adenylate cyclase-activating adrenergic ...	11	2	0.09	0.00336	0.699563389830509	BP
GO:0030432	peristalsis	11	2	0.09	0.00336	0.699563389830509	BP
GO:0046959	habituation	12	2	0.1	0.00401	0.807521967213115	BP
GO:1901571	fatty acid derivative transport	12	2	0.1	0.00401	0.807521967213115	BP
GO:0045453	bone resorption	41	3	0.33	0.00429	0.849973548387097	BP
GO:0097150	neuronal stem cell population maintenanc...	13	2	0.1	0.00472	0.905945	BP
GO:0007191	adenylate cyclase-activating dopamine re...	13	2	0.1	0.00472	0.905945	BP
GO:0030282	bone mineralization	44	3	0.36	0.00524	0.97559884057971	BP
GO:0048469	cell maturation	88	4	0.71	0.00541	0.97559884057971	BP
GO:0045747	positive regulation of Notch signaling p...	14	2	0.11	0.00548	0.97559884057971	BP
GO:0021542	dentate gyrus development	14	2	0.11	0.00548	0.97559884057971	BP
GO:0042321	negative regulation of circadian sleep/w...	14	2	0.11	0.00548	0.97559884057971	BP
GO:0032310	prostaglandin secretion	15	2	0.12	0.00629	1	BP
GO:0007608	sensory perception of smell	47	3	0.38	0.0063	1	BP
GO:0099170	postsynaptic modulation of chemical syna...	48	3	0.39	0.00668	1	BP
GO:0034764	positive regulation of transmembrane tra...	95	4	0.77	0.00708	1	BP
GO:0046323	glucose import	49	3	0.4	0.00708	1	BP
GO:0051968	positive regulation of synaptic transmis...	16	2	0.13	0.00715	1	BP
