annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
7tm_2	10	87	79	15675	1.71926941421421e-11	2.32101370918919e-10
GPS	9	59	79	15675	1.34589579810607e-11	2.32101370918919e-10
Lectin_C	8	49	79	15675	1.10500288352665e-10	9.94502595173985e-10
7tm_1	16	820	79	15675	2.639831992825e-06	1.78188659515687e-05
I-set	3	53	79	15675	0.00240785768381923	0.0130024314926238
ANF_receptor	4	128	79	15675	0.00397479658682666	0.0165844969947221
Ig_3	3	65	79	15675	0.00429968440603905	0.0165844969947221
NCD3G	2	30	79	15675	0.00995697822384549	0.0336048015054785
7tm_3	3	105	79	15675	0.0159887235909736	0.0359746280796906
Formyl_trans_C	1	3	79	15675	0.015044499269654	0.0359746280796906
Il2rg	1	3	79	15675	0.015044499269654	0.0359746280796906
NTR	1	3	79	15675	0.015044499269654	0.0359746280796906
Formyl_trans_N	1	4	79	15675	0.0200094995604716	0.0415581913948256
Rap_GAP	1	5	79	15675	0.0249497873235194	0.0481174469810731
Ammonium_transp	1	6	79	15675	0.0298654839924053	0.0511479114299682
fn3	2	54	79	15675	0.0303098734399812	0.0511479114299682
IRK_C	1	7	79	15675	0.0347567104117428	0.0552018341833562
LRR_8	3	145	79	15675	0.0368235647064696	0.0552353470597044
Lig_chan-Glu_bd	1	11	79	15675	0.05407931002859	0.0768495458301016
Lig_chan	1	12	79	15675	0.0588499774511988	0.0794474695591184
Laminin_EGF	1	13	79	15675	0.0635968874800151	0.0817674267600195
ECH_1	1	14	79	15675	0.0683201569148948	0.0838474653046436
Forkhead	1	18	79	15675	0.086979144930746	0.102105952744789
GAIN	1	29	79	15675	0.136410039654919	0.153461294611784
Pkinase_Tyr	1	56	79	15675	0.246815677240787	0.26656093142005
p450	1	108	79	15675	0.421639692867689	0.437856604131831
Ank_2	1	174	79	15675	0.586895675854507	0.586895675854507
