annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
7tm_1	24	708	62	14971	1.89242456735765e-16	6.24500107228023e-15
7tm_3	3	85	62	14971	0.00524847817712792	0.0303079503770384
CCDC74_C	1	1	62	14971	0.00414133992385279	0.0303079503770384
CCDC92	1	2	62	14971	0.00826580464828319	0.0303079503770384
DAN	1	2	62	14971	0.00826580464828319	0.0303079503770384
DUF773	1	1	62	14971	0.00414133992385279	0.0303079503770384
Homeodomain	2	32	62	14971	0.0077270527163306	0.0303079503770384
Jnk-SapK_ap_N	1	2	62	14971	0.00826580464828319	0.0303079503770384
SIX1_SD	1	2	62	14971	0.00826580464828319	0.0303079503770384
Alk_phosphatase	1	3	62	14971	0.012373461813879	0.0408324239858007
IU_nuc_hydro	1	5	62	14971	0.0205386226988454	0.0564812124218249
MyTH4	1	5	62	14971	0.0205386226988454	0.0564812124218249
Astacin	1	6	62	14971	0.0245962603704123	0.0579768994445433
GAF	1	6	62	14971	0.0245962603704123	0.0579768994445433
CD20	1	8	62	14971	0.0326619830741588	0.0718563627631494
Na_Ca_ex	1	9	62	14971	0.036670200480388	0.0756322884908004
IgGFc_binding	1	11	62	14971	0.0446376763815469	0.0844054298837793
Myosin_head	1	12	62	14971	0.0485970656906608	0.0844054298837793
PDEase_I	1	12	62	14971	0.0485970656906608	0.0844054298837793
ANF_receptor	2	98	62	14971	0.0622603154767787	0.102729520536685
FERM_M	1	17	62	14971	0.0681531189693081	0.107097758380341
IQ	1	19	62	14971	0.0758643216641054	0.113796482496158
LRR_8	2	114	62	14971	0.0809426306917357	0.116135078818577
NCD3G	1	25	62	14971	0.0986231930616696	0.135606890459796
DEAD	1	47	62	14971	0.177451665528736	0.209139462944581
Ig_3	1	47	62	14971	0.177451665528736	0.209139462944581
Lectin_C	1	45	62	14971	0.170575174720342	0.209139462944581
Pkinase	2	178	62	14971	0.168054616045879	0.209139462944581
fn3	1	51	62	14971	0.191036801196908	0.217386704810274
EF-hand_7	1	57	62	14971	0.211001589895524	0.232101748885077
7tm_2	1	69	62	14971	0.249487858554956	0.257284354134798
EGF_CA	1	67	62	14971	0.243204269234877	0.257284354134798
Helicase_C	1	75	62	14971	0.268032249726635	0.268032249726635
