annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
7tm_1	49	708	152	14971	5.1756493789254e-28	4.03700651556181e-26
Guanylate_cyc	4	28	152	14971	0.000172973608226837	0.00337298536042332
HLH	4	28	152	14971	0.000172973608226837	0.00337298536042332
PAS_11	2	2	152	14971	0.000102411310720655	0.00337298536042332
TGFb_propeptide	2	3	152	14971	0.000305181464180391	0.0047608308412141
HTH_Tnp_Tc5	2	5	152	14971	0.00100374125908912	0.0130486363681586
BrkDBD	1	1	152	14971	0.0101529623939617	0.0659942555607509
Cohesin_HEAT	1	1	152	14971	0.0101529623939617	0.0659942555607509
CRAL_TRIO	2	14	152	14971	0.00860221448504253	0.0659942555607509
LRR_8	5	114	152	14971	0.00611206635938672	0.0659942555607509
Nipped-B_C	1	1	152	14971	0.0101529623939617	0.0659942555607509
TGF_beta_GS	1	1	152	14971	0.0101529623939617	0.0659942555607509
HNOBA	2	17	152	14971	0.012602760159915	0.0756165609594899
FAD_binding_8	1	2	152	14971	0.0202035134772024	0.0875485584012104
Ferric_reduct	1	2	152	14971	0.0202035134772024	0.0875485584012104
NAD_binding_6	1	2	152	14971	0.0202035134772024	0.0875485584012104
SH3_15	1	2	152	14971	0.0202035134772024	0.0875485584012104
YccF	1	2	152	14971	0.0202035134772024	0.0875485584012104
Flot	1	3	152	14971	0.0301526794837137	0.111995666653794
MIB_HERC2	1	3	152	14971	0.0301526794837137	0.111995666653794
PTEN_C2	1	3	152	14971	0.0301526794837137	0.111995666653794
Cytochrom_B561	1	4	152	14971	0.0400014764317683	0.124804606467117
Hormone_recep	1	4	152	14971	0.0400014764317683	0.124804606467117
NIT	1	4	152	14971	0.0400014764317683	0.124804606467117
zf-C4	1	4	152	14971	0.0400014764317683	0.124804606467117
Ldl_recept_b	1	5	152	14971	0.0497509102249382	0.133812793018799
PAS	1	5	152	14971	0.0497509102249382	0.133812793018799
T-box	1	5	152	14971	0.0497509102249382	0.133812793018799
TGF_beta	1	5	152	14971	0.0497509102249382	0.133812793018799
7tm_3	3	85	152	14971	0.055480269631936	0.140404672323194
bZIP_2	1	6	152	14971	0.0594019767521203	0.140404672323194
DnaJ_C	1	6	152	14971	0.0594019767521203	0.140404672323194
Sortilin_C	1	6	152	14971	0.0594019767521203	0.140404672323194
GOLD_2	1	7	152	14971	0.0689556619865792	0.149403934304255
RasGAP	1	7	152	14971	0.0689556619865792	0.149403934304255
Sortilin-Vps10	1	7	152	14971	0.0689556619865792	0.149403934304255
ANF_receptor	3	98	152	14971	0.0778313692894673	0.162835352182819
C2	2	46	152	14971	0.0793300433711171	0.162835352182819
Na_H_Exchanger	1	9	152	14971	0.0877747834796735	0.175549566959347
Band_7	1	11	152	14971	0.106215967880312	0.188291943060552
Laminin_G_2	1	10	152	14971	0.0970421429844917	0.188291943060552
LRR_5	1	11	152	14971	0.106215967880312	0.188291943060552
Peptidase_M24	1	11	152	14971	0.106215967880312	0.188291943060552
zf-C3HC4_3	1	11	152	14971	0.106215967880312	0.188291943060552
EF-hand_5	1	12	152	14971	0.115297196014148	0.191344282746884
EF-hand_7	2	57	152	14971	0.113972986779884	0.191344282746884
Pkinase_Tyr	2	57	152	14971	0.113972986779884	0.191344282746884
Orn_DAP_Arg_deC	1	13	152	14971	0.124286755891536	0.197844223664078
RGS	1	13	152	14971	0.124286755891536	0.197844223664078
cEGF	1	14	152	14971	0.133185566768958	0.207769484159575
HMG_box	1	16	152	14971	0.150714572852794	0.213740666954872
Ldl_recept_a	1	16	152	14971	0.150714572852794	0.213740666954872
Orn_Arg_deC_N	1	15	152	14971	0.141994538745365	0.213740666954872
Peptidase_S10	1	16	152	14971	0.150714572852794	0.213740666954872
TPR_8	2	66	152	14971	0.144637250460514	0.213740666954872
7tm_2	2	69	152	14971	0.155210450208107	0.216185984218435
WW	1	19	152	14971	0.17634992415605	0.241320948845121
cNMP_binding	1	23	152	14971	0.209338374963225	0.281524021502268
COesterase	1	24	152	14971	0.217378284449818	0.287381460798064
Ank_5	1	25	152	14971	0.225336971862919	0.292938063421795
Arrestin_C	1	28	152	14971	0.248733812659661	0.307956149007199
Kazal_2	1	28	152	14971	0.248733812659661	0.307956149007199
LRR_6	1	27	152	14971	0.241013932962816	0.307956149007199
Arrestin_N	1	30	152	14971	0.263940325500747	0.311929475591792
Galactosyl_T	1	30	152	14971	0.263940325500747	0.311929475591792
SH2	1	30	152	14971	0.263940325500747	0.311929475591792
Homeodomain	1	32	152	14971	0.278841024813647	0.324620894559171
PH	1	43	152	14971	0.35559549018261	0.40788894462123
Ig_3	1	47	152	14971	0.381445744153644	0.431199536869337
Ank_4	1	55	152	14971	0.430095769030743	0.479249571205685
Ank_2	2	154	152	14971	0.465099957478014	0.503858287267848
TPR_12	2	154	152	14971	0.465099957478014	0.503858287267848
adh_short	1	68	152	14971	0.501172841216032	0.528263265065547
TPR_10	1	67	152	14971	0.49603308198778	0.528263265065547
Death	1	71	152	14971	0.516281748393169	0.536933018328896
p450	1	108	152	14971	0.669153980129056	0.68676329539561
Pkinase	1	178	152	14971	0.839159748187823	0.848826011420716
WD40	1	184	152	14971	0.848826011420716	0.848826011420716
