GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:1903942	positive regulation of respiratory gaseo...	14	2	0.03	0.00049	1	BP
GO:0031989	bombesin receptor signaling pathway	14	2	0.03	0.00049	1	BP
GO:0090290	positive regulation of osteoclast prolif...	14	2	0.03	0.00049	1	BP
GO:0035025	positive regulation of Rho protein signa...	19	2	0.05	0.00092	1	BP
GO:0140374	antiviral innate immune response	22	2	0.05	0.00124	1	BP
GO:0032727	positive regulation of interferon-alpha ...	22	2	0.05	0.00124	1	BP
GO:0051482	positive regulation of cytosolic calcium...	27	2	0.07	0.00186	1	BP
GO:0001835	blastocyst hatching	27	2	0.07	0.00186	1	BP
GO:0009609	response to symbiotic bacterium	1	1	0	0.00241	1	BP
GO:0030322	stabilization of membrane potential	1	1	0	0.00241	1	BP
GO:2000256	positive regulation of male germ cell pr...	1	1	0	0.00241	1	BP
GO:0038163	thrombopoietin-mediated signaling pathwa...	1	1	0	0.00241	1	BP
GO:0007186	G protein-coupled receptor signaling pat...	577	9	1.39	0.00248	1	BP
GO:0098659	inorganic cation import across plasma me...	43	2	0.1	0.00469	1	BP
GO:0007113	endomitotic cell cycle	2	1	0	0.00482	1	BP
GO:0045653	negative regulation of megakaryocyte dif...	2	1	0	0.00482	1	BP
GO:0090050	positive regulation of cell migration in...	3	1	0.01	0.00722	1	BP
GO:0032715	negative regulation of interleukin-6 pro...	54	2	0.13	0.00731	1	BP
GO:0043491	protein kinase B signaling	56	2	0.14	0.00785	1	BP
GO:0002862	negative regulation of inflammatory resp...	4	1	0.01	0.00961	1	BP
GO:1904960	positive regulation of cytochrome-c oxid...	4	1	0.01	0.00961	1	BP
GO:0070886	positive regulation of calcineurin-NFAT ...	5	1	0.01	0.012	1	BP
GO:0106058	positive regulation of calcineurin-media...	5	1	0.01	0.012	1	BP
GO:0045948	positive regulation of translational ini...	8	1	0.02	0.01913	1	BP
GO:0030220	platelet formation	8	1	0.02	0.01913	1	BP
GO:0007168	receptor guanylyl cyclase signaling path...	8	1	0.02	0.01913	1	BP
GO:0090314	positive regulation of protein targeting...	8	1	0.02	0.01913	1	BP
GO:0090092	regulation of transmembrane receptor pro...	91	2	0.22	0.01985	1	BP
GO:1990573	potassium ion import across plasma membr...	9	1	0.02	0.0215	1	BP
GO:0010862	positive regulation of pathway-restricte...	9	1	0.02	0.0215	1	BP
GO:0006182	cGMP biosynthetic process	9	1	0.02	0.0215	1	BP
GO:0033630	positive regulation of cell adhesion med...	9	1	0.02	0.0215	1	BP
GO:0036344	platelet morphogenesis	9	1	0.02	0.0215	1	BP
GO:0046068	cGMP metabolic process	11	1	0.03	0.02622	1	BP
GO:0090313	regulation of protein targeting to membr...	11	1	0.03	0.02622	1	BP
GO:0002931	response to ischemia	12	1	0.03	0.02857	1	BP
GO:0007196	adenylate cyclase-inhibiting G protein-c...	12	1	0.03	0.02857	1	BP
GO:0070884	regulation of calcineurin-NFAT signaling...	13	1	0.03	0.03092	1	BP
GO:0097720	calcineurin-mediated signaling	13	1	0.03	0.03092	1	BP
GO:0033173	calcineurin-NFAT signaling cascade	13	1	0.03	0.03092	1	BP
GO:0106056	regulation of calcineurin-mediated signa...	13	1	0.03	0.03092	1	BP
GO:0009190	cyclic nucleotide biosynthetic process	14	1	0.03	0.03326	1	BP
GO:0007026	negative regulation of microtubule depol...	14	1	0.03	0.03326	1	BP
GO:0060391	positive regulation of SMAD protein sign...	14	1	0.03	0.03326	1	BP
GO:0060393	regulation of pathway-restricted SMAD pr...	14	1	0.03	0.03326	1	BP
GO:0009584	detection of visible light	14	1	0.03	0.03326	1	BP
GO:0050962	detection of light stimulus involved in ...	14	1	0.03	0.03326	1	BP
GO:0060389	pathway-restricted SMAD protein phosphor...	14	1	0.03	0.03326	1	BP
GO:0031114	regulation of microtubule depolymerizati...	14	1	0.03	0.03326	1	BP
GO:0052652	cyclic purine nucleotide metabolic proce...	14	1	0.03	0.03326	1	BP
GO:0050908	detection of light stimulus involved in ...	14	1	0.03	0.03326	1	BP
GO:1905664	regulation of calcium ion import across ...	15	1	0.04	0.03559	1	BP
GO:1905665	positive regulation of calcium ion impor...	15	1	0.04	0.03559	1	BP
GO:0051898	negative regulation of protein kinase B ...	15	1	0.04	0.03559	1	BP
GO:1900026	positive regulation of substrate adhesio...	17	1	0.04	0.04024	1	BP
GO:0009187	cyclic nucleotide metabolic process	18	1	0.04	0.04256	1	BP
GO:1990090	cellular response to nerve growth factor...	18	1	0.04	0.04256	1	BP
GO:0031111	negative regulation of microtubule polym...	18	1	0.04	0.04256	1	BP
GO:1990089	response to nerve growth factor	18	1	0.04	0.04256	1	BP
GO:0007167	enzyme linked receptor protein signaling...	335	3	0.81	0.04451	1	BP
GO:0001954	positive regulation of cell-matrix adhes...	19	1	0.05	0.04488	1	BP
GO:0007178	transmembrane receptor protein serine/th...	143	2	0.34	0.0457	1	BP
GO:1902656	calcium ion import into cytosol	20	1	0.05	0.04718	1	BP
GO:0098703	calcium ion import across plasma membran...	20	1	0.05	0.04718	1	BP
GO:1900024	regulation of substrate adhesion-depende...	20	1	0.05	0.04718	1	BP
GO:0030514	negative regulation of BMP signaling pat...	21	1	0.05	0.04949	1	BP
GO:0033628	regulation of cell adhesion mediated by ...	22	1	0.05	0.05178	1	BP
GO:0048016	inositol phosphate-mediated signaling	22	1	0.05	0.05178	1	BP
GO:0007019	microtubule depolymerization	23	1	0.06	0.05408	1	BP
GO:0007216	G protein-coupled glutamate receptor sig...	23	1	0.06	0.05408	1	BP
GO:0090280	positive regulation of calcium ion impor...	23	1	0.06	0.05408	1	BP
GO:0032886	regulation of microtubule-based process	159	2	0.38	0.05527	1	BP
GO:1903078	positive regulation of protein localizat...	25	1	0.06	0.05865	1	BP
GO:0043270	positive regulation of ion transport	181	3	0.44	0.0607	1	BP
GO:0007218	neuropeptide signaling pathway	26	1	0.06	0.06092	1	BP
GO:0060390	regulation of SMAD protein signal transd...	26	1	0.06	0.06092	1	BP
GO:0006468	protein phosphorylation	648	4	1.56	0.0651	1	BP
GO:1904377	positive regulation of protein localizat...	28	1	0.07	0.06546	1	BP
GO:0006446	regulation of translational initiation	28	1	0.07	0.06546	1	BP
GO:0090279	regulation of calcium ion import	30	1	0.07	0.06998	1	BP
GO:0014055	acetylcholine secretion, neurotransmissi...	30	1	0.07	0.06998	1	BP
GO:0014056	regulation of acetylcholine secretion, n...	30	1	0.07	0.06998	1	BP
GO:0014057	positive regulation of acetylcholine sec...	30	1	0.07	0.06998	1	BP
GO:0033627	cell adhesion mediated by integrin	30	1	0.07	0.06998	1	BP
GO:0090288	negative regulation of cellular response...	30	1	0.07	0.06998	1	BP
GO:0033685	negative regulation of luteinizing hormo...	31	1	0.07	0.07223	1	BP
GO:0007215	glutamate receptor signaling pathway	31	1	0.07	0.07223	1	BP
GO:0061526	acetylcholine secretion	31	1	0.07	0.07223	1	BP
GO:0070459	prolactin secretion	31	1	0.07	0.07223	1	BP
GO:0032277	negative regulation of gonadotropin secr...	31	1	0.07	0.07223	1	BP
GO:0033684	regulation of luteinizing hormone secret...	32	1	0.08	0.07447	1	BP
GO:0015870	acetylcholine transport	32	1	0.08	0.07447	1	BP
GO:1901374	acetate ester transport	32	1	0.08	0.07447	1	BP
GO:1901880	negative regulation of protein depolymer...	33	1	0.08	0.07671	1	BP
GO:0032275	luteinizing hormone secretion	33	1	0.08	0.07671	1	BP
GO:0032276	regulation of gonadotropin secretion	33	1	0.08	0.07671	1	BP
GO:0050850	positive regulation of calcium-mediated ...	33	1	0.08	0.07671	1	BP
GO:0030510	regulation of BMP signaling pathway	34	1	0.08	0.07895	1	BP
GO:0031110	regulation of microtubule polymerization...	34	1	0.08	0.07895	1	BP
GO:0032274	gonadotropin secretion	34	1	0.08	0.07895	1	BP
GO:0007166	cell surface receptor signaling pathway	1052	6	2.54	0.08097	1	BP
GO:2000155	positive regulation of cilium-dependent ...	35	1	0.08	0.08118	1	BP
GO:0003353	positive regulation of cilium movement	35	1	0.08	0.08118	1	BP
GO:1902093	positive regulation of flagellated sperm...	35	1	0.08	0.08118	1	BP
GO:0031122	cytoplasmic microtubule organization	35	1	0.08	0.08118	1	BP
GO:0034446	substrate adhesion-dependent cell spread...	35	1	0.08	0.08118	1	BP
GO:0032224	positive regulation of synaptic transmis...	35	1	0.08	0.08118	1	BP
GO:0043117	positive regulation of vascular permeabi...	35	1	0.08	0.08118	1	BP
GO:0007188	adenylate cyclase-modulating G protein-c...	201	2	0.48	0.08334	1	BP
GO:0007271	synaptic transmission, cholinergic	36	1	0.09	0.08341	1	BP
GO:1903533	regulation of protein targeting	36	1	0.09	0.08341	1	BP
GO:0032222	regulation of synaptic transmission, cho...	36	1	0.09	0.08341	1	BP
GO:0043114	regulation of vascular permeability	36	1	0.09	0.08341	1	BP
GO:1905477	positive regulation of protein localizat...	38	1	0.09	0.08784	1	BP
GO:0001952	regulation of cell-matrix adhesion	38	1	0.09	0.08784	1	BP
GO:0001956	positive regulation of neurotransmitter ...	38	1	0.09	0.08784	1	BP
GO:0010524	positive regulation of calcium ion trans...	38	1	0.09	0.08784	1	BP
GO:0070471	uterine smooth muscle contraction	38	1	0.09	0.08784	1	BP
GO:0070472	regulation of uterine smooth muscle cont...	38	1	0.09	0.08784	1	BP
GO:0070474	positive regulation of uterine smooth mu...	38	1	0.09	0.08784	1	BP
GO:0051590	positive regulation of neurotransmitter ...	39	1	0.09	0.09005	1	BP
GO:0035106	operant conditioning	39	1	0.09	0.09005	1	BP
GO:1901317	regulation of flagellated sperm motility	39	1	0.09	0.09005	1	BP
GO:0060395	SMAD protein signal transduction	40	1	0.1	0.09225	1	BP
GO:1901879	regulation of protein depolymerization	40	1	0.1	0.09225	1	BP
GO:0010811	positive regulation of cell-substrate ad...	43	1	0.1	0.09884	1	BP
GO:0070509	calcium ion import	43	1	0.1	0.09884	1	BP
GO:0044060	regulation of endocrine process	44	1	0.11	0.10102	1	BP
GO:0090100	positive regulation of transmembrane rec...	44	1	0.11	0.10102	1	BP
GO:0051896	regulation of protein kinase B signaling	45	1	0.11	0.1032	1	BP
GO:1902019	regulation of cilium-dependent cell moti...	46	1	0.11	0.10538	1	BP
GO:0060295	regulation of cilium movement involved i...	46	1	0.11	0.10538	1	BP
