GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0007186	G protein-coupled receptor signaling pat...	554	8	1.45	4.1e-05	0.504997	BP
GO:0070948	regulation of neutrophil mediated cytoto...	7	2	0.02	0.00013	0.533736666666667	BP
GO:0002673	regulation of acute inflammatory respons...	7	2	0.02	0.00013	0.533736666666667	BP
GO:0002283	neutrophil activation involved in immune...	10	2	0.03	0.00029	0.8929825	BP
GO:0060711	labyrinthine layer development	28	2	0.07	0.00235	1	BP
GO:0000737	DNA catabolic process, endonucleolytic	35	2	0.09	0.00366	1	BP
GO:2000147	positive regulation of cell motility	253	4	0.66	0.00371	1	BP
GO:0007632	visual behavior	43	2	0.11	0.00549	1	BP
GO:0015872	dopamine transport	43	2	0.11	0.00549	1	BP
GO:0051952	regulation of amine transport	149	3	0.39	0.00645	1	BP
GO:0035106	operant conditioning	47	2	0.12	0.00653	1	BP
GO:0099171	presynaptic modulation of chemical synap...	49	2	0.13	0.00708	1	BP
GO:0043270	positive regulation of ion transport	174	3	0.45	0.00989	1	BP
GO:0050805	negative regulation of synaptic transmis...	66	2	0.17	0.01257	1	BP
GO:0099183	trans-synaptic signaling by BDNF, modula...	5	1	0.01	0.01299	1	BP
GO:0051919	positive regulation of fibrinolysis	5	1	0.01	0.01299	1	BP
GO:0014821	phasic smooth muscle contraction	68	2	0.18	0.01331	1	BP
GO:0042752	regulation of circadian rhythm	70	2	0.18	0.01407	1	BP
GO:0099191	trans-synaptic signaling by BDNF	6	1	0.02	0.01557	1	BP
GO:0099550	trans-synaptic signaling, modulating syn...	6	1	0.02	0.01557	1	BP
GO:0014856	skeletal muscle cell proliferation	6	1	0.02	0.01557	1	BP
GO:0014841	skeletal muscle satellite cell prolifera...	6	1	0.02	0.01557	1	BP
GO:0046960	sensitization	6	1	0.02	0.01557	1	BP
GO:0010817	regulation of hormone levels	386	4	1.01	0.01619	1	BP
GO:0030335	positive regulation of cell migration	211	3	0.55	0.01663	1	BP
GO:0032088	negative regulation of NF-kappaB transcr...	77	2	0.2	0.01686	1	BP
GO:0051954	positive regulation of amine transport	79	2	0.21	0.0177	1	BP
GO:0007250	activation of NF-kappaB-inducing kinase ...	7	1	0.02	0.01814	1	BP
GO:0060158	phospholipase C-activating dopamine rece...	7	1	0.02	0.01814	1	BP
GO:0001661	conditioned taste aversion	7	1	0.02	0.01814	1	BP
GO:0030432	peristalsis	8	1	0.02	0.02071	1	BP
GO:0021853	cerebral cortex GABAergic interneuron mi...	8	1	0.02	0.02071	1	BP
GO:0071880	adenylate cyclase-activating adrenergic ...	8	1	0.02	0.02071	1	BP
GO:0007191	adenylate cyclase-activating dopamine re...	8	1	0.02	0.02071	1	BP
GO:0051917	regulation of fibrinolysis	8	1	0.02	0.02071	1	BP
GO:0051918	negative regulation of fibrinolysis	8	1	0.02	0.02071	1	BP
GO:0002002	regulation of angiotensin levels in bloo...	8	1	0.02	0.02071	1	BP
GO:0042321	negative regulation of circadian sleep/w...	9	1	0.02	0.02327	1	BP
GO:0021892	cerebral cortex GABAergic interneuron di...	9	1	0.02	0.02327	1	BP
GO:0021894	cerebral cortex GABAergic interneuron de...	9	1	0.02	0.02327	1	BP
GO:0060707	trophoblast giant cell differentiation	9	1	0.02	0.02327	1	BP
GO:0030194	positive regulation of blood coagulation	9	1	0.02	0.02327	1	BP
GO:1904936	interneuron migration	9	1	0.02	0.02327	1	BP
GO:0021826	substrate-independent telencephalic tang...	9	1	0.02	0.02327	1	BP
GO:0021843	substrate-independent telencephalic tang...	9	1	0.02	0.02327	1	BP
GO:0021830	interneuron migration from the subpalliu...	9	1	0.02	0.02327	1	BP
GO:1900048	positive regulation of hemostasis	9	1	0.02	0.02327	1	BP
GO:0046959	habituation	9	1	0.02	0.02327	1	BP
GO:0050433	regulation of catecholamine secretion	92	2	0.24	0.02357	1	BP
GO:0050432	catecholamine secretion	93	2	0.24	0.02405	1	BP
GO:0050886	endocrine process	96	2	0.25	0.02551	1	BP
GO:0050806	positive regulation of synaptic transmis...	96	2	0.25	0.02551	1	BP
GO:0044092	negative regulation of molecular functio...	443	4	1.16	0.02555	1	BP
GO:0042730	fibrinolysis	10	1	0.03	0.02582	1	BP
GO:0046958	nonassociative learning	10	1	0.03	0.02582	1	BP
GO:0071875	adrenergic receptor signaling pathway	10	1	0.03	0.02582	1	BP
GO:1903532	positive regulation of secretion by cell	254	3	0.66	0.02707	1	BP
GO:0043433	negative regulation of DNA-binding trans...	101	2	0.26	0.02803	1	BP
GO:0097154	GABAergic neuron differentiation	11	1	0.03	0.02837	1	BP
GO:0050820	positive regulation of coagulation	11	1	0.03	0.02837	1	BP
GO:0046879	hormone secretion	259	3	0.68	0.02847	1	BP
GO:0051047	positive regulation of secretion	260	3	0.68	0.02876	1	BP
GO:0009914	hormone transport	264	3	0.69	0.02991	1	BP
GO:0042754	negative regulation of circadian rhythm	12	1	0.03	0.03091	1	BP
GO:0014002	astrocyte development	12	1	0.03	0.03091	1	BP
GO:1900273	positive regulation of long-term synapti...	12	1	0.03	0.03091	1	BP
GO:0021542	dentate gyrus development	12	1	0.03	0.03091	1	BP
GO:0019722	calcium-mediated signaling	110	2	0.29	0.03282	1	BP
GO:0007623	circadian rhythm	110	2	0.29	0.03282	1	BP
GO:0014075	response to amine	13	1	0.03	0.03345	1	BP
GO:0060706	cell differentiation involved in embryon...	13	1	0.03	0.03345	1	BP
GO:0001991	regulation of systemic arterial blood pr...	13	1	0.03	0.03345	1	BP
GO:0001975	response to amphetamine	13	1	0.03	0.03345	1	BP
GO:0008015	blood circulation	276	3	0.72	0.03352	1	BP
GO:0006939	smooth muscle contraction	112	2	0.29	0.03392	1	BP
GO:0003013	circulatory system process	282	3	0.74	0.03541	1	BP
GO:0030336	negative regulation of cell migration	115	2	0.3	0.03561	1	BP
GO:0060716	labyrinthine layer blood vessel developm...	14	1	0.04	0.03597	1	BP
GO:0007634	optokinetic behavior	14	1	0.04	0.03597	1	BP
GO:0060134	prepulse inhibition	14	1	0.04	0.03597	1	BP
GO:0097428	protein maturation by iron-sulfur cluste...	14	1	0.04	0.03597	1	BP
GO:0051968	positive regulation of synaptic transmis...	14	1	0.04	0.03597	1	BP
GO:0043052	thermotaxis	14	1	0.04	0.03597	1	BP
GO:0048148	behavioral response to cocaine	15	1	0.04	0.0385	1	BP
GO:0050960	detection of temperature stimulus involv...	15	1	0.04	0.0385	1	BP
GO:0022617	extracellular matrix disassembly	15	1	0.04	0.0385	1	BP
GO:0002755	MyD88-dependent toll-like receptor signa...	15	1	0.04	0.0385	1	BP
GO:0060674	placenta blood vessel development	15	1	0.04	0.0385	1	BP
GO:2000146	negative regulation of cell motility	121	2	0.32	0.03907	1	BP
GO:0051271	negative regulation of cellular componen...	123	2	0.32	0.04026	1	BP
GO:0007268	chemical synaptic transmission	378	5	0.99	0.04035	1	BP
GO:0098916	anterograde trans-synaptic signaling	378	5	0.99	0.04035	1	BP
GO:0099537	trans-synaptic signaling	379	5	0.99	0.04066	1	BP
GO:0042053	regulation of dopamine metabolic process	16	1	0.04	0.04101	1	BP
GO:2001224	positive regulation of neuron migration	16	1	0.04	0.04101	1	BP
GO:0021895	cerebral cortex neuron differentiation	16	1	0.04	0.04101	1	BP
GO:0007625	grooming behavior	16	1	0.04	0.04101	1	BP
GO:0007617	mating behavior	16	1	0.04	0.04101	1	BP
GO:0050955	thermoception	16	1	0.04	0.04101	1	BP
GO:0021544	subpallium development	16	1	0.04	0.04101	1	BP
GO:0150099	neuron-glial cell signaling	16	1	0.04	0.04101	1	BP
GO:0046716	muscle cell cellular homeostasis	16	1	0.04	0.04101	1	BP
GO:0021756	striatum development	16	1	0.04	0.04101	1	BP
GO:0090303	positive regulation of wound healing	17	1	0.04	0.04352	1	BP
GO:0014060	regulation of epinephrine secretion	17	1	0.04	0.04352	1	BP
GO:0014053	negative regulation of gamma-aminobutyri...	17	1	0.04	0.04352	1	BP
GO:0060746	parental behavior	17	1	0.04	0.04352	1	BP
GO:0042711	maternal behavior	17	1	0.04	0.04352	1	BP
GO:0070498	interleukin-1-mediated signaling pathway	17	1	0.04	0.04352	1	BP
GO:0048241	epinephrine transport	17	1	0.04	0.04352	1	BP
GO:0048242	epinephrine secretion	17	1	0.04	0.04352	1	BP
GO:0032811	negative regulation of epinephrine secre...	17	1	0.04	0.04352	1	BP
GO:0045838	positive regulation of membrane potentia...	17	1	0.04	0.04352	1	BP
GO:0099010	modification of postsynaptic structure	17	1	0.04	0.04352	1	BP
GO:0007194	negative regulation of adenylate cyclase...	17	1	0.04	0.04352	1	BP
GO:0031280	negative regulation of cyclase activity	17	1	0.04	0.04352	1	BP
GO:0033602	negative regulation of dopamine secretio...	17	1	0.04	0.04352	1	BP
GO:0009605	response to external stimulus	869	7	2.27	0.04408	1	BP
GO:0050878	regulation of body fluid levels	131	2	0.34	0.04512	1	BP
GO:0032101	regulation of response to external stimu...	355	5	0.93	0.04582	1	BP
GO:0042069	regulation of catecholamine metabolic pr...	18	1	0.05	0.04602	1	BP
GO:0016048	detection of temperature stimulus	18	1	0.05	0.04602	1	BP
GO:1900271	regulation of long-term synaptic potenti...	18	1	0.05	0.04602	1	BP
GO:0050961	detection of temperature stimulus involv...	18	1	0.05	0.04602	1	BP
GO:1990384	hyaloid vascular plexus regression	18	1	0.05	0.04602	1	BP
GO:0051281	positive regulation of release of seques...	18	1	0.05	0.04602	1	BP
GO:0051956	negative regulation of amino acid transp...	18	1	0.05	0.04602	1	BP
GO:1903531	negative regulation of secretion by cell	134	2	0.35	0.047	1	BP
GO:0050819	negative regulation of coagulation	19	1	0.05	0.04852	1	BP
GO:0030195	negative regulation of blood coagulation	19	1	0.05	0.04852	1	BP
GO:0099563	modification of synaptic structure	19	1	0.05	0.04852	1	BP
GO:0060292	long-term synaptic depression	19	1	0.05	0.04852	1	BP
GO:1900047	negative regulation of hemostasis	19	1	0.05	0.04852	1	BP
GO:0051350	negative regulation of lyase activity	19	1	0.05	0.04852	1	BP
GO:0001964	startle response	19	1	0.05	0.04852	1	BP
GO:0010812	negative regulation of cell-substrate ad...	19	1	0.05	0.04852	1	BP
GO:0045761	regulation of adenylate cyclase activity	20	1	0.05	0.05101	1	BP
GO:0014855	striated muscle cell proliferation	20	1	0.05	0.05101	1	BP
GO:0043536	positive regulation of blood vessel endo...	20	1	0.05	0.05101	1	BP
GO:0042246	tissue regeneration	20	1	0.05	0.05101	1	BP
GO:0099536	synaptic signaling	411	5	1.07	0.05123	1	BP
GO:0048511	rhythmic process	141	2	0.37	0.0515	1	BP
GO:0030334	regulation of cell migration	329	3	0.86	0.05209	1	BP
GO:0050900	leukocyte migration	142	2	0.37	0.05216	1	BP
GO:0051048	negative regulation of secretion	144	2	0.38	0.05348	1	BP
GO:0007628	adult walking behavior	21	1	0.05	0.0535	1	BP
GO:0060124	positive regulation of growth hormone se...	21	1	0.05	0.0535	1	BP
GO:0050951	sensory perception of temperature stimul...	21	1	0.05	0.0535	1	BP
GO:0040013	negative regulation of locomotion	147	2	0.38	0.05548	1	BP
GO:0060033	anatomical structure regression	22	1	0.06	0.05598	1	BP
GO:0014049	positive regulation of glutamate secreti...	22	1	0.06	0.05598	1	BP
GO:0007214	gamma-aminobutyric acid signaling pathwa...	22	1	0.06	0.05598	1	BP
GO:0042749	regulation of circadian sleep/wake cycle	22	1	0.06	0.05598	1	BP
GO:0045187	regulation of circadian sleep/wake cycle...	22	1	0.06	0.05598	1	BP
GO:1903036	positive regulation of response to wound...	22	1	0.06	0.05598	1	BP
GO:0001963	synaptic transmission, dopaminergic	22	1	0.06	0.05598	1	BP
GO:0002441	histamine secretion involved in inflamma...	23	1	0.06	0.05845	1	BP
GO:2001222	regulation of neuron migration	23	1	0.06	0.05845	1	BP
GO:0061045	negative regulation of wound healing	23	1	0.06	0.05845	1	BP
GO:0050802	circadian sleep/wake cycle, sleep	23	1	0.06	0.05845	1	BP
GO:0071347	cellular response to interleukin-1	23	1	0.06	0.05845	1	BP
GO:1903792	negative regulation of anion transport	23	1	0.06	0.05845	1	BP
GO:0002553	histamine secretion by mast cell	23	1	0.06	0.05845	1	BP
GO:0030311	poly-N-acetyllactosamine biosynthetic pr...	23	1	0.06	0.05845	1	BP
GO:0002349	histamine production involved in inflamm...	23	1	0.06	0.05845	1	BP
GO:0051957	positive regulation of amino acid transp...	23	1	0.06	0.05845	1	BP
GO:0030309	poly-N-acetyllactosamine metabolic proce...	23	1	0.06	0.05845	1	BP
GO:0022410	circadian sleep/wake cycle process	23	1	0.06	0.05845	1	BP
GO:0032102	negative regulation of response to exter...	152	2	0.4	0.05887	1	BP
GO:0016226	iron-sulfur cluster assembly	24	1	0.06	0.06091	1	BP
GO:0032891	negative regulation of organic acid tran...	24	1	0.06	0.06091	1	BP
GO:0014048	regulation of glutamate secretion	24	1	0.06	0.06091	1	BP
GO:0030193	regulation of blood coagulation	24	1	0.06	0.06091	1	BP
GO:0042745	circadian sleep/wake cycle	24	1	0.06	0.06091	1	BP
GO:0031163	metallo-sulfur cluster assembly	24	1	0.06	0.06091	1	BP
GO:1900046	regulation of hemostasis	24	1	0.06	0.06091	1	BP
GO:0003081	regulation of systemic arterial blood pr...	24	1	0.06	0.06091	1	BP
GO:0042220	response to cocaine	24	1	0.06	0.06091	1	BP
GO:0070257	positive regulation of mucus secretion	24	1	0.06	0.06091	1	BP
GO:0019228	neuronal action potential	24	1	0.06	0.06091	1	BP
GO:0090659	walking behavior	24	1	0.06	0.06091	1	BP
GO:0019098	reproductive behavior	24	1	0.06	0.06091	1	BP
GO:0001525	angiogenesis	156	2	0.41	0.06164	1	BP
GO:0051482	positive regulation of cytosolic calcium...	25	1	0.07	0.06337	1	BP
GO:0032892	positive regulation of organic acid tran...	25	1	0.07	0.06337	1	BP
GO:0050818	regulation of coagulation	25	1	0.07	0.06337	1	BP
GO:1903793	positive regulation of anion transport	25	1	0.07	0.06337	1	BP
GO:0033238	regulation of cellular amine metabolic p...	25	1	0.07	0.06337	1	BP
GO:0048708	astrocyte differentiation	25	1	0.07	0.06337	1	BP
GO:0006936	muscle contraction	159	2	0.42	0.06375	1	BP
GO:0002209	behavioral defense response	26	1	0.07	0.06583	1	BP
GO:0070555	response to interleukin-1	26	1	0.07	0.06583	1	BP
GO:0008542	visual learning	26	1	0.07	0.06583	1	BP
GO:0001662	behavioral fear response	26	1	0.07	0.06583	1	BP
GO:0003018	vascular process in circulatory system	165	2	0.43	0.06803	1	BP
GO:0051608	histamine transport	27	1	0.07	0.06828	1	BP
GO:0001821	histamine secretion	27	1	0.07	0.06828	1	BP
GO:1903035	negative regulation of response to wound...	27	1	0.07	0.06828	1	BP
GO:0070255	regulation of mucus secretion	27	1	0.07	0.06828	1	BP
GO:0023061	signal release	371	3	0.97	0.06976	1	BP
GO:0031663	lipopolysaccharide-mediated signaling pa...	28	1	0.07	0.07072	1	BP
GO:0014047	glutamate secretion	28	1	0.07	0.07072	1	BP
GO:0032147	activation of protein kinase activity	28	1	0.07	0.07072	1	BP
GO:0007187	G protein-coupled receptor signaling pat...	28	1	0.07	0.07072	1	BP
GO:0070254	mucus secretion	28	1	0.07	0.07072	1	BP
GO:0019932	second-messenger-mediated signaling	169	2	0.44	0.07094	1	BP
GO:1903530	regulation of secretion by cell	378	3	0.99	0.07294	1	BP
GO:0042596	fear response	29	1	0.08	0.07315	1	BP
