GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0000387	spliceosomal snRNP assembly	30	14	2.07	2.5e-09	3.07925e-05	BP
GO:0000398	mRNA splicing, via spliceosome	173	52	11.95	4.2e-07	0.00258657	BP
GO:0035278	miRNA mediated inhibition of translation	11	7	0.76	1.9e-06	0.00780076666666667	BP
GO:0006298	mismatch repair	23	9	1.59	1.1e-05	0.0287396666666667	BP
GO:0008380	RNA splicing	259	70	17.89	1.2e-05	0.0287396666666667	BP
GO:0006413	translational initiation	71	22	4.9	1.4e-05	0.0287396666666667	BP
GO:0030422	production of siRNA involved in RNA inte...	10	6	0.69	1.7e-05	0.0299127142857143	BP
GO:0007129	homologous chromosome pairing at meiosis	27	13	1.86	2.7e-05	0.041569875	BP
GO:0007131	reciprocal meiotic recombination	34	13	2.35	3.4e-05	0.0465308888888889	BP
GO:0000724	double-strand break repair via homologou...	128	28	8.84	4.6e-05	0.049268	BP
GO:0048026	positive regulation of mRNA splicing, vi...	16	7	1.11	4.8e-05	0.049268	BP
GO:0045292	mRNA cis splicing, via spliceosome	16	7	1.11	4.8e-05	0.049268	BP
GO:0043248	proteasome assembly	12	6	0.83	6.8e-05	0.0558370666666667	BP
GO:0007130	synaptonemal complex assembly	12	6	0.83	6.8e-05	0.0558370666666667	BP
GO:0060213	positive regulation of nuclear-transcrib...	12	6	0.83	6.8e-05	0.0558370666666667	BP
GO:0006397	mRNA processing	292	74	20.17	7.7e-05	0.0592755625	BP
GO:0042138	meiotic DNA double-strand break formatio...	5	4	0.35	0.00011	0.0713089473684211	BP
GO:0090625	mRNA cleavage involved in gene silencing...	5	4	0.35	0.00011	0.0713089473684211	BP
GO:0035279	mRNA cleavage involved in gene silencing...	5	4	0.35	0.00011	0.0713089473684211	BP
GO:0007292	female gamete generation	97	20	6.7	0.00019	0.1170115	BP
GO:0042985	negative regulation of amyloid precursor...	6	4	0.41	3e-04	0.167959090909091	BP
GO:1905907	negative regulation of amyloid fibril fo...	6	4	0.41	3e-04	0.167959090909091	BP
GO:0051309	female meiosis chromosome separation	3	3	0.21	0.00033	0.174490833333333	BP
GO:0010498	proteasomal protein catabolic process	288	36	19.89	0.00034	0.174490833333333	BP
GO:0006401	RNA catabolic process	154	31	10.64	0.00043	0.2118524	BP
GO:0045947	negative regulation of translational ini...	11	5	0.76	5e-04	0.232654444444444	BP
GO:0006260	DNA replication	201	35	13.88	0.00051	0.232654444444444	BP
GO:0070922	small RNA loading onto RISC	7	4	0.48	0.00067	0.284565172413793	BP
GO:1901165	positive regulation of trophoblast cell ...	7	4	0.48	0.00067	0.284565172413793	BP
GO:0000184	nuclear-transcribed mRNA catabolic proce...	30	8	2.07	0.00074	0.303819333333333	BP
GO:0034470	ncRNA processing	313	48	21.62	0.00097	0.385402903225806	BP
GO:0090083	regulation of inclusion body assembly	4	3	0.28	0.00124	0.431095	BP
GO:1900153	positive regulation of nuclear-transcrib...	13	5	0.9	0.00125	0.431095	BP
GO:1990918	double-strand break repair involved in m...	8	4	0.55	0.00126	0.431095	BP
GO:0019673	GDP-mannose metabolic process	8	4	0.55	0.00126	0.431095	BP
GO:0031054	pre-miRNA processing	8	4	0.55	0.00126	0.431095	BP
GO:0006310	DNA recombination	209	48	14.44	0.00155	0.515982432432432	BP
GO:0000470	maturation of LSU-rRNA	27	7	1.86	0.0019	0.61585	BP
GO:0010501	RNA secondary structure unwinding	9	4	0.62	0.00214	0.675855897435897	BP
GO:0051726	regulation of cell cycle	527	53	36.4	0.00313	0.96380525	BP
GO:0033120	positive regulation of RNA splicing	26	11	1.8	0.00324	0.973343414634146	BP
GO:0048232	male gamete generation	226	27	15.61	0.00351	1	BP
GO:1905168	positive regulation of double-strand bre...	30	7	2.07	0.00363	1	BP
GO:0051983	regulation of chromosome segregation	92	14	6.35	0.004	1	BP
GO:0006406	mRNA export from nucleus	39	8	2.69	0.00448	1	BP
GO:0032968	positive regulation of transcription elo...	39	8	2.69	0.00448	1	BP
GO:0051276	chromosome organization	507	64	35.02	0.00476	1	BP
GO:0042140	late meiotic recombination nodule assemb...	2	2	0.14	0.00476	1	BP
GO:0043111	replication fork arrest	2	2	0.14	0.00476	1	BP
GO:1990120	messenger ribonucleoprotein complex asse...	2	2	0.14	0.00476	1	BP
GO:1905069	allantois development	2	2	0.14	0.00476	1	BP
GO:0009213	pyrimidine deoxyribonucleoside triphosph...	2	2	0.14	0.00476	1	BP
GO:0071103	DNA conformation change	115	16	7.94	0.00539	1	BP
GO:0006511	ubiquitin-dependent protein catabolic pr...	360	38	24.86	0.00539	1	BP
GO:0042148	strand invasion	6	3	0.41	0.0056	1	BP
GO:0071392	cellular response to estradiol stimulus	6	3	0.41	0.0056	1	BP
GO:0140245	regulation of translation at postsynapse	6	3	0.41	0.0056	1	BP
GO:0019348	dolichol metabolic process	6	3	0.41	0.0056	1	BP
GO:0060713	labyrinthine layer morphogenesis	6	3	0.41	0.0056	1	BP
GO:0051290	protein heterotetramerization	6	3	0.41	0.0056	1	BP
GO:0006417	regulation of translation	213	36	14.71	0.00611	1	BP
GO:0000381	regulation of alternative mRNA splicing,...	18	5	1.24	0.00622	1	BP
GO:0000462	maturation of SSU-rRNA from tricistronic...	33	7	2.28	0.00636	1	BP
GO:0045727	positive regulation of translation	59	10	4.08	0.00659	1	BP
GO:1903047	mitotic cell cycle process	413	42	28.53	0.0068	1	BP
GO:0051168	nuclear export	99	18	6.84	0.00694	1	BP
GO:0048025	negative regulation of mRNA splicing, vi...	12	4	0.83	0.00712	1	BP
GO:1900264	positive regulation of DNA-directed DNA ...	12	4	0.83	0.00712	1	BP
GO:0071243	cellular response to arsenic-containing ...	12	4	0.83	0.00712	1	BP
GO:0006284	base-excision repair	34	7	2.35	0.00754	1	BP
GO:0002183	cytoplasmic translational initiation	19	5	1.31	0.00796	1	BP
GO:0070897	transcription preinitiation complex asse...	52	9	3.59	0.00849	1	BP
GO:0042254	ribosome biogenesis	260	37	17.96	0.00854	1	BP
GO:0006270	DNA replication initiation	27	6	1.86	0.00896	1	BP
GO:0090110	COPII-coated vesicle cargo loading	7	3	0.48	0.00929	1	BP
GO:1902415	regulation of mRNA binding	7	3	0.48	0.00929	1	BP
GO:0098789	pre-mRNA cleavage required for polyadeny...	7	3	0.48	0.00929	1	BP
GO:0007281	germ cell development	154	19	10.64	0.00949	1	BP
GO:0000727	double-strand break repair via break-ind...	13	4	0.9	0.00974	1	BP
GO:0000075	cell cycle checkpoint signaling	144	18	9.95	0.01002	1	BP
GO:0001824	blastocyst development	92	13	6.35	0.01016	1	BP
GO:1990823	response to leukemia inhibitory factor	63	10	4.35	0.01048	1	BP
GO:1990830	cellular response to leukemia inhibitory...	63	10	4.35	0.01048	1	BP
GO:0006338	chromatin remodeling	113	15	7.8	0.0106	1	BP
GO:0044786	cell cycle DNA replication	28	6	1.93	0.01075	1	BP
GO:0000082	G1/S transition of mitotic cell cycle	103	14	7.11	0.0109	1	BP
GO:0048477	oogenesis	73	11	5.04	0.01095	1	BP
GO:0006367	transcription initiation from RNA polyme...	83	12	5.73	0.01113	1	BP
GO:0006323	DNA packaging	64	10	4.42	0.01168	1	BP
GO:0006446	regulation of translational initiation	32	10	2.21	0.01203	1	BP
GO:0022402	cell cycle process	640	79	44.2	0.01206	1	BP
GO:0006302	double-strand break repair	209	40	14.44	0.01225	1	BP
GO:0006364	rRNA processing	188	30	12.98	0.01243	1	BP
GO:0001541	ovarian follicle development	29	6	2	0.01279	1	BP
GO:0000463	maturation of LSU-rRNA from tricistronic...	14	4	0.97	0.0129	1	BP
GO:0000729	DNA double-strand break processing	14	4	0.97	0.0129	1	BP
GO:0044030	regulation of DNA methylation	14	4	0.97	0.0129	1	BP
GO:0007283	spermatogenesis	215	24	14.85	0.01298	1	BP
GO:0060670	branching involved in labyrinthine layer...	3	2	0.21	0.01363	1	BP
GO:0060629	regulation of homologous chromosome segr...	3	2	0.21	0.01363	1	BP
GO:1903774	positive regulation of viral budding via...	3	2	0.21	0.01363	1	BP
GO:0001834	trophectodermal cell proliferation	3	2	0.21	0.01363	1	BP
GO:0099578	regulation of translation at postsynapse...	3	2	0.21	0.01363	1	BP
GO:0070966	nuclear-transcribed mRNA catabolic proce...	3	2	0.21	0.01363	1	BP
GO:2000395	regulation of ubiquitin-dependent endocy...	3	2	0.21	0.01363	1	BP
GO:2000397	positive regulation of ubiquitin-depende...	3	2	0.21	0.01363	1	BP
GO:0097010	eukaryotic translation initiation factor...	3	2	0.21	0.01363	1	BP
GO:1902990	mitotic telomere maintenance via semi-co...	3	2	0.21	0.01363	1	BP
GO:0016344	meiotic chromosome movement towards spin...	3	2	0.21	0.01363	1	BP
GO:0110104	mRNA alternative polyadenylation	3	2	0.21	0.01363	1	BP
GO:0043985	histone H4-R3 methylation	3	2	0.21	0.01363	1	BP
GO:0090261	positive regulation of inclusion body as...	3	2	0.21	0.01363	1	BP
GO:0090204	protein localization to nuclear pore	3	2	0.21	0.01363	1	BP
GO:0042351	'de novo' GDP-L-fucose biosynthetic proc...	3	2	0.21	0.01363	1	BP
GO:0006325	chromatin organization	239	26	16.51	0.01365	1	BP
GO:0046822	regulation of nucleocytoplasmic transpor...	56	9	3.87	0.0137	1	BP
GO:0051123	RNA polymerase II preinitiation complex ...	47	8	3.25	0.01411	1	BP
GO:0002861	regulation of inflammatory response to a...	8	3	0.55	0.01412	1	BP
GO:0045144	meiotic sister chromatid segregation	8	3	0.55	0.01412	1	BP
GO:0060315	negative regulation of ryanodine-sensiti...	8	3	0.55	0.01412	1	BP
GO:0060316	positive regulation of ryanodine-sensiti...	8	3	0.55	0.01412	1	BP
GO:2000622	regulation of nuclear-transcribed mRNA c...	8	3	0.55	0.01412	1	BP
GO:0051177	meiotic sister chromatid cohesion	8	3	0.55	0.01412	1	BP
GO:0000244	spliceosomal tri-snRNP complex assembly	8	3	0.55	0.01412	1	BP
GO:0006402	mRNA catabolic process	131	25	9.05	0.01504	1	BP
GO:0000079	regulation of cyclin-dependent protein s...	30	6	2.07	0.01508	1	BP
GO:0022616	DNA strand elongation	30	6	2.07	0.01508	1	BP
GO:1904029	regulation of cyclin-dependent protein k...	30	6	2.07	0.01508	1	BP
GO:0000018	regulation of DNA recombination	78	15	5.39	0.01513	1	BP
