GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0007186	G protein-coupled receptor signaling pat...	554	6	0.65	9.7e-06	0.1194749	BP
GO:0051918	negative regulation of fibrinolysis	8	2	0.01	3.4e-05	0.209389	BP
GO:0014049	positive regulation of glutamate secreti...	22	2	0.03	0.00028	1	BP
GO:0016525	negative regulation of angiogenesis	30	2	0.04	0.00052	1	BP
GO:0031099	regeneration	41	2	0.05	0.00098	1	BP
GO:0034392	negative regulation of smooth muscle cel...	1	1	0	0.00118	1	BP
GO:0010594	regulation of endothelial cell migration	62	2	0.07	0.00224	1	BP
GO:0007597	blood coagulation, intrinsic pathway	2	1	0	0.00235	1	BP
GO:0002125	maternal aggressive behavior	2	1	0	0.00235	1	BP
GO:0007621	negative regulation of female receptivit...	2	1	0	0.00235	1	BP
GO:0051006	positive regulation of lipoprotein lipas...	2	1	0	0.00235	1	BP
GO:0031394	positive regulation of prostaglandin bio...	3	1	0	0.00352	1	BP
GO:0010898	positive regulation of triglyceride cata...	3	1	0	0.00352	1	BP
GO:0034197	triglyceride transport	3	1	0	0.00352	1	BP
GO:0001992	regulation of systemic arterial blood pr...	3	1	0	0.00352	1	BP
GO:0031639	plasminogen activation	4	1	0	0.00469	1	BP
GO:0099183	trans-synaptic signaling by BDNF, modula...	5	1	0.01	0.00586	1	BP
GO:0051919	positive regulation of fibrinolysis	5	1	0.01	0.00586	1	BP
GO:0032849	positive regulation of cellular pH reduc...	5	1	0.01	0.00586	1	BP
GO:0060268	negative regulation of respiratory burst	5	1	0.01	0.00586	1	BP
GO:0046887	positive regulation of hormone secretion	102	2	0.12	0.00595	1	BP
GO:0050911	detection of chemical stimulus involved ...	6	1	0.01	0.00703	1	BP
GO:0003084	positive regulation of systemic arterial...	6	1	0.01	0.00703	1	BP
GO:0035815	positive regulation of renal sodium excr...	7	1	0.01	0.0082	1	BP
GO:0008284	positive regulation of cell population p...	393	3	0.46	0.00893	1	BP
GO:0051970	negative regulation of transmission of n...	8	1	0.01	0.00937	1	BP
GO:0010460	positive regulation of heart rate	9	1	0.01	0.01053	1	BP
GO:0060707	trophoblast giant cell differentiation	9	1	0.01	0.01053	1	BP
GO:1903524	positive regulation of blood circulation	10	1	0.01	0.0117	1	BP
GO:0045823	positive regulation of heart contraction	10	1	0.01	0.0117	1	BP
GO:0040007	growth	436	3	0.51	0.01189	1	BP
GO:0001937	negative regulation of endothelial cell ...	11	1	0.01	0.01286	1	BP
GO:0031100	animal organ regeneration	11	1	0.01	0.01286	1	BP
GO:0043084	penile erection	12	1	0.01	0.01402	1	BP
GO:0042713	sperm ejaculation	13	1	0.02	0.01518	1	BP
GO:0060706	cell differentiation involved in embryon...	13	1	0.02	0.01518	1	BP
GO:0007320	insemination	13	1	0.02	0.01518	1	BP
GO:0045927	positive regulation of growth	170	2	0.2	0.01591	1	BP
GO:0010596	negative regulation of endothelial cell ...	14	1	0.02	0.01634	1	BP
GO:0009880	embryonic pattern specification	14	1	0.02	0.01634	1	BP
GO:0060716	labyrinthine layer blood vessel developm...	14	1	0.02	0.01634	1	BP
GO:0022617	extracellular matrix disassembly	15	1	0.02	0.0175	1	BP
GO:0060674	placenta blood vessel development	15	1	0.02	0.0175	1	BP
GO:0007188	adenylate cyclase-modulating G protein-c...	183	2	0.22	0.0183	1	BP
GO:0046716	muscle cell cellular homeostasis	16	1	0.02	0.01865	1	BP
GO:0150099	neuron-glial cell signaling	16	1	0.02	0.01865	1	BP
GO:0070162	adiponectin secretion	16	1	0.02	0.01865	1	BP
GO:0070163	regulation of adiponectin secretion	16	1	0.02	0.01865	1	BP
GO:0070165	positive regulation of adiponectin secre...	16	1	0.02	0.01865	1	BP
GO:0007625	grooming behavior	16	1	0.02	0.01865	1	BP
GO:0042711	maternal behavior	17	1	0.02	0.01981	1	BP
GO:0033602	negative regulation of dopamine secretio...	17	1	0.02	0.01981	1	BP
GO:0032811	negative regulation of epinephrine secre...	17	1	0.02	0.01981	1	BP
GO:0007194	negative regulation of adenylate cyclase...	17	1	0.02	0.01981	1	BP
GO:0031280	negative regulation of cyclase activity	17	1	0.02	0.01981	1	BP
GO:0060746	parental behavior	17	1	0.02	0.01981	1	BP
GO:0014060	regulation of epinephrine secretion	17	1	0.02	0.01981	1	BP
GO:0014053	negative regulation of gamma-aminobutyri...	17	1	0.02	0.01981	1	BP
GO:0048241	epinephrine transport	17	1	0.02	0.01981	1	BP
GO:0048242	epinephrine secretion	17	1	0.02	0.01981	1	BP
GO:0051956	negative regulation of amino acid transp...	18	1	0.02	0.02096	1	BP
GO:0007218	neuropeptide signaling pathway	19	1	0.02	0.02212	1	BP
GO:0010633	negative regulation of epithelial cell m...	19	1	0.02	0.02212	1	BP
GO:0010812	negative regulation of cell-substrate ad...	19	1	0.02	0.02212	1	BP
GO:0051350	negative regulation of lyase activity	19	1	0.02	0.02212	1	BP
GO:0045761	regulation of adenylate cyclase activity	20	1	0.02	0.02327	1	BP
GO:0042246	tissue regeneration	20	1	0.02	0.02327	1	BP
GO:0050995	negative regulation of lipid catabolic p...	20	1	0.02	0.02327	1	BP
GO:0043536	positive regulation of blood vessel endo...	20	1	0.02	0.02327	1	BP
GO:0048568	embryonic organ development	211	2	0.25	0.02394	1	BP
GO:0051897	positive regulation of protein kinase B ...	21	1	0.02	0.02442	1	BP
GO:0060124	positive regulation of growth hormone se...	21	1	0.02	0.02442	1	BP
GO:0007214	gamma-aminobutyric acid signaling pathwa...	22	1	0.03	0.02557	1	BP
GO:0007620	copulation	22	1	0.03	0.02557	1	BP
GO:1903792	negative regulation of anion transport	23	1	0.03	0.02672	1	BP
GO:0032891	negative regulation of organic acid tran...	24	1	0.03	0.02787	1	BP
GO:0042127	regulation of cell population proliferat...	731	5	0.86	0.02858	1	BP
GO:0009790	embryo development	609	3	0.72	0.02923	1	BP
GO:0033033	negative regulation of myeloid cell apop...	27	1	0.03	0.0313	1	BP
GO:0002027	regulation of heart rate	28	1	0.03	0.03244	1	BP
GO:0060711	labyrinthine layer development	28	1	0.03	0.03244	1	BP
GO:0050994	regulation of lipid catabolic process	35	2	0.04	0.03297	1	BP
GO:0038194	thyroid-stimulating hormone signaling pa...	29	1	0.03	0.03358	1	BP
GO:1904588	cellular response to glycoprotein	29	1	0.03	0.03358	1	BP
GO:1905225	response to thyrotropin-releasing hormon...	29	1	0.03	0.03358	1	BP
