annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
MFS_1	13	71	315	15396	1.72285515833878e-09	2.92885376917592e-07
fn3	11	50	315	15396	4.05476938395582e-09	3.44655397636245e-07
Nucleoside_tran	6	11	315	15396	2.96487787258991e-08	1.68009746113428e-06
I-set	9	46	315	15396	3.17400615439695e-07	1.3489526156187e-05
CH	7	35	315	15396	5.77110138755424e-06	0.000196217447176844
IgGFc_binding	5	18	315	15396	2.39060336771867e-05	0.000677337620853623
GAIN	5	22	315	15396	6.86958626635304e-05	0.00166832809325717
Ig_3	7	54	315	15396	0.000108982219048507	0.00231587215478078
ABC2_membrane_7	2	2	315	15396	0.000417304056316936	0.00648018078757921
cEGF	4	18	315	15396	0.00041930581566689	0.00648018078757921
NIDO	4	18	315	15396	0.00041930581566689	0.00648018078757921
GPS	6	54	315	15396	0.00079077612709372	0.0103409185850717
SNF	4	21	315	15396	0.00078135750190819	0.0103409185850717
ABC2_membrane	2	3	315	15396	0.00123494241844708	0.0149957293668574
7tm_2	7	81	315	15396	0.00133783722827268	0.015162155253757
Spectrin	3	13	315	15396	0.00208344576332564	0.022136611235335
Anoct_dimer	2	4	315	15396	0.00243646127451047	0.0243646127451047
Aldolase_II	2	5	315	15396	0.00400590885165703	0.0283751876992373
Ammonium_transp	2	5	315	15396	0.00400590885165703	0.0283751876992373
Anoctamin	2	5	315	15396	0.00400590885165703	0.0283751876992373
Sel1	4	31	315	15396	0.00349823333636152	0.0283751876992373
TauD	3	15	315	15396	0.00321560165094724	0.0283751876992373
TGF_beta	2	5	315	15396	0.00400590885165703	0.0283751876992373
Xan_ur_permease	2	5	315	15396	0.00400590885165703	0.0283751876992373
Tctex-1	2	6	315	15396	0.00592782186642345	0.0403091886916794
G-alpha	2	8	315	15396	0.0107695546064376	0.0704163185805537
Alkyl_sulf_C	1	1	315	15396	0.0204598597038187	0.0740037478648761
Alkyl_sulf_dimr	1	1	315	15396	0.0204598597038187	0.0740037478648761
ALS2CR8	1	1	315	15396	0.0204598597038187	0.0740037478648761
Amidinotransf	1	1	315	15396	0.0204598597038187	0.0740037478648761
Caveolin	1	1	315	15396	0.0204598597038187	0.0740037478648761
COE1_DBD	1	1	315	15396	0.0204598597038187	0.0740037478648761
COE1_HLH	1	1	315	15396	0.0204598597038187	0.0740037478648761
DUF1741	1	1	315	15396	0.0204598597038187	0.0740037478648761
DUF202	1	1	315	15396	0.0204598597038187	0.0740037478648761
DUF2278	1	1	315	15396	0.0204598597038187	0.0740037478648761
EGF_CA	5	71	315	15396	0.0150615794138239	0.0740037478648761
Guanylate_kin	2	11	315	15396	0.0203157113248681	0.0740037478648761
He_PIG	1	1	315	15396	0.0204598597038187	0.0740037478648761
L27_1	1	1	315	15396	0.0204598597038187	0.0740037478648761
PARP	3	25	315	15396	0.0139818897005286	0.0740037478648761
PID_2	1	1	315	15396	0.0204598597038187	0.0740037478648761
SAM_3	1	1	315	15396	0.0204598597038187	0.0740037478648761
SH3_2	2	11	315	15396	0.0203157113248681	0.0740037478648761
SH3BGR	1	1	315	15396	0.0204598597038187	0.0740037478648761
Smoothelin	1	1	315	15396	0.0204598597038187	0.0740037478648761
UPA_2	1	1	315	15396	0.0204598597038187	0.0740037478648761
Ig_2	2	13	315	15396	0.0280479613844985	0.0993365299034321
SH3_1	3	33	315	15396	0.0294368136054057	0.102127720671816
ALAD	1	2	315	15396	0.0405024153513213	0.104324403177646
Coprogen_oxidas	1	2	315	15396	0.0405024153513213	0.104324403177646
DAG1	1	2	315	15396	0.0405024153513213	0.104324403177646
DAN	1	2	315	15396	0.0405024153513213	0.104324403177646
DUF3585	1	2	315	15396	0.0405024153513213	0.104324403177646
EF-hand_7	4	59	315	15396	0.0324735498307753	0.104324403177646
EFhand_Ca_insen	1	2	315	15396	0.0405024153513213	0.104324403177646
ERK-JNK_inhib	1	2	315	15396	0.0405024153513213	0.104324403177646
Furin-like_2	1	2	315	15396	0.0405024153513213	0.104324403177646
FXa_inhibition	2	14	315	15396	0.0322873300643298	0.104324403177646
Glypican	1	2	315	15396	0.0405024153513213	0.104324403177646
HRM	1	2	315	15396	0.0405024153513213	0.104324403177646
PTB	1	2	315	15396	0.0405024153513213	0.104324403177646
Rho_Binding	1	2	315	15396	0.0405024153513213	0.104324403177646
Tropomyosin	1	2	315	15396	0.0405024153513213	0.104324403177646
UNC-93	1	2	315	15396	0.0405024153513213	0.104324403177646
ZIP4_domain	1	2	315	15396	0.0405024153513213	0.104324403177646
Ank	3	39	315	15396	0.04511844025532	0.114220329883752
BACK	2	17	315	15396	0.0463600162469345	0.114220329883752
Sugar_tr	2	17	315	15396	0.0463600162469345	0.114220329883752
FAD_binding_3	1	3	315	15396	0.0601361518177582	0.123170431433963
FerI	1	3	315	15396	0.0601361518177582	0.123170431433963
Ferlin_C	1	3	315	15396	0.0601361518177582	0.123170431433963
FGE-sulfatase	1	3	315	15396	0.0601361518177582	0.123170431433963
Kelch_1	2	19	315	15396	0.0567625435100359	0.123170431433963
Methyltransf_23	1	3	315	15396	0.0601361518177582	0.123170431433963
Myosin_N	1	3	315	15396	0.0601361518177582	0.123170431433963
Myosin_tail_1	1	3	315	15396	0.0601361518177582	0.123170431433963
P5-ATPase	1	3	315	15396	0.0601361518177582	0.123170431433963
PDZ	3	43	315	15396	0.0574442700664453	0.123170431433963
PH_9	1	3	315	15396	0.0601361518177582	0.123170431433963
Ribonucleas_3_3	1	3	315	15396	0.0601361518177582	0.123170431433963
SH3_9	2	19	315	15396	0.0567625435100359	0.123170431433963
ZU5	1	3	315	15396	0.0601361518177582	0.123170431433963
AMP-binding_C	2	21	315	15396	0.0678871815689616	0.135774363137923
ERAP1_C	2	21	315	15396	0.0678871815689616	0.135774363137923
AMP-binding	2	23	315	15396	0.0796587795855788	0.139608170407715
ArgoMid	1	4	315	15396	0.0793693819988408	0.139608170407715
BRO1	1	4	315	15396	0.0793693819988408	0.139608170407715
Calpain_III	1	4	315	15396	0.0793693819988408	0.139608170407715
CAP	1	4	315	15396	0.0793693819988408	0.139608170407715
EGF_3	2	23	315	15396	0.0796587795855788	0.139608170407715
Kelch_6	1	4	315	15396	0.0793693819988408	0.139608170407715
MGAT2	1	4	315	15396	0.0793693819988408	0.139608170407715
Peptidase_M1	2	23	315	15396	0.0796587795855788	0.139608170407715
Piwi	1	4	315	15396	0.0793693819988408	0.139608170407715
Reprolysin_2	1	4	315	15396	0.0793693819988408	0.139608170407715
TGFb_propeptide	1	4	315	15396	0.0793693819988408	0.139608170407715
Peptidase_M1_N	2	24	315	15396	0.0857650428997572	0.148776094826109
Ank_4	3	52	315	15396	0.0902035941613853	0.154895060681167
BTB	2	26	315	15396	0.0983767510876911	0.160808150816418
CRAL_TRIO_2	1	5	315	15396	0.098210250285637	0.160808150816418
FMO-like	1	5	315	15396	0.098210250285637	0.160808150816418
Lactamase_B	1	5	315	15396	0.098210250285637	0.160808150816418
TIG	1	5	315	15396	0.098210250285637	0.160808150816418
Kazal_2	2	27	315	15396	0.104866330490772	0.166610057789077
OATP	2	27	315	15396	0.104866330490772	0.166610057789077
RhoGEF	2	27	315	15396	0.104866330490772	0.166610057789077
Peptidase_C2	1	6	315	15396	0.11666673596948	0.181957294631299
TPMT	1	6	315	15396	0.11666673596948	0.181957294631299
Bravo_FIGEY	1	7	315	15396	0.134746656578292	0.200937996651839
Carb_anhydrase	1	7	315	15396	0.134746656578292	0.200937996651839
Filamin	1	7	315	15396	0.134746656578292	0.200937996651839
ig	1	7	315	15396	0.134746656578292	0.200937996651839
Oxysterol_BP	1	7	315	15396	0.134746656578292	0.200937996651839
PID	1	8	315	15396	0.152457671145699	0.223429345644559
T4_deiodinase	1	8	315	15396	0.152457671145699	0.223429345644559
Cadherin	1	9	315	15396	0.169807283414292	0.242581833448989
EF-hand_4	1	9	315	15396	0.169807283414292	0.242581833448989
Zip	1	9	315	15396	0.169807283414292	0.242581833448989
Cu2_monoox_C	1	10	315	15396	0.186802844974343	0.256100674561599
Cu2_monooxygen	1	10	315	15396	0.186802844974343	0.256100674561599
hEGF	2	38	315	15396	0.182183791080802	0.256100674561599
Tubulin_C	1	10	315	15396	0.186802844974343	0.256100674561599
VWD	1	10	315	15396	0.186802844974343	0.256100674561599
CRAL_TRIO	1	11	315	15396	0.20345155833929	0.27020910091937
EF-hand_8	1	11	315	15396	0.20345155833929	0.27020910091937
Hydrolase	1	11	315	15396	0.20345155833929	0.27020910091937
zf-C3HC4	1	11	315	15396	0.20345155833929	0.27020910091937
Carn_acyltransf	1	12	315	15396	0.219760479959253	0.287379089177485
Pep_M12B_propep	1	12	315	15396	0.219760479959253	0.287379089177485
Actin	1	13	315	15396	0.235736523173816	0.301317360447734
Myosin_head	1	13	315	15396	0.235736523173816	0.301317360447734
Patatin	1	13	315	15396	0.235736523173816	0.301317360447734
