GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0042776	mitochondrial ATP synthesis coupled prot...	166	133	11.84	NA	NA	BP
GO:0032543	mitochondrial translation	436	176	31.11	NA	NA	BP
GO:0032981	mitochondrial respiratory chain complex ...	142	100	10.13	NA	NA	BP
GO:0006099	tricarboxylic acid cycle	102	64	7.28	NA	NA	BP
GO:0006120	mitochondrial electron transport, NADH t...	70	49	4.99	NA	NA	BP
GO:0006122	mitochondrial electron transport, ubiqui...	39	35	2.78	NA	NA	BP
GO:0006635	fatty acid beta-oxidation	240	98	17.12	NA	NA	BP
GO:0061732	mitochondrial acetyl-CoA biosynthetic pr...	30	28	2.14	2.5e-30	3.143e-26	BP
GO:0097401	synaptic vesicle lumen acidification	54	36	3.85	1.1e-28	6.9146e-25	BP
GO:0006123	mitochondrial electron transport, cytoch...	31	25	2.21	9.2e-24	3.85541333333333e-20	BP
GO:0009083	branched-chain amino acid catabolic proc...	67	43	4.78	1.2e-21	3.7716e-18	BP
GO:0033539	fatty acid beta-oxidation using acyl-CoA...	45	27	3.21	4.6e-20	1.156624e-16	BP
GO:0006107	oxaloacetate metabolic process	39	25	2.78	1.1e-19	2.30486666666667e-16	BP
GO:0036295	cellular response to increased oxygen le...	29	18	2.07	3.5e-14	6.286e-11	BP
GO:0045039	protein insertion into mitochondrial inn...	38	20	2.71	1e-13	1.5715e-10	BP
GO:0006101	citrate metabolic process	16	13	1.14	5.5e-13	7.68288888888889e-10	BP
GO:0006550	isoleucine catabolic process	19	14	1.36	7e-13	8.45752727272727e-10	BP
GO:0006103	2-oxoglutarate metabolic process	41	26	2.93	7.4e-13	8.45752727272727e-10	BP
GO:0033617	mitochondrial cytochrome c oxidase assem...	62	24	4.42	1.8e-12	1.83744615384615e-09	BP
GO:1902600	proton transmembrane transport	328	214	23.4	1.9e-12	1.83744615384615e-09	BP
GO:0006559	L-phenylalanine catabolic process	24	15	1.71	4.3e-12	3.8614e-09	BP
GO:0033615	mitochondrial proton-transporting ATP sy...	28	16	2	5.7e-12	4.77736e-09	BP
GO:0030150	protein import into mitochondrial matrix	50	20	3.57	6.3e-11	4.950225e-08	BP
GO:0007035	vacuolar acidification	57	27	4.07	7.9e-11	5.84228235294118e-08	BP
GO:0006105	succinate metabolic process	28	15	2	9.3e-11	6.41833684210526e-08	BP
GO:0051289	protein homotetramerization	137	34	9.77	9.7e-11	6.41833684210526e-08	BP
GO:0006094	gluconeogenesis	182	40	12.98	1.3e-10	8.1718e-08	BP
GO:0006102	isocitrate metabolic process	19	12	1.36	5.3e-10	3.17293333333333e-07	BP
GO:0022904	respiratory electron transport chain	256	155	18.26	5.6e-10	3.19135384615385e-07	BP
GO:0006532	aspartate biosynthetic process	8	8	0.57	6.6e-10	3.19135384615385e-07	BP
GO:0006533	aspartate catabolic process	8	8	0.57	6.6e-10	3.19135384615385e-07	BP
GO:0019550	glutamate catabolic process to aspartate	8	8	0.57	6.6e-10	3.19135384615385e-07	BP
GO:0019551	glutamate catabolic process to 2-oxoglut...	8	8	0.57	6.6e-10	3.19135384615385e-07	BP
GO:0006572	tyrosine catabolic process	16	11	1.14	7.4e-10	3.44565925925926e-07	BP
GO:0070072	vacuolar proton-transporting V-type ATPa...	20	12	1.43	1.2e-09	5.388e-07	BP
GO:0015986	ATP synthesis coupled proton transport	177	142	12.63	1.4e-09	6.06924137931034e-07	BP
GO:0006121	mitochondrial electron transport, succin...	21	12	1.5	2.7e-09	1.13148e-06	BP
