GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0045200	establishment of neuroblast polarity	4	3	0.02	5.6e-07	0.00691845	BP
GO:0051965	positive regulation of synapse assembly	102	7	0.53	1.1e-06	0.00691845	BP
GO:0051930	regulation of sensory perception of pain	111	7	0.58	2e-06	0.008386	BP
GO:0090160	Golgi to lysosome transport	24	4	0.13	7e-06	0.0140166	BP
GO:0099558	maintenance of synapse structure	51	5	0.27	7.1e-06	0.0140166	BP
GO:0003358	noradrenergic neuron development	8	3	0.04	7.7e-06	0.0140166	BP
GO:0010875	positive regulation of cholesterol efflu...	52	5	0.27	7.8e-06	0.0140166	BP
GO:0016322	neuron remodeling	28	4	0.15	1.3e-05	0.020440875	BP
GO:0072659	protein localization to plasma membrane	534	12	2.79	2.6e-05	0.0363393333333333	BP
GO:0097051	establishment of protein localization to...	12	3	0.06	3e-05	0.037737	BP
GO:0032456	endocytic recycling	175	7	0.91	3.9e-05	0.0445982727272727	BP
GO:0060394	negative regulation of pathway-restricte...	15	3	0.08	6.1e-05	0.06394325	BP
GO:0007216	G protein-coupled glutamate receptor sig...	87	5	0.45	9.6e-05	0.0914836363636364	BP
GO:0060392	negative regulation of SMAD protein sign...	18	3	0.09	0.00011	0.0914836363636364	BP
GO:0033209	tumor necrosis factor-mediated signaling...	143	6	0.75	0.00011	0.0914836363636364	BP
GO:0030512	negative regulation of transforming grow...	149	6	0.78	0.00014	0.0914836363636364	BP
GO:1901387	positive regulation of voltage-gated cal...	20	3	0.1	0.00015	0.0914836363636364	BP
GO:0045746	negative regulation of Notch signaling p...	97	5	0.51	0.00016	0.0914836363636364	BP
GO:0046671	negative regulation of retinal cell prog...	4	2	0.02	0.00016	0.0914836363636364	BP
GO:0072560	type B pancreatic cell maturation	4	2	0.02	0.00016	0.0914836363636364	BP
GO:0035038	female pronucleus assembly	4	2	0.02	0.00016	0.0914836363636364	BP
GO:0035039	male pronucleus assembly	4	2	0.02	0.00016	0.0914836363636364	BP
GO:0006729	tetrahydrobiopterin biosynthetic process	21	3	0.11	0.00017	0.0929752173913043	BP
GO:1905806	regulation of synapse pruning	24	3	0.13	0.00026	0.1362725	BP
GO:0045186	zonula adherens assembly	6	2	0.03	4e-04	0.193523076923077	BP
GO:0007520	myoblast fusion	66	4	0.34	4e-04	0.193523076923077	BP
GO:0034498	early endosome to Golgi transport	31	3	0.16	0.00056	0.25158	BP
GO:0061743	motor learning	31	3	0.16	0.00056	0.25158	BP
GO:0090158	endoplasmic reticulum membrane organizat...	33	3	0.17	0.00068	0.282074545454545	BP
GO:0050966	detection of mechanical stimulus involve...	33	3	0.17	0.00068	0.282074545454545	BP
GO:0007249	I-kappaB kinase/NF-kappaB signaling	280	7	1.46	7e-04	0.282074545454545	BP
GO:0034142	toll-like receptor 4 signaling pathway	77	4	0.4	0.00072	0.282074545454545	BP
GO:1990502	dense core granule maturation	8	2	0.04	0.00074	0.282074545454545	BP
GO:0006686	sphingomyelin biosynthetic process	36	3	0.19	0.00088	0.322974324324324	BP
GO:0072205	metanephric collecting duct development	9	2	0.05	0.00095	0.322974324324324	BP
GO:0048050	post-embryonic eye morphogenesis	9	2	0.05	0.00095	0.322974324324324	BP
GO:0086036	regulation of cardiac muscle cell membra...	37	3	0.19	0.00095	0.322974324324324	BP
GO:1903779	regulation of cardiac conduction	38	3	0.2	0.00103	0.340957105263158	BP
GO:0006904	vesicle docking involved in exocytosis	86	4	0.45	0.00109	0.34906725	BP
GO:0010745	negative regulation of macrophage derive...	39	3	0.2	0.00111	0.34906725	BP
GO:2000121	regulation of removal of superoxide radi...	10	2	0.05	0.00119	0.3594	BP
GO:0070427	nucleotide-binding oligomerization domai...	40	3	0.21	0.0012	0.3594	BP
GO:0070431	nucleotide-binding oligomerization domai...	41	3	0.21	0.00129	0.37737	BP
GO:0035332	positive regulation of hippo signaling	11	2	0.06	0.00145	0.405323333333333	BP
GO:0140576	ascorbate homeostasis	11	2	0.06	0.00145	0.405323333333333	BP
GO:0071786	endoplasmic reticulum tubular network or...	44	3	0.23	0.00158	0.432061304347826	BP
GO:0007253	cytoplasmic sequestering of NF-kappaB	46	3	0.24	0.0018	0.452844	BP
GO:0032957	inositol trisphosphate metabolic process	46	3	0.24	0.0018	0.452844	BP
GO:0090128	regulation of synapse maturation	46	3	0.24	0.0018	0.452844	BP
GO:0010888	negative regulation of lipid storage	46	3	0.24	0.0018	0.452844	BP
GO:0046173	polyol biosynthetic process	273	9	1.43	0.00197	0.485894705882353	BP
GO:0071896	protein localization to adherens junctio...	13	2	0.07	0.00204	0.493483846153846	BP
GO:0001881	receptor recycling	171	5	0.89	0.00209	0.494011636363636	BP
GO:1903358	regulation of Golgi organization	49	3	0.26	0.00216	0.494011636363636	BP
GO:0032801	receptor catabolic process	49	3	0.26	0.00216	0.494011636363636	BP
GO:0046519	sphingoid metabolic process	50	3	0.26	0.00229	0.505292033898305	BP
GO:0007267	cell-cell signaling	2976	32	15.55	0.00231	0.505292033898305	BP
