term	pval	ontology	fg	oe	symbol	size
GO:0002181 | cytoplasmic translation	1.9e-26	BP	65	7.10382513661202	20	0.922763383851141
GO:0003735 | structural constituent of ribosome	1.9e-26	MF	60	5.39083557951482	20	0.855368976552771
GO:0022625 | cytosolic large ribosomal subunit	3.5e-26	CC	37	9.97304582210243	20	0.999413735372868
GO:0140242 | translation at postsynapse	9.9e-21	BP	31	8.98550724637681	20	0.976495058236855
GO:0140236 | translation at presynapse	3.7e-20	BP	30	9.03614457831325	20	0.977743918935641
GO:0022627 | cytosolic small ribosomal subunit	1.9e-14	CC	23	7.87671232876712	20	0.946754975993881
GO:0005654 | nucleoplasm	7.6e-14	CC	246	1.60847391133778	20	0.454328098680313
GO:0042788 | polysomal ribosome	5.7e-13	CC	19	8.71559633027523	20	0.969689180793632
GO:0005634 | nucleus	1e-12	CC	444	1.60080761465244	20	0.452038871631942
LSM	2.15587946213093e-12	Pfam	14	13518.3125	20	2.03246709240719
Proteasome	5.85067624007548e-12	Pfam	13	14345.9642857143	20	2.03880596068493
GO:0046540 | U4/U6 x U5 tri-snRNP complex	5.9e-11	CC	19	6.76156583629893	20	0.911069306390984
GO:0003723 | RNA binding	1.5e-09	MF	150	2.67809319764328	20	0.654083852718396
GO:0005730 | nucleolus	1.5e-09	CC	99	2.07939508506616	20	0.563859036571233
RRM_1	2.86432027872677e-09	Pfam	25	4244.36813186813	20	1.90468187502448
GO:0000387 | spliceosomal snRNP assembly	5.8e-09	BP	16	6.27450980392157	20	0.893073234523334
GO:0071005 | U2-type precatalytic spliceosome	1.5e-08	CC	19	4.89690721649485	20	0.83061535945263
GO:0005844 | polysome	3.5e-08	CC	34	7.14285714285714	20	0.924051927286428
GO:0140513 | nuclear protein-containing complex	7.8e-08	CC	149	2.20023626698169	20	0.585208782380593
GO:0005686 | U2 snRNP	8.1e-08	CC	12	7.31707317073171	20	0.929697476601893
GO:0006364 | rRNA processing	2.4e-07	BP	51	3.23809523809524	20	0.714345587214142
GO:0005687 | U4 snRNP	2.4e-07	CC	8	11.9402985074627	20	1.03779342081703
Proteasome_A_N	2.78607956450046e-07	Pfam	7	15449.5	20	2.04668376372507
GO:0071013 | catalytic step 2 spliceosome	3.3e-07	CC	30	4.78468899521531	20	0.824532421369194
GO:0005689 | U12-type spliceosomal complex	5.2e-07	CC	12	6.21761658031088	20	0.890855733011721
GO:0000932 | P-body	5.7e-07	CC	17	4.29292929292929	20	0.795458192146364
GO:0035278 | miRNA mediated inhibition of translation	6.3e-07	BP	8	10.6666666666667	20	1.0139175132131
GST_N_3	6.83446205724612e-07	Pfam	9	9117.73770491803	20	1.98994650542479
GO:0071007 | U2-type catalytic step 2 spliceosome	8.4e-07	CC	13	5.43933054393305	20	0.857639464669566
GO:0031369 | translation initiation factor binding	1e-06	MF	12	5.85365853658537	20	0.876029328842289
GO:0034709 | methylosome	1e-06	CC	8	10	20	1
GO:0005688 | U6 snRNP	1.1e-06	CC	7	12.280701754386	20	1.04365855735569
GO:0120115 | Lsm2-8 complex	1.1e-06	CC	7	12.280701754386	20	1.04365855735569
GO:0005845 | mRNA cap binding complex	1.2e-06	CC	8	9.75609756097561	20	0.994623614543827
GO:0019773 | proteasome core complex, alpha-subunit c...	1.4e-06	CC	7	11.864406779661	20	1.03645840648437
GO:0005685 | U1 snRNP	3.7e-06	CC	9	7.25806451612903	20	0.927804302790782
GO:0000340 | RNA 7-methylguanosine cap binding	4.6e-06	MF	8	8.33333333333333	20	0.959593014747594
GO:0034715 | pICln-Sm protein complex	6.2e-06	CC	6	12.5	20	1.04733471870652
