annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
LSM	37	64	1291	61798	2.04298049849705e-45	1.48524682240736e-42
Proteasome	23	56	1291	61798	3.09824210060488e-24	1.12621100356987e-21
Proteasome_A_N	14	28	1291	61798	8.59388583874694e-17	2.08258500158968e-14
RRM_1	38	364	1291	61798	6.78100725297329e-16	1.23244806822789e-13
Cpn60_TCP1	12	53	1291	61798	7.96101663198545e-10	1.15753181829068e-07
Pro_isomerase	9	53	1291	61798	1.43052481327996e-06	0.000173331923209088
CBFD_NFYB_HMF	6	24	1291	61798	8.01021477389366e-06	0.000727928267577586
Ribosomal_L7Ae	6	24	1291	61798	8.01021477389366e-06	0.000727928267577586
LZ3wCH	4	8	1291	61798	1.24099358405899e-05	0.00082018394146444
NAC	4	8	1291	61798	1.24099358405899e-05	0.00082018394146444
NTF2	4	8	1291	61798	1.24099358405899e-05	0.00082018394146444
Clathrin_lg_ch	3	4	1291	61798	3.58165726205139e-05	0.00153168519383021
Ctf8	3	4	1291	61798	3.58165726205139e-05	0.00153168519383021
Metallophos_2	3	4	1291	61798	3.58165726205139e-05	0.00153168519383021
NUDIX_2	3	4	1291	61798	3.58165726205139e-05	0.00153168519383021
PAC4	3	4	1291	61798	3.58165726205139e-05	0.00153168519383021
Prp19	3	4	1291	61798	3.58165726205139e-05	0.00153168519383021
CSN8_PSD8_EIF3K	4	12	1291	61798	8.20732123377293e-05	0.00278609012830071
DNA_pol_E_B	4	12	1291	61798	8.20732123377293e-05	0.00278609012830071
HMG_box	8	66	1291	61798	6.97379563614226e-05	0.00278609012830071
Mago_nashi	3	5	1291	61798	8.81431539902563e-05	0.00278609012830071
SIMPL	3	5	1291	61798	8.81431539902563e-05	0.00278609012830071
XPG_I	4	12	1291	61798	8.20732123377293e-05	0.00278609012830071
XPG_N	4	13	1291	61798	0.000116586022904493	0.00353158494381526
PCI	7	56	1291	61798	0.000162319742819812	0.00453870973192321
Prefoldin	4	14	1291	61798	0.00016051809084604	0.00453870973192321
Prefoldin_2	4	15	1291	61798	0.000215266917255404	0.00558925174445281
Sld5	4	15	1291	61798	0.000215266917255404	0.00558925174445281
E2F_TDP	4	16	1291	61798	0.000282277361116596	0.00707640143212983
DUF1761	3	7	1291	61798	0.000298956141404786	0.00724470382670931
MitMem_reg	4	17	1291	61798	0.000363033703917617	0.00851372589510026
JAB	6	46	1291	61798	0.000376925486734847	0.00856327590175731
DEK_C	3	8	1291	61798	0.000470883864743304	0.00948980076522953
EF1_GNE	3	8	1291	61798	0.000470883864743304	0.00948980076522953
NOP5NT	3	8	1291	61798	0.000470883864743304	0.00948980076522953
PPP1R35_C	2	2	1291	61798	0.000436088004047068	0.00948980076522953
ubiquitin	8	87	1291	61798	0.000482974729454598	0.00948980076522953
Histone	5	33	1291	61798	0.00057616737158352	0.0110229915563479
Clat_adaptor_s	5	34	1291	61798	0.000663960451873196	0.012329608475719
eIF-1a	3	9	1291	61798	0.000695342431230373	0.012329608475719
Rad60-SLD	3	9	1291	61798	0.000695342431230373	0.012329608475719
Acetyltransf_13	2	4	1291	61798	0.00254432609097728	0.0156756361706821
ANAPC1	2	4	1291	61798	0.00254432609097728	0.0156756361706821
APC1_C	2	3	1291	61798	0.0012900713317989	0.0156756361706821
API5	2	4	1291	61798	0.00254432609097728	0.0156756361706821
ASF1_hist_chap	2	4	1291	61798	0.00254432609097728	0.0156756361706821
ATP-cone	2	4	1291	61798	0.00254432609097728	0.0156756361706821
CAF1A	2	4	1291	61798	0.00254432609097728	0.0156756361706821
