GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	402	55	4.5	NA	NA	BP
GO:0006890	retrograde vesicle-mediated transport, G...	133	26	1.49	7.4e-25	9.30772e-21	BP
GO:0006891	intra-Golgi vesicle-mediated transport	95	15	1.06	2e-13	1.2578e-09	BP
GO:0006486	protein glycosylation	575	43	6.44	9.1e-13	3.81532666666667e-09	BP
GO:0030311	poly-N-acetyllactosamine biosynthetic pr...	99	14	1.11	6e-12	1.8867e-08	BP
GO:0090110	COPII-coated vesicle cargo loading	30	9	0.34	2.9e-11	7.29524e-08	BP
GO:0006048	UDP-N-acetylglucosamine biosynthetic pro...	16	7	0.18	2.2e-10	4.61193333333333e-07	BP
GO:0034975	protein folding in endoplasmic reticulum	19	7	0.21	9.3e-10	1.67107714285714e-06	BP
GO:1904442	negative regulation of thyroid gland epi...	4	4	0.04	1.5e-08	1.57225e-05	BP
GO:1903697	negative regulation of microvillus assem...	4	4	0.04	1.5e-08	1.57225e-05	BP
GO:1990792	cellular response to glial cell derived ...	4	4	0.04	1.5e-08	1.57225e-05	BP
GO:0021858	GABAergic neuron differentiation in basa...	4	4	0.04	1.5e-08	1.57225e-05	BP
GO:0060480	lung goblet cell differentiation	4	4	0.04	1.5e-08	1.57225e-05	BP
GO:0018242	protein O-linked glycosylation via serin...	13	5	0.15	2e-07	0.00018867	BP
GO:0006621	protein retention in ER lumen	24	6	0.27	2.1e-07	0.00018867	BP
GO:1903896	positive regulation of IRE1-mediated unf...	8	4	0.09	1e-06	0.000698777777777778	BP
GO:1903899	positive regulation of PERK-mediated unf...	8	4	0.09	1e-06	0.000698777777777778	BP
GO:1904425	negative regulation of GTP binding	8	4	0.09	1e-06	0.000698777777777778	BP
GO:2000821	regulation of grooming behavior	8	4	0.09	1e-06	0.000698777777777778	BP
GO:0001967	suckling behavior	11	4	0.12	4.8e-06	0.00288245833333333	BP
GO:0006542	glutamine biosynthetic process	4	3	0.04	5.5e-06	0.00288245833333333	BP
GO:0106272	protein localization to ERGIC	4	3	0.04	5.5e-06	0.00288245833333333	BP
GO:0106273	cytosol to ERGIC protein transport	4	3	0.04	5.5e-06	0.00288245833333333	BP
GO:0090073	positive regulation of protein homodimer...	4	3	0.04	5.5e-06	0.00288245833333333	BP
GO:0021521	ventral spinal cord interneuron specific...	4	3	0.04	5.5e-06	0.00288245833333333	BP
GO:0035964	COPI-coated vesicle budding	12	4	0.13	7.1e-06	0.00330754814814815	BP
GO:0006041	glucosamine metabolic process	12	4	0.13	7.1e-06	0.00330754814814815	BP
GO:0018243	protein O-linked glycosylation via threo...	12	4	0.13	7.1e-06	0.00330754814814815	BP
GO:0050766	positive regulation of phagocytosis	93	8	1.04	1e-05	0.00449214285714286	BP
GO:0098629	trans-Golgi network membrane organizatio...	5	3	0.06	1.4e-05	0.00568038709677419	BP
GO:0030026	cellular manganese ion homeostasis	5	3	0.06	1.4e-05	0.00568038709677419	BP
GO:0098962	regulation of postsynaptic neurotransmit...	14	4	0.16	1.4e-05	0.00568038709677419	BP
GO:1903078	positive regulation of protein localizat...	89	10	1	2.2e-05	0.008647375	BP
GO:0048280	vesicle fusion with Golgi apparatus	31	5	0.35	2.3e-05	0.00876648484848485	BP
GO:1990440	positive regulation of transcription fro...	17	4	0.19	3.3e-05	0.0118592571428571	BP
GO:0061623	glycolytic process from galactose	17	4	0.19	3.3e-05	0.0118592571428571	BP
GO:0032119	sequestering of zinc ion	7	3	0.08	4.7e-05	0.0164212777777778	BP
GO:0006002	fructose 6-phosphate metabolic process	20	4	0.22	6.5e-05	0.0220964864864865	BP
GO:0032468	Golgi calcium ion homeostasis	8	3	0.09	7.5e-05	0.0224607142857143	BP
GO:0032472	Golgi calcium ion transport	8	3	0.09	7.5e-05	0.0224607142857143	BP
GO:1904457	positive regulation of neuronal action p...	8	3	0.09	7.5e-05	0.0224607142857143	BP
GO:0019676	ammonia assimilation cycle	8	3	0.09	7.5e-05	0.0224607142857143	BP
GO:1905069	allantois development	8	3	0.09	7.5e-05	0.0224607142857143	BP
GO:0033499	galactose catabolic process via UDP-gala...	21	4	0.24	7.9e-05	0.0231084186046512	BP
