annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
7tm_1	83	2957	332	61798	4.30251148083379e-36	4.60368728449215e-34
7tm_3	20	375	332	61798	3.00428180515108e-14	1.60729076575583e-12
ANF_receptor	17	449	332	61798	5.38621228936537e-10	1.92108238320698e-08
Homeodomain	10	128	332	61798	2.26598188488801e-09	6.06150154207543e-08
LRR_8	17	539	332	61798	8.20459788840885e-09	1.75578394811949e-07
SIX1_SD	4	7	332	61798	2.82712530452213e-08	5.04170679306447e-07
DAN	4	8	332	61798	5.63025242702519e-08	8.60624299559565e-07
CCDC74_C	3	4	332	61798	6.12209697234183e-07	8.1883047005072e-06
7tm_2	11	348	332	61798	3.54965780672593e-06	4.22014872577416e-05
CCDC92	3	7	332	61798	5.29295295598097e-06	5.66345966289964e-05
Astacin	4	29	332	61798	1.74739776305891e-05	0.000169974146043003
Lectin_C	7	195	332	61798	9.76690675126281e-05	0.000870882518654267
DUF773	2	4	332	61798	0.000171426677433251	0.0014109734219506
NCD3G	5	111	332	61798	0.000349389335689878	0.00267033277991549
IgGFc_binding	4	71	332	61798	0.000598671871277281	0.00427052601511127
Na_Ca_ex	3	37	332	61798	0.00104272697888155	0.00697323667127036
Laminin_G_3	3	44	332	61798	0.00172870998361801	0.0108807040145369
Cys_knot	1	1	332	61798	0.005372342146995	0.0319355894293592
GAF	2	23	332	61798	0.00675710015922497	0.0361504858518536
LRR_5	3	70	332	61798	0.00644854841893975	0.0361504858518536
GPS	5	223	332	61798	0.00737207456941168	0.0375624751870024
SMP_LBD	1	2	332	61798	0.0107159087021227	0.0521182832330513
DUF3504	1	3	332	61798	0.0160308533314005	0.0745783176721677
DUF21	1	4	332	61798	0.0213173288827235	0.0786535927741868
DUF4517	1	4	332	61798	0.0213173288827235	0.0786535927741868
GAIN	3	102	332	61798	0.0178459994564302	0.0786535927741868
Lebercilin	1	4	332	61798	0.0213173288827235	0.0786535927741868
SPO22	1	4	332	61798	0.0213173288827235	0.0786535927741868
TPR_10	5	289	332	61798	0.0205339408660526	0.0786535927741868
RasGEF	2	43	332	61798	0.0224784267516094	0.0801730554140734
CD20	2	45	332	61798	0.0244721660109312	0.0844684439732142
Kunitz_BPTI	1	5	332	61798	0.0265754873901989	0.0861690045682206
PDEase_I	2	47	332	61798	0.0265353455163713	0.0861690045682206
OAR	1	6	332	61798	0.0318054800784721	0.100093716717544
Scramblase	2	57	332	61798	0.0378340665104282	0.112451253239328
UDG	1	7	332	61798	0.0370074573670194	0.112451253239328
Jnk-SapK_ap_N	1	8	332	61798	0.0421815688744261	0.118774417620095
PAH	1	8	332	61798	0.0421815688744261	0.118774417620095
Clathrin_H_link	1	10	332	61798	0.0524467890411684	0.143892472497565
Alk_phosphatase	1	12	332	61798	0.0626023216704897	0.145618443885704
DIX	1	12	332	61798	0.0626023216704897	0.145618443885704
FERM_M	2	71	332	61798	0.0561159180779343	0.145618443885704
Hydrolase_6	1	12	332	61798	0.0626023216704897	0.145618443885704
Prominin	1	12	332	61798	0.0626023216704897	0.145618443885704
SAC3_GANP	1	12	332	61798	0.0626023216704897	0.145618443885704
TSNAXIP1_N	1	11	332	61798	0.0575381929713541	0.145618443885704
DUF4440	1	13	332	61798	0.0676393208160145	0.150779319319032
Hydrolase_like	1	13	332	61798	0.0676393208160145	0.150779319319032
Sld5	1	15	332	61798	0.0776325092815042	0.169524050880019
Hormone_recep	1	18	332	61798	0.0924224178794265	0.196435154114259
IU_nuc_hydro	1	19	332	61798	0.0972996557762218	0.196435154114259
Rap_GAP	1	19	332	61798	0.0972996557762218	0.196435154114259
zf-C4	1	19	332	61798	0.0972996557762218	0.196435154114259
MyTH4	1	20	332	61798	0.102150762370409	0.198729664975159
PAP2	1	20	332	61798	0.102150762370409	0.198729664975159
RhoGEF	2	104	332	61798	0.108003779199573	0.202743936392181
TPR_7	2	103	332	61798	0.106287947023745	0.202743936392181
Kelch_6	1	22	332	61798	0.11177513925067	0.206205860341753
fn3	3	219	332	61798	0.114677303752383	0.207845157559744
RasGEF_N	1	23	332	61798	0.1165486864821	0.207845157559744
TPR_12	6	630	332	61798	0.125925606690367	0.220885900260151
Guanylate_cyc	2	116	332	61798	0.129134420672223	0.222752091558899
Ig_3	3	233	332	61798	0.131153100637482	0.222752091558899
HNOB	1	28	332	61798	0.140035483403413	0.234121823815081
LRR_1	1	32	332	61798	0.158375872835624	0.256760884748664
PID	1	32	332	61798	0.158375872835624	0.256760884748664
PP2C	1	36	332	61798	0.176326271406955	0.281595687172301
CBS	1	37	332	61798	0.180753907783576	0.284421590188862
Kelch_4	1	39	332	61798	0.189538119315114	0.293921431401699
IBN_N	1	45	332	61798	0.215331308513704	0.329149285870947
Myosin_head	1	51	332	61798	0.240306015688556	0.362151319417964
Asp	1	53	332	61798	0.248453532906734	0.369229555847507
Roc	1	54	332	61798	0.252494563388149	0.370094770993588
C2	2	196	332	61798	0.283801382896511	0.394722410386042
EF-hand_5	1	61	332	61798	0.280181644261706	0.394722410386042
LIM	1	62	332	61798	0.284052575698367	0.394722410386042
zf-C3HC4_3	1	61	332	61798	0.280181644261706	0.394722410386042
Peptidase_S10	1	63	332	61798	0.287902752983389	0.394943520118239
HMG_box	1	66	332	61798	0.299329866373842	0.405421464582293
DEAD	2	211	332	61798	0.313450553829629	0.419240115747129
HNOBA	1	75	332	61798	0.332525853086527	0.439262546669856
EF-hand_7	2	235	332	61798	0.360262825021077	0.464435208159701
Kelch_1	1	82	332	61798	0.357256907052136	0.464435208159701
IQ	1	87	332	61798	0.374360569799571	0.476864059149454
LRR_6	1	103	332	61798	0.426101439735926	0.530149465717954
TPR_8	2	269	332	61798	0.424391322855494	0.530149465717954
Ank_5	1	113	332	61798	0.456249619226126	0.548524823114556
UCH	1	112	332	61798	0.453307266218711	0.548524823114556
UQ_con	1	113	332	61798	0.456249619226126	0.548524823114556
Ank_2	4	653	332	61798	0.465994420155707	0.550123436232712
HLH	1	117	332	61798	0.467861987824082	0.550123436232712
Ion_trans	2	303	332	61798	0.485039524298006	0.558056226880502
Sel1	1	123	332	61798	0.484818566548512	0.558056226880502
CH	1	126	332	61798	0.493093746718177	0.561287562753669
Abhydrolase_1	1	130	332	61798	0.503921533277791	0.567574779586565
Helicase_C	2	320	332	61798	0.513847480773502	0.572725837945466
Death	2	330	332	61798	0.53029063279106	0.5849597701922
Ank	1	146	332	61798	0.544975076665026	0.595023808195488
COR	1	151	332	61798	0.557095914917689	0.602113766628209
APAF1_C	1	177	332	61798	0.61512321660482	0.651665189868473
NB-ARC	1	175	332	61798	0.610942302085375	0.651665189868473
PH	1	205	332	61798	0.669163439118694	0.701965568487258
Pkinase	3	702	332	61798	0.728884354238864	0.757190542752994
adh_short	1	250	332	61798	0.74061298483932	0.761976820940454
Ras	1	291	332	61798	0.792217977106795	0.807307843337401
EGF_CA	1	309	332	61798	0.81150844246883	0.819164182492121
WD40	1	746	332	61798	0.982456245717896	0.982456245717896
