annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
Kinesin	27	136	514	61798	3.51439368497448e-29	6.99364343309921e-27
Cyclin_C	11	38	514	61798	1.16429849477573e-14	1.15847700230185e-12
Anillin	6	8	514	61798	8.87839182373822e-12	5.88933324307969e-10
Cyclin_N	10	68	514	61798	2.7431333226637e-10	1.36470882802519e-08
CCCAP	5	8	514	61798	2.14168276145894e-09	7.1032478255055e-08
Pkinase	25	702	514	61798	1.88704630261168e-09	7.1032478255055e-08
SMC_hinge	5	14	514	61798	7.34684654227464e-08	2.08860351701808e-06
RhoGAP	9	97	514	61798	1.32817708843444e-07	3.30384050748067e-06
SMC_N	6	32	514	61798	2.42562477975096e-07	5.36332590189379e-06
ADIP	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
ALMS_motif	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
BAF	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
CCSAP	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
CENP-C_C	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
CEP19	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
CEP63	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
CKS	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
CLASP_N	4	11	514	61798	1.49041416636692e-06	1.16036565440153e-05
Cnd1_N	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
Cnd2	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
Cnd3	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
DNA_gyraseB	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
DNA_topoisoIV	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
DUF4485	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
GTSE1_N	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
HMMR_C	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
INCENP_ARK-bind	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
MAP65_ASE1	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
Microtub_bind	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
MIIP	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
Mito_fiss_reg	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
MKLP1_Arf_bdg	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
POLO_box	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
PP1_bind	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
Spindle_Spc25	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
TACC_C	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
TOPRIM_C	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
TPX2	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
TPX2_importin	3	4	514	61798	2.27408344329948e-06	1.16036565440153e-05
Rad52_Rad22	3	6	514	61798	1.12299016665064e-05	5.58687607908693e-05
RhoGEF	7	104	514	61798	2.8020544729359e-05	0.000136002156125426
Cnd1	3	8	514	61798	3.10554567414367e-05	0.000137334130923242
ERG4_ERG24	3	8	514	61798	3.10554567414367e-05	0.000137334130923242
GKAP	3	8	514	61798	3.10554567414367e-05	0.000137334130923242
SprT-like	3	8	514	61798	3.10554567414367e-05	0.000137334130923242
UQ_con	7	113	514	61798	4.77766132555996e-05	0.000206685783431833
NUSAP	2	2	514	61798	6.90460235038874e-05	0.000292343801644119
KA1	3	11	514	61798	8.98148170610022e-05	0.000372357262398738
Toprim	3	12	514	61798	0.000119012793505733	0.000473670918152816
zf-C2HC_2	3	12	514	61798	0.000119012793505733	0.000473670918152816
Arm	5	62	514	61798	0.000170964504020033	0.000667096790195815
FAM72	2	3	514	61798	0.000205993932896477	0.000694793095701676
FAM92	2	3	514	61798	0.000205993932896477	0.000694793095701676
HMMR_N	2	3	514	61798	0.000205993932896477	0.000694793095701676
Mad3_BUB1_I	2	3	514	61798	0.000205993932896477	0.000694793095701676
MSC	2	3	514	61798	0.000205993932896477	0.000694793095701676
Nbl1_Borealin_N	2	3	514	61798	0.000205993932896477	0.000694793095701676
Spo12	2	3	514	61798	0.000205993932896477	0.000694793095701676
TMEM138	2	3	514	61798	0.000205993932896477	0.000694793095701676
ANAPC4_WD40	5	69	514	61798	0.000283103860508604	0.000938961137353537
BORA_N	2	4	514	61798	0.000409713782349655	0.00108710723583442
C2-C2_1	2	4	514	61798	0.000409713782349655	0.00108710723583442
CCDC144C	2	4	514	61798	0.000409713782349655	0.00108710723583442
CDKN3	2	4	514	61798	0.000409713782349655	0.00108710723583442
DUF4498	2	4	514	61798	0.000409713782349655	0.00108710723583442
GDWWSH	2	4	514	61798	0.000409713782349655	0.00108710723583442
HYLS1_C	2	4	514	61798	0.000409713782349655	0.00108710723583442
MDM1	2	4	514	61798	0.000409713782349655	0.00108710723583442
Mito_morph_reg	2	4	514	61798	0.000409713782349655	0.00108710723583442
Nuf2	2	4	514	61798	0.000409713782349655	0.00108710723583442
PH	8	205	514	61798	0.000350721207155836	0.00108710723583442
RPGR1_C	2	4	514	61798	0.000409713782349655	0.00108710723583442
TMEM237	2	4	514	61798	0.000409713782349655	0.00108710723583442
Tudor_3	2	4	514	61798	0.000409713782349655	0.00108710723583442
zf-ANAPC11	2	4	514	61798	0.000409713782349655	0.00108710723583442
LEM	3	18	514	61798	0.000425329925302885	0.00111369283072729
Ndc80_HEC	2	5	514	61798	0.000679089661651628	0.00175504990478797
MAPEG	3	24	514	61798	0.00101660269393767	0.00259364020632815
Linker_histone	2	7	514	61798	0.00141041512125212	0.00355281783707811
HATPase_c	3	28	514	61798	0.00160537723869943	0.00399337588126482
ANAPC3	2	8	514	61798	0.00187020167608901	0.0043275596923455
BIR	2	8	514	61798	0.00187020167608901	0.0043275596923455
CNH	3	29	514	61798	0.00177962169437378	0.0043275596923455
E2F_CC-MB	2	8	514	61798	0.00187020167608901	0.0043275596923455
FOP_dimer	2	8	514	61798	0.00187020167608901	0.0043275596923455
GIY-YIG	2	8	514	61798	0.00187020167608901	0.0043275596923455
RabGAP-TBC	5	106	514	61798	0.00198665592549019	0.00454418999048906
F-box-like	5	110	514	61798	0.00233543770784198	0.0052812739075063
SET	4	68	514	61798	0.00253047892804767	0.00565803715372457
DUF667	2	11	514	61798	0.00361336046274569	0.0077318143235096
HHH_3	2	11	514	61798	0.00361336046274569	0.0077318143235096
Lung_7-TM_R	2	11	514	61798	0.00361336046274569	0.0077318143235096
Rhodanese	3	37	514	61798	0.00360270437609596	0.0077318143235096
B9-C2	2	12	514	61798	0.00431222999659369	0.00912908265236323
IBB	2	14	514	61798	0.00588062014680398	0.0123183516759368
BRCT	3	47	514	61798	0.00707193747868305	0.0146595370651867
Arm_3	2	16	514	61798	0.00766996535199102	0.015574725561696
E2F_TDP	2	16	514	61798	0.00766996535199102	0.015574725561696
