term	pval	ontology	fg	oe	symbol	size
GO:0072546 | EMC complex	3.8e-20	CC	13	56.5217391304348	20	1.32371277711188
GO:0045050 | protein insertion into ER membrane by st...	4.3e-20	BP	13	54.1666666666667	20	1.31671261503611
GO:0071816 | tail-anchored membrane protein insertion...	1.2e-17	BP	13	38.2352941176471	20	1.25796042674823
GO:0032977 | membrane insertase activity	1.7e-17	MF	13	37.1428571428571	20	1.25294665008394
GO:0008540 | proteasome regulatory particle, base sub...	2.7e-14	CC	11	32.3529411764706	20	1.2287854849875
GO:0036402 | proteasome-activating activity	4.5e-14	MF	9	52.9411764705882	20	1.31293320015188
GO:0051123 | RNA polymerase II preinitiation complex ...	2.8e-12	BP	17	12.5925925925926	20	1.04886374371663
GO:0070847 | core mediator complex	3e-12	CC	12	18.1818181818182	20	1.12233564966357
GO:0016592 | mediator complex	5.1e-11	CC	12	14.2857142857143	20	1.07466364969964
GO:0045944 | positive regulation of transcription by ...	9.7e-11	BP	51	4.10958904109589	20	0.78345286686514
AAA_lid_3	1.22096816275803e-10	Pfam	10	7103.2183908046	20	1.96251246299359
GO:0032968 | positive regulation of transcription elo...	1.5e-10	BP	13	11.4035087719298	20	1.02812377706693
GO:0006338 | chromatin remodeling	2.1e-10	BP	20	5.98802395209581	20	0.881636846355923
GO:0035098 | ESC/E(Z) complex	2.4e-10	CC	8	29.6296296296296	20	1.21314723872783
GO:1902459 | positive regulation of stem cell populat...	4.8e-10	BP	10	16.6666666666667	20	1.10537267453848
Prot_ATP_ID_OB	7.12434825307289e-10	Pfam	6	20599.3333333333	20	2.07698174409505
GO:0060261 | positive regulation of transcription ini...	2.3e-09	BP	16	8.83977900552486	20	0.972852202437112
GO:0005654 | nucleoplasm	2.7e-09	CC	108	2.02209324096611	20	0.552992927186065
Bromodomain	3.0753875649053e-09	Pfam	8	8104.65573770492	20	1.97705199021294
GO:0035019 | somatic stem cell population maintenance	4.5e-09	BP	11	11.2244897959184	20	1.02477637046613
RRM_1	6.46924477887186e-09	Pfam	15	2546.62087912088	20	1.84552547948556
AAA	3.30027777718183e-08	Pfam	10	4012.85714285714	20	1.89827650756873
GO:0017025 | TBP-class protein binding	3.7e-08	MF	8	16	20	1.09732400987854
GO:0005677 | chromatin silencing complex	2.8e-07	CC	6	22.2222222222222	20	1.16051173463462
GO:0016590 | ACF complex	3.4e-07	CC	4	57.1428571428571	20	1.3255044139171
GO:0016580 | Sin3 complex	8.1e-07	CC	6	18.75	20	1.12827358032692
HAND	8.13853780216058e-07	Pfam	3	46348.5	20	2.16010085028813
Memo	8.13853780216058e-07	Pfam	3	46348.5	20	2.16010085028813
SLIDE	8.13853780216058e-07	Pfam	3	46348.5	20	2.16010085028813
TMEM33_Pom33	8.13853780216058e-07	Pfam	3	46348.5	20	2.16010085028813
GO:0000978 | RNA polymerase II cis-regulatory region ...	1.1e-06	MF	20	3.55871886120996	20	0.742491535369206
GO:0070876 | SOSS complex	1.3e-06	CC	4	44.4444444444444	20	1.28367343272681
GO:0035984 | cellular response to trichostatin A	1.4e-06	BP	4	44.4444444444444	20	1.28367343272681
PHD	1.45039929190025e-06	Pfam	7	4651.4623655914	20	1.9150951703464
GO:1902455 | negative regulation of stem cell populat...	1.5e-06	BP	6	16.6666666666667	20	1.10537267453848
GO:0090535 | WICH complex	1.5e-06	CC	3	100	20	1.4142135623731
GO:0090536 | NoRC complex	1.5e-06	CC	3	100	20	1.4142135623731
GO:0060789 | hair follicle placode formation	1.6e-06	BP	3	100	20	1.4142135623731
GO:1905213 | negative regulation of mitotic chromosom...	1.6e-06	BP	3	100	20	1.4142135623731
GO:0032194 | ubiquinone biosynthetic process via 3,4-...	1.6e-06	BP	3	100	20	1.4142135623731
GO:0071387 | cellular response to cortisol stimulus	1.6e-06	BP	3	100	20	1.4142135623731
GO:0009234 | menaquinone biosynthetic process	1.6e-06	BP	3	100	20	1.4142135623731
GO:0061198 | fungiform papilla formation	1.6e-06	BP	3	100	20	1.4142135623731
GO:0097150 | neuronal stem cell population maintenanc...	1.6e-06	BP	6	16.6666666666667	20	1.10537267453848
GO:0035851 | Krueppel-associated box domain binding	1.6e-06	MF	3	100	20	1.4142135623731
GO:0043161 | proteasome-mediated ubiquitin-dependent ...	4e-06	BP	26	3.45744680851064	20	0.733999664427155
GO:0005787 | signal peptidase complex	4.8e-06	CC	4	33.3333333333333	20	1.2340497337143
GO:0008623 | CHRAC	6.2e-06	CC	4	33.3333333333333	20	1.2340497337143
GO:1990841 | promoter-specific chromatin binding	7.8e-06	MF	9	6.81818181818182	20	0.913054531905666
GO:0070734 | histone H3-K27 methylation	1.2e-05	BP	6	22.2222222222222	20	1.16051173463462
GO:0016581 | NuRD complex	1.2e-05	CC	4	26.6666666666667	20	1.19413932699341
GO:0030512 | negative regulation of transforming grow...	1.6e-05	BP	8	7.27272727272727	20	0.928276522289408
GO:0005665 | RNA polymerase II, core complex	1.9e-05	CC	5	15.1515151515152	20	1.08648794952274
GO:0007289 | spermatid nucleus differentiation	2e-05	BP	5	15.1515151515152	20	1.08648794952274
GO:0016589 | NURF complex	2.1e-05	CC	3	50	20	1.30344543588752
GO:0031213 | RSF complex	2.1e-05	CC	3	50	20	1.30344543588752
GO:0042371 | vitamin K biosynthetic process	2.2e-05	BP	3	50	20	1.30344543588752
GO:1903896 | positive regulation of IRE1-mediated unf...	2.2e-05	BP	3	50	20	1.30344543588752
GO:1903899 | positive regulation of PERK-mediated unf...	2.2e-05	BP	3	50	20	1.30344543588752
GO:1902437 | positive regulation of male mating behav...	2.2e-05	BP	3	50	20	1.30344543588752
GO:0097067 | cellular response to thyroid hormone sti...	2.2e-05	BP	3	50	20	1.30344543588752
GO:0000183 | rDNA heterochromatin assembly	2.2e-05	BP	3	50	20	1.30344543588752
GO:0031208 | POZ domain binding	2.2e-05	MF	3	50	20	1.30344543588752
GO:1990829 | C-rich single-stranded DNA binding	2.2e-05	MF	3	50	20	1.30344543588752
GO:0070536 | protein K63-linked deubiquitination	2.7e-05	BP	6	10.3448275862069	20	1.00733472928352
GO:0001222 | transcription corepressor binding	3.2e-05	MF	6	10	20	1
GO:0035064 | methylated histone binding	3.4e-05	MF	7	7.86516853932584	20	0.946418529705195
GO:0006367 | transcription initiation from RNA polyme...	3.9e-05	BP	22	9.12863070539419	20	0.980002876652583
ING	4.32145613794912e-05	Pfam	3	15449.5	20	2.04668376372507
GO:0042659 | regulation of cell fate specification	4.5e-05	BP	4	20	20	1.14062701864544
HMG_box	4.65019846052483e-05	Pfam	5	4681.66666666667	20	1.91582892994597
UbiA	5.59327318755259e-05	Pfam	3	14261.0769230769	20	2.03817377140336
GO:0090261 | positive regulation of inclusion body as...	6.3e-05	BP	3	37.5	20	1.2546040282606
GO:0090571 | RNA polymerase II transcription represso...	7.6e-05	CC	4	17.3913043478261	20	1.11370200471687
GO:0003713 | transcription coactivator activity	8.9e-05	MF	16	4.65116279069767	20	0.817044392970416
GO:0008541 | proteasome regulatory particle, lid subc...	9.7e-05	CC	4	16.6666666666667	20	1.10537267453848
GO:0140658 | ATP-dependent chromatin remodeler activi...	1e-04	MF	5	10.8695652173913	20	1.01794507349584
GO:0106222 | long noncoding RNA binding	1e-04	MF	4	16	20	1.09732400987854
AMMECR1	0.000103960798407696	Pfam	2	41198.6666666667	20	2.14822791178406
DUF2012	0.000103960798407696	Pfam	2	41198.6666666667	20	2.14822791178406
MMgT	0.000103960798407696	Pfam	2	41198.6666666667	20	2.14822791178406
YAF2_RYBP	0.000103960798407696	Pfam	2	41198.6666666667	20	2.14822791178406
zf-RanBP	0.000156120949754595	Pfam	3	10299.6666666667	20	2.00320322724384
GO:0045740 | positive regulation of DNA replication	0.00016	BP	6	7.5	20	0.935447092780613
GO:0006465 | signal peptide processing	0.00016	BP	4	14.8148148148148	20	1.08198716589846
GO:0001842 | neural fold formation	0.00016	BP	2	100	20	1.4142135623731
GO:0090537 | CERF complex	0.00016	CC	2	100	20	1.4142135623731
GO:0090129 | positive regulation of synapse maturatio...	0.00017	BP	3	27.2727272727273	20	1.1982189155415
APS_kinase	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
ATP-sulfurylase	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
CCDC32	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
CDC37_C	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
CDC37_M	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
CDC37_N	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
DUF1077	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
Med21	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
Med6	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
NOPS	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
PUA_2	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
RPN6_C_helix	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
RPN6_N	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
Sep15_SelM	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
SOSSC	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
Topo_C_assoc	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
Topoisom_I	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
Topoisom_I_N	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
zf-C2H2_4	0.000207107743035176	Pfam	2	30899	20	2.11894889611803
GO:0051573 | negative regulation of histone H3-K9 met...	0.00021	BP	3	25	20	1.18234513094614
GO:1903371 | regulation of endoplasmic reticulum tubu...	0.00021	BP	3	25	20	1.18234513094614
GO:0003712 | transcription coregulator activity	0.00023	MF	26	4.26229508196721	20	0.793500795815638
GO:0010988 | regulation of low-density lipoprotein pa...	0.00025	BP	3	23.0769230769231	20	1.16755209837199
GO:0060297 | regulation of sarcomere organization	3e-04	BP	3	23.0769230769231	20	1.16755209837199
GO:0031593 | polyubiquitin modification-dependent pro...	3e-04	MF	5	8.62068965517241	20	0.967234206784004
GO:2000173 | negative regulation of branching morphog...	0.00032	BP	2	66.6666666666667	20	1.35052165511861
GO:0001193 | maintenance of transcriptional fidelity ...	0.00032	BP	2	66.6666666666667	20	1.35052165511861
GO:0010725 | regulation of primitive erythrocyte diff...	0.00032	BP	2	66.6666666666667	20	1.35052165511861
GO:1905599 | positive regulation of low-density lipop...	0.00032	BP	2	66.6666666666667	20	1.35052165511861
GO:0000103 | sulfate assimilation	0.00032	BP	2	66.6666666666667	20	1.35052165511861
GO:0045654 | positive regulation of megakaryocyte dif...	0.00032	BP	2	66.6666666666667	20	1.35052165511861
GO:0050428 | 3'-phosphoadenosine 5'-phosphosulfate bi...	0.00032	BP	2	66.6666666666667	20	1.35052165511861
GO:1990565 | HSP90-CDC37 chaperone complex	0.00032	CC	2	66.6666666666667	20	1.35052165511861
GO:0004020 | adenylylsulfate kinase activity	0.00033	MF	2	66.6666666666667	20	1.35052165511861
GO:0140682 | histone H3-di/monomethyl-lysine-4 FAD-de...	0.00033	MF	2	66.6666666666667	20	1.35052165511861
GO:0004781 | sulfate adenylyltransferase (ATP) activi...	0.00033	MF	2	66.6666666666667	20	1.35052165511861
GO:0061752 | telomeric repeat-containing RNA binding	0.00033	MF	2	66.6666666666667	20	1.35052165511861
GO:0016514 | SWI/SNF complex	0.00033	CC	4	12.1212121212121	20	1.04093518119529
RNA_POL_M_15KD	0.000343829106606844	Pfam	2	24719.2	20	2.09595668164963
PCI	0.000345042469055277	Pfam	4	4414.14285714286	20	1.90914807816092
GO:0050847 | progesterone receptor signaling pathway	0.00035	BP	3	21.4285714285714	20	1.15368679416964
GO:0060044 | negative regulation of cardiac muscle ce...	0.00035	BP	3	21.4285714285714	20	1.15368679416964
GO:0034739 | histone deacetylase activity (H4-K16 spe...	0.00036	MF	3	21.4285714285714	20	1.15368679416964
GO:0090311 | regulation of protein deacetylation	0.00037	BP	7	5.34351145038168	20	0.853127624894712
GO:0035925 | mRNA 3'-UTR AU-rich region binding	0.00038	MF	4	11.7647058823529	20	1.03468887801392
GO:0140252 | regulation protein catabolic process at ...	0.00041	BP	3	20	20	1.14062701864544
GO:0042531 | positive regulation of tyrosine phosphor...	0.00041	BP	3	20	20	1.14062701864544
KH_1	0.000421650414177575	Pfam	4	4189.69491525424	20	1.90320319454062
GO:0035861 | site of double-strand break	0.00045	CC	8	4.49438202247191	20	0.80787993209576
GO:0031490 | chromatin DNA binding	0.00046	MF	7	5.14705882352941	20	0.843539644381957
GO:0001228 | DNA-binding transcription activator acti...	0.00051	MF	10	3.6101083032491	20	0.746672773666987
GO:0005721 | pericentric heterochromatin	0.00051	CC	5	7.69230769230769	20	0.941305820492556
GO:0000932 | P-body	0.00051	CC	7	5.07246376811594	20	0.839773156044548
DBINO	0.000513726857246228	Pfam	2	20599.3333333333	20	2.07698174409505
Hist_deacetyl	0.000537996281015355	Pfam	3	6866.44444444444	20	1.95875774678352
GO:0014908 | myotube differentiation involved in skel...	0.00054	BP	2	50	20	1.30344543588752
GO:0015087 | cobalt ion transmembrane transporter act...	0.00054	MF	2	50	20	1.30344543588752
GO:0140288 | GBAF complex	0.00062	CC	3	17.6470588235294	20	1.11654481922643
GO:0031597 | cytosolic proteasome complex	0.00062	CC	3	17.6470588235294	20	1.11654481922643
GO:0070933 | histone H4 deacetylation	0.00063	BP	3	17.6470588235294	20	1.11654481922643
GO:0110016 | B-WICH complex	7e-04	CC	3	16.6666666666667	20	1.10537267453848
GO:0071565 | nBAF complex	7e-04	CC	3	16.6666666666667	20	1.10537267453848
SHS2_Rpb7-N	0.000716406471255033	Pfam	2	17656.5714285714	20	2.06080236210887
GO:0061000 | negative regulation of dendritic spine d...	0.00072	BP	3	16.6666666666667	20	1.10537267453848
GO:0005521 | lamin binding	0.00073	MF	3	16.6666666666667	20	1.10537267453848
GO:0030374 | nuclear receptor coactivator activity	0.00074	MF	5	7.04225352112676	20	0.920712580351188
GO:0000122 | negative regulation of transcription by ...	0.00076	BP	22	2.53456221198157	20	0.635533599147767
GO:0042475 | odontogenesis of dentin-containing tooth	0.00079	BP	4	9.75609756097561	20	0.994623614543827
GO:0045591 | positive regulation of regulatory T cell...	0.00092	BP	3	15.7894736842105	20	1.09469980075217
GO:2000010 | positive regulation of protein localizat...	0.00092	BP	3	15.7894736842105	20	1.09469980075217
GO:0031369 | translation initiation factor binding	0.00093	MF	5	6.75675675675676	20	0.910899711606631
ACBP	0.000951476905744764	Pfam	2	15449.5	20	2.04668376372507
EMC3_TMCO1	0.000951476905744764	Pfam	2	15449.5	20	2.04668376372507
Lectin_leg-like	0.000951476905744764	Pfam	2	15449.5	20	2.04668376372507
LisH	0.000951476905744764	Pfam	2	15449.5	20	2.04668376372507
GO:0061029 | eyelid development in camera-type eye	0.00102	BP	3	15	20	1.08447741288405
GO:2000273 | positive regulation of signaling recepto...	0.00102	BP	3	15	20	1.08447741288405
GO:0070932 | histone H3 deacetylation	0.00102	BP	3	15	20	1.08447741288405
GO:0033120 | positive regulation of RNA splicing	0.00103	BP	5	6.57894736842105	20	0.904519989859388
GO:2000819 | regulation of nucleotide-excision repair	0.00109	BP	4	8.88888888888889	20	0.974088023513593
GO:0070316 | regulation of G0 to G1 transition	0.00109	BP	4	8.88888888888889	20	0.974088023513593
GO:1902165 | regulation of intrinsic apoptotic signal...	0.0011	BP	4	28.5714285714286	20	1.20662005438735
GO:0004659 | prenyltransferase activity	0.00112	MF	4	8.88888888888889	20	0.974088023513593
GO:1990715 | mRNA CDS binding	0.00113	MF	2	40	20	1.26572508520925
GO:0000781 | chromosome, telomeric region	0.00113	CC	9	3.52941176470588	20	0.740069137990073
GO:0016887 | ATP hydrolysis activity	0.00118	MF	13	2.70833333333333	20	0.657800969086584
Peptidase_S24	0.00121855057146785	Pfam	2	13732.8888888889	20	2.03414893905251
GO:0010718 | positive regulation of epithelial to mes...	0.00123	BP	4	8.51063829787234	20	0.964345442977901
GO:0042382 | paraspeckles	0.00145	CC	2	33.3333333333333	20	1.2340497337143
GO:0051572 | negative regulation of histone H3-K4 met...	0.00148	BP	2	33.3333333333333	20	1.2340497337143
GO:0043426 | MRF binding	0.0015	MF	2	33.3333333333333	20	1.2340497337143
GO:0071564 | npBAF complex	0.0015	CC	3	13.0434782608696	20	1.05612187682202
EPL1	0.00151724330584686	Pfam	2	12359.6	20	2.02287034079987
GO:0032732 | positive regulation of interleukin-1 pro...	0.00169	BP	3	12.5	20	1.04733471870652
GO:0048714 | positive regulation of oligodendrocyte d...	0.00185	BP	3	12.5	20	1.04733471870652
GO:1902894 | negative regulation of pri-miRNA transcr...	0.00185	BP	3	12.5	20	1.04733471870652
GO:0045948 | positive regulation of translational ini...	0.00185	BP	3	12.5	20	1.04733471870652
GO:0010976 | positive regulation of neuron projection...	0.00202	BP	8	3.55555555555556	20	0.742231411946827
GO:0006325 | chromatin organization	0.00219	BP	31	4.39093484419263	20	0.801596527426653
GO:0031053 | primary miRNA processing	0.0022	BP	3	11.5384615384615	20	1.03060560193939
GO:0030433 | ubiquitin-dependent ERAD pathway	0.00231	BP	7	3.88888888888889	20	0.768000999290333
GO:0006283 | transcription-coupled nucleotide-excisio...	0.00258	BP	3	11.1111111111111	20	1.02262284864004
GO:0003917 | DNA topoisomerase type I (single strand ...	0.0029	MF	2	25	20	1.18234513094614
GO:0022624 | proteasome accessory complex	0.00295	CC	17	25.3731343283582	20	1.18506291760288
