	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10007	1	1	0	0	0	1	0
OG_10008	0	0	0	1	0	0	0
OG_10016	0	0	1	0	0	0	0
OG_10017	1	0	0	0	0	0	0
OG_1002	1	1	0	0	0	1	0
OG_10021	1	0	0	0	0	0	0
OG_10028	0	0	0	1	0	0	0
OG_10036	0	0	1	0	0	0	0
OG_10044	0	1	0	1	1	1	1
OG_10057	0	0	1	1	1	0	0
OG_10062	1	1	0	0	0	1	0
OG_10066	1	1	1	1	1	1	1
OG_10067	1	1	1	1	1	1	1
OG_10073	1	0	0	0	0	0	0
OG_10080	1	1	1	1	1	1	1
OG_101	1	0	1	1	1	1	1
OG_10112	0	0	0	1	0	0	0
OG_10125	1	1	1	1	1	1	1
OG_10135	3	1	0	0	0	1	0
OG_10136	1	1	0	1	1	1	1
OG_1014	1	0	0	1	1	1	1
OG_10140	1	0	0	0	0	0	0
OG_10149	1	0	1	0	1	1	1
OG_10152	1	1	0	1	1	1	1
OG_10153	1	0	0	0	0	0	0
OG_10158	0	0	1	0	0	0	0
OG_10167	0	1	1	1	1	1	1
OG_10185	1	0	0	1	1	1	1
OG_10196	1	1	1	1	1	1	1
OG_102	1	1	1	1	1	1	1
OG_1020	1	0	0	1	1	1	1
OG_10204	1	0	0	0	0	0	0
OG_10205	1	0	0	0	0	0	0
OG_10208	0	0	1	0	0	0	0
OG_10211	0	1	1	1	1	1	1
OG_10212	0	1	1	1	1	1	1
OG_10223	0	0	0	1	0	0	0
OG_10224	0	2	1	1	1	1	1
OG_10243	0	0	0	1	0	0	0
OG_10246	0	0	0	1	0	0	0
OG_10249	0	0	0	1	0	0	0
OG_10259	0	0	0	1	0	0	0
OG_10271	0	1	1	1	1	1	1
OG_10276	0	0	0	1	0	0	0
OG_10286	1	1	0	1	1	1	1
OG_10287	1	1	0	1	1	1	1
OG_10292	1	0	0	1	1	1	1
OG_1030	0	1	0	0	0	0	0
OG_10305	1	0	0	0	0	0	0
OG_10306	1	0	0	0	0	0	0
