orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_103	Hhon,HoiH23	Hoilungia		1	0	3
OG_10577	TrH2	TrH2		1	0	1
OG_10651	Tadh	Tadh		1	0	1
OG_1881	Tadh	Tadh		1	0	1
OG_189	HoiH23	HoiH23		1	0	1
OG_3079	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	8
OG_3561	TrH2	TrH2		1	0	1
OG_399	TrH2	TrH2		1	0	1
OG_400	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_4235	Hhon,HoiH23	Hoilungia		1	0	3
OG_4261	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_4364	HoiH23	HoiH23		1	0	1
OG_4376	Hhon,Tadh,TrH2	Placozoa	HoiH23	1	1	6
OG_4562	Tadh	Tadh		1	0	1
OG_4629	Hhon	Hhon		1	0	1
OG_4689	HoiH23	HoiH23		1	0	1
OG_4876	Tadh,TrH2	Trichoplax		1	0	3
OG_5267	Tadh	Tadh		1	0	1
OG_5352	HoiH23	HoiH23		1	0	1
OG_5353	HoiH23	HoiH23		1	0	1
OG_5401	HoiH23	HoiH23		1	0	1
OG_5843	HoiH23	HoiH23		1	0	1
OG_5846	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_6278	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	8
OG_6292	Hhon	Hhon		1	0	1
OG_6770	Tadh	Tadh		1	0	1
OG_6991	Hhon,TrH2	Placozoa	HoiH23,Tadh	1	2	5
OG_8142	Tadh,TrH2	Trichoplax		1	0	3
OG_8148	TrH2	TrH2		1	0	1
OG_8194	Hhon	Hhon		1	0	1
OG_8530	Hhon,Tadh,TrH2	Placozoa	HoiH23	1	1	6
OG_8618	Tadh,TrH2	Trichoplax		1	0	3
OG_8969	HoiH23,TrH2	Placozoa	Hhon,Tadh	1	2	5
OG_9145	Hhon	Hhon		1	0	1
OG_933	Tadh,TrH2	Trichoplax		1	0	3
OG_934	Hhon,HoiH23	Hoilungia		1	0	3
OG_9541	Hhon	Hhon		1	0	1
OG_9720	HoiH23,Tadh	Placozoa	Hhon,TrH2	1	2	5
