	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10005	0	1	0	0	0	0	0
OG_10027	1	0	0	0	0	0	0
OG_10102	0	0	0	0	0	1	0
OG_10235	0	0	1	0	0	0	0
OG_10367	0	1	0	0	0	0	0
OG_10638	0	0	1	0	0	0	0
OG_10639	0	0	0	0	0	1	0
OG_10645	0	0	0	0	0	1	0
OG_281	0	1	0	0	0	0	0
OG_2868	1	0	0	0	0	0	0
OG_2959	0	1	0	0	0	0	0
OG_2967	1	0	0	0	0	0	0
OG_3067	0	0	0	0	0	1	0
OG_3982	0	0	1	0	0	0	0
OG_4059	1	0	0	0	0	0	0
OG_4221	1	0	0	0	0	0	0
OG_4233	0	0	0	0	0	1	0
OG_4314	0	1	0	0	0	0	0
OG_432	0	0	1	0	0	0	0
OG_4366	1	0	0	0	0	0	0
OG_4561	0	0	0	0	0	1	0
OG_4604	0	0	0	0	0	0	1
OG_4605	1	0	0	0	0	0	0
OG_4689	0	0	0	0	0	0	1
OG_4760	0	1	0	0	0	0	0
OG_4762	1	0	0	0	0	0	0
OG_4781	0	0	0	0	0	1	0
OG_4867	0	1	0	0	0	0	0
OG_5175	0	1	0	0	0	0	0
OG_5289	0	0	0	0	0	0	1
OG_5352	0	0	0	0	0	0	1
OG_5353	0	0	0	0	0	0	1
OG_5413	0	1	0	0	0	0	0
OG_5414	0	1	0	0	0	0	0
OG_5656	0	0	1	0	0	0	0
OG_5910	0	0	0	0	0	1	0
OG_6264	1	0	0	0	0	0	0
OG_6308	0	0	0	0	0	0	1
OG_6365	0	0	1	0	0	0	0
OG_7195	0	1	0	0	0	0	0
OG_7269	0	1	0	0	0	0	0
OG_7365	0	0	0	0	0	1	0
OG_8157	1	0	0	0	0	0	0
OG_8517	0	1	0	0	0	0	0
OG_8579	0	0	0	0	0	0	1
OG_8958	0	0	0	0	0	0	1
OG_8959	0	0	0	0	0	0	1
OG_9169	0	1	0	0	0	0	0
OG_9926	1	0	0	0	0	0	0
