orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_10088	Hhon	Hhon		1	0	1
OG_10308	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	6
OG_10309	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	6
OG_10519	Tadh,TrH2	Trichoplax		1	0	3
OG_2168	Hhon	Hhon		1	0	1
OG_3855	HoiH23	HoiH23		1	0	1
OG_4204	Hhon,HoiH23	Hoilungia		1	0	3
OG_4214	Hhon	Hhon		1	0	1
OG_4391	Hhon	Hhon		1	0	1
OG_4493	Hhon,HoiH23	Hoilungia		1	0	3
OG_4527	Hhon	Hhon		1	0	1
OG_4551	Hhon,HoiH23,Tadh	Placozoa	TrH2	1	1	6
OG_4552	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	8
OG_4553	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_4697	Hhon	Hhon		1	0	1
OG_4762	TrH2	TrH2		1	0	1
OG_4806	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_486	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_4984	Tadh,TrH2	Trichoplax		1	0	3
OG_5027	HoiH23	HoiH23		1	0	1
OG_5248	HoiH23	HoiH23		1	0	1
OG_539	Hhon,HoiH23	Hoilungia		1	0	3
OG_5677	Hhon,HoiH23	Hoilungia		1	0	3
OG_5790	HoiH23	HoiH23		1	0	1
OG_5868	Hhon	Hhon		1	0	1
OG_5943	Hhon,HoiH23	Hoilungia		1	0	3
OG_6131	TrH2	TrH2		1	0	1
OG_6233	Hhon,HoiH23	Hoilungia		1	0	3
OG_6262	Hhon	Hhon		1	0	1
OG_6279	Tadh,TrH2	Trichoplax		1	0	3
OG_6361	HoiH23	HoiH23		1	0	1
OG_6485	Hhon	Hhon		1	0	1
OG_6506	Hhon	Hhon		1	0	1
OG_6979	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_7052	HoiH23	HoiH23		1	0	1
OG_7762	Hhon,HoiH23,Tadh	Placozoa	TrH2	1	1	6
OG_7877	Hhon,HoiH23	Hoilungia		1	0	3
OG_7894	HoiH23	HoiH23		1	0	1
OG_7895	HoiH23	HoiH23		1	0	1
OG_7905	Hhon	Hhon		1	0	1
OG_8142	HoiH23	HoiH23		1	0	1
OG_8309	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	6
OG_8829	Tadh	Tadh		1	0	1
OG_9179	Hhon	Hhon		1	0	1
OG_9189	HoiH23	HoiH23		1	0	1
OG_9190	HoiH23	HoiH23		1	0	1
OG_9591	Hhon	Hhon		1	0	1
OG_9622	Hhon	Hhon		1	0	1
OG_9699	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_9700	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_9701	Hhon,Tadh,TrH2	Placozoa	HoiH23	1	1	6
OG_9725	Hhon	Hhon		1	0	1
OG_9853	Hhon	Hhon		1	0	1
OG_9910	Hhon	Hhon		1	0	1
OG_9941	HoiH23	HoiH23		1	0	1
