	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10005	0	0	0	0	0	0	0
OG_10041	0	0	0	0	0	0	0
OG_10047	0	0	0	0	0	0	0
OG_10052	0	0	0	0	0	0	0
OG_10128	0	0	0	0	0	0	0
OG_10129	0	0	0	0	0	0	0
OG_10135	0	0	0	0	0	0	0
OG_10219	0	0	0	0	0	0	0
OG_10244	0	0	0	0	0	0	0
OG_10249	0	0	0	0	0	0	0
OG_10312	0	0	0	0	0	0	0
OG_10331	0	0	0	0	0	0	0
OG_10336	0	0	0	0	0	0	0
OG_10370	0	0	0	0	0	0	0
OG_10382	0	0	0	0	0	0	0
OG_10471	0	0	0	0	0	0	0
OG_10502	0	0	0	0	0	0	0
OG_10560	0	0	0	0	0	0	0
OG_10662	0	0	0	0	0	0	0
OG_10668	0	0	0	0	0	0	0
OG_10744	0	0	0	0	0	0	0
OG_1215	0	0	0	0	0	0	0
OG_1256	0	0	0	0	0	0	0
OG_1405	0	0	1	0	0	0	0
OG_1492	0	0	0	0	0	0	0
OG_1781	0	0	0	0	0	0	0
OG_189	0	0	0	0	0	0	0
OG_20	0	0	0	0	0	0	0
OG_2149	0	0	0	0	0	0	0
OG_216	0	0	0	0	0	0	0
OG_234	0	0	0	0	0	0	0
OG_262	0	0	0	0	0	0	0
OG_2710	0	0	0	0	0	0	0
OG_2843	0	0	0	0	0	0	0
OG_2854	0	0	0	0	0	0	0
OG_2975	0	0	0	0	0	0	0
OG_3031	0	0	0	0	0	0	0
OG_3538	0	0	0	0	0	0	0
OG_3565	0	0	0	0	0	0	0
OG_3567	0	0	0	0	0	0	0
OG_3590	0	0	0	0	0	0	0
OG_3715	0	0	0	0	0	0	0
OG_3746	0	0	0	0	0	0	0
OG_3774	0	0	0	0	0	0	0
OG_3871	0	0	0	0	0	0	0
OG_3980	0	0	0	0	0	0	0
OG_4024	0	0	0	0	0	0	0
OG_4086	0	0	0	0	0	0	0
OG_4120	0	0	0	1	0	0	0
OG_4163	0	0	0	0	0	0	0
OG_4207	0	0	0	0	0	0	0
OG_4208	0	0	0	0	0	0	0
OG_4209	0	0	0	0	0	0	0
OG_4214	0	1	0	0	0	0	0
OG_4216	0	0	0	0	0	0	0
OG_4221	0	0	1	0	0	0	0
OG_4270	0	0	0	0	0	0	0
OG_4289	0	0	0	0	0	0	0
OG_4305	0	0	0	0	0	0	0
OG_4335	0	0	0	0	0	0	0
OG_4341	0	0	0	0	0	0	0
OG_4342	0	0	0	0	0	0	0
OG_4347	0	0	1	0	0	0	0
OG_4348	0	0	1	0	0	0	0
OG_4361	0	0	0	0	0	0	0
OG_4375	0	0	0	0	0	0	0
OG_4390	0	0	0	0	0	0	0
OG_4397	0	0	0	0	0	0	0
OG_446	0	0	0	0	0	0	0
OG_4461	0	0	0	0	0	0	0
OG_4541	0	0	0	0	0	0	0
OG_4547	0	0	0	0	0	0	0
OG_4562	1	0	0	1	0	0	0
OG_4566	0	0	0	0	0	0	0
OG_4608	0	0	0	0	0	0	0
OG_4632	0	0	0	0	0	0	0
OG_467	0	0	0	0	0	0	0
OG_4731	0	0	0	0	0	0	0
OG_4760	0	0	0	0	0	0	0
OG_4788	0	0	0	0	0	0	0
OG_4824	0	0	0	0	0	0	0
OG_4869	0	0	0	0	0	0	0
OG_4939	0	0	0	0	0	0	0
OG_5027	0	1	0	1	0	0	0
OG_5070	0	0	0	0	0	0	0
OG_5071	0	0	0	0	0	0	0
OG_5123	0	0	0	0	0	0	0
OG_5130	0	0	0	0	0	0	0
OG_5150	0	0	0	0	0	0	0
OG_5224	0	0	0	0	0	0	0
OG_5413	0	0	0	0	0	0	0
OG_5441	0	0	0	0	0	0	0
OG_5442	0	0	0	0	0	0	0
OG_5444	0	0	0	0	0	0	0
OG_5529	0	0	0	0	0	0	0
OG_5547	0	0	0	0	0	0	0
OG_5548	0	0	0	1	0	0	0
OG_5734	0	0	0	0	0	0	0
OG_5789	0	0	0	0	0	0	0
OG_5876	0	0	0	0	0	0	0
OG_5911	0	1	0	1	0	0	0
OG_6010	0	0	0	0	0	0	0
OG_6107	0	1	0	1	0	0	0
OG_6146	1	0	0	1	0	0	0
OG_6147	0	0	0	0	0	0	0
OG_6148	1	0	1	0	0	0	0
OG_6275	0	0	1	0	0	0	0
OG_6310	0	0	0	0	0	0	0
OG_6325	0	0	0	0	0	0	0
OG_6355	0	0	0	0	0	0	0
OG_6397	0	0	0	0	0	0	0
OG_6485	0	0	0	0	0	0	0
OG_6506	0	0	0	0	0	0	0
OG_6512	0	0	0	0	0	0	0
OG_6530	0	0	0	0	0	0	0
OG_6581	0	0	0	0	0	0	0
OG_6605	0	0	0	0	0	0	0
OG_6648	0	0	0	0	0	0	0
OG_6649	0	0	0	0	0	0	0
OG_6725	0	0	1	0	0	0	0
OG_6729	0	0	0	0	0	0	0
OG_6769	0	0	0	0	0	0	0
OG_6868	0	0	0	0	0	0	0
OG_6947	0	1	1	0	0	0	0
OG_697	0	0	0	0	0	0	0
OG_7055	0	0	0	0	0	0	0
OG_7108	0	0	0	1	0	0	0
OG_7194	0	0	0	0	0	0	0
OG_7244	0	0	0	0	0	0	0
OG_7250	0	0	0	0	0	0	0
OG_7269	0	1	0	1	0	0	0
OG_7306	0	0	0	0	0	0	0
OG_7409	0	0	0	0	0	0	0
OG_7474	0	0	0	0	0	0	0
OG_7572	0	0	0	0	0	0	0
OG_7681	0	0	0	0	0	0	0
OG_7835	0	0	0	0	0	0	0
OG_7836	0	1	1	0	0	0	0
OG_7893	0	0	0	0	0	0	0
OG_7989	0	0	0	0	0	0	0
OG_8080	0	0	0	0	0	0	0
OG_8093	0	0	0	0	0	0	0
OG_8123	0	0	0	0	0	0	0
OG_8160	0	0	0	0	0	0	0
OG_8161	0	0	0	0	0	0	0
OG_8247	0	0	0	0	0	0	0
OG_829	0	0	0	0	0	0	0
OG_8296	0	0	0	0	0	0	0
OG_8454	0	0	0	0	0	0	0
OG_8493	0	0	0	0	0	0	0
OG_8636	0	0	0	0	0	0	0
OG_8728	0	0	0	0	0	0	0
OG_8768	0	0	0	0	0	0	0
