	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10	0	1	0	0	0	0	0
OG_10097	0	0	0	0	0	0	1
OG_10259	0	0	1	0	0	0	0
OG_1030	0	0	1	0	0	0	0
OG_10324	0	0	1	0	0	0	0
OG_10387	1	0	0	0	0	0	0
OG_10561	0	0	0	0	0	1	0
OG_10611	0	1	0	0	0	0	0
OG_10631	1	0	0	0	0	0	0
OG_10675	0	0	0	0	0	1	0
OG_10698	0	0	1	0	0	0	0
OG_10703	0	0	0	0	0	1	0
OG_10721	1	0	0	0	0	0	0
OG_1152	0	0	1	0	0	0	0
OG_1476	0	0	1	0	0	0	0
OG_1565	0	1	0	0	0	0	0
OG_1714	0	0	1	0	0	0	0
OG_175	1	0	0	0	0	0	0
OG_22	0	0	0	1	0	0	0
OG_2204	0	0	0	1	0	0	0
OG_2232	1	0	0	0	0	0	0
OG_2291	0	1	0	0	0	0	0
OG_2438	1	0	0	0	0	0	0
OG_2489	0	0	0	0	0	1	0
OG_2557	0	0	1	0	0	0	0
OG_2588	0	1	0	0	0	0	0
OG_2592	0	0	1	0	0	0	0
OG_2733	0	0	1	0	0	0	0
OG_2734	0	0	0	0	0	0	1
OG_2914	0	0	0	1	0	0	0
OG_2973	0	0	1	0	0	0	0
OG_2998	0	0	1	0	0	0	0
OG_30	0	0	1	0	0	0	0
OG_3030	0	1	0	0	0	0	0
OG_3037	0	0	0	1	0	0	0
OG_3068	0	1	0	0	0	0	0
OG_3106	0	0	0	1	0	0	0
OG_3186	0	0	0	1	0	0	0
OG_3237	0	0	0	0	1	0	0
OG_3276	0	0	0	1	0	0	0
OG_3277	0	0	0	0	0	0	1
OG_3279	0	0	0	0	0	0	1
OG_3319	0	0	0	0	0	0	1
OG_3320	0	0	0	0	0	0	1
OG_3346	0	0	0	0	0	0	1
OG_3365	0	0	1	0	0	0	0
OG_3377	0	0	0	1	0	0	0
OG_3381	0	0	0	0	0	1	0
OG_3430	1	0	0	0	0	0	0
OG_3536	0	0	0	1	0	0	0
OG_3561	0	0	0	1	0	0	0
OG_3606	0	1	0	0	0	0	0
OG_3740	0	0	0	1	0	0	0
OG_3782	1	0	0	0	0	0	0
OG_3783	0	0	0	1	0	0	0
OG_3853	1	0	0	0	0	0	0
OG_3877	0	0	0	1	0	0	0
OG_4039	0	0	0	0	0	0	1
