	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10035	0	0	0	1	0	0	0
OG_1007	0	0	0	1	0	0	0
OG_10078	0	0	0	1	0	0	0
OG_10158	0	0	0	1	0	0	0
OG_1027	0	0	0	1	0	0	0
OG_10311	0	0	0	1	0	0	0
OG_10455	0	0	0	1	0	0	0
OG_1046	0	0	1	0	0	0	0
OG_10553	0	0	1	0	0	0	0
OG_10624	0	0	1	0	0	0	0
OG_10690	0	0	1	0	0	0	0
OG_10701	0	0	0	1	0	0	0
OG_1080	0	0	0	1	0	0	0
OG_1110	0	0	1	0	0	0	0
OG_1118	0	0	1	1	1	0	0
OG_1139	0	0	1	0	0	0	0
OG_1147	0	0	1	1	1	0	0
OG_1268	0	0	1	0	0	0	0
OG_1302	0	0	0	1	0	0	0
OG_1309	0	0	1	0	0	0	0
OG_1319	0	0	1	0	0	0	0
OG_1415	0	0	0	1	0	0	0
OG_1464	0	0	0	1	0	0	0
OG_1487	0	0	1	0	0	0	0
OG_1495	0	0	0	1	0	0	0
OG_1677	0	0	1	1	1	0	0
OG_1714	0	0	0	1	0	0	0
OG_1735	0	0	0	1	0	0	0
OG_1746	0	0	0	1	0	0	0
OG_1772	0	0	0	1	0	0	0
OG_183	0	0	1	0	0	0	0
OG_1845	0	0	0	1	0	0	0
OG_1873	0	0	1	0	0	0	0
OG_1886	0	0	0	1	0	0	0
OG_1889	0	0	0	1	0	0	0
OG_191	0	0	0	1	0	0	0
OG_193	0	0	1	0	0	0	0
OG_195	0	0	1	0	0	0	0
OG_2016	0	0	1	1	1	0	0
OG_2033	0	0	0	1	0	0	0
OG_2053	0	0	1	0	0	0	0
OG_2091	0	0	1	0	0	0	0
OG_2106	0	0	0	1	0	0	0
OG_211	0	0	0	1	0	0	0
OG_2139	0	0	1	0	0	0	0
OG_2156	0	0	0	1	0	0	0
OG_2170	0	0	0	1	0	0	0
OG_22	0	0	1	0	0	0	0
OG_2202	0	0	0	1	0	0	0
OG_2269	0	0	0	1	0	0	0
OG_2282	0	0	1	0	0	0	0
OG_2313	0	0	0	1	0	0	0
OG_2320	0	0	1	0	0	0	0
OG_2324	0	0	0	1	0	0	0
OG_2354	0	0	1	0	0	0	0
OG_2362	0	0	0	1	0	0	0
OG_237	0	0	0	1	0	0	0
OG_2379	0	0	1	1	1	0	0
OG_2380	0	0	0	1	0	0	0
OG_2414	0	0	0	1	0	0	0
OG_2486	0	0	1	0	0	0	0
OG_2490	0	0	0	1	0	0	0
OG_2504	0	0	0	1	0	0	0
OG_254	0	0	1	1	1	0	0
OG_2541	0	0	0	1	0	0	0
OG_2552	0	0	1	0	0	0	0
OG_2584	0	0	0	1	0	0	0
OG_2602	0	0	0	1	0	0	0
OG_2609	0	0	0	1	0	0	0
OG_2701	0	0	0	1	0	0	0
OG_2711	0	0	0	1	0	0	0
OG_2726	0	0	0	1	0	0	0
OG_273	0	0	0	1	0	0	0
OG_2768	0	0	0	1	0	0	0
OG_2796	0	0	0	1	0	0	0
OG_2815	0	0	0	1	0	0	0
OG_2829	0	0	2	0	0	0	0
OG_3050	0	0	0	1	0	0	0
OG_3065	0	0	0	1	0	0	0
OG_31	0	0	1	0	0	0	0
OG_3127	0	0	1	0	0	0	0
