orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_1001	TrH2	TrH2		1	0	1
OG_10030	Mmus	Mmus		1	0	1
OG_10032	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10035	Mmus	Mmus		1	0	1
OG_10039	Hvul	Hvul		1	0	1
OG_10057	Mmus	Mmus		1	0	1
OG_10058	Mmus	Mmus		1	0	1
OG_10076	Hvul	Hvul		1	0	1
OG_10092	HoiH23,Nvec,TrH2	CniBilPla	Bilateria,Hhon,Hvul,Spis,Tadh	1	5	10
OG_10107	Dmel,Hhon,HoiH23,Mmus,TrH2	CniBilPla	Cnidaria,Tadh	1	2	11
OG_10111	Dmel	Dmel		1	0	1
OG_10118	Dmel	Dmel		1	0	1
OG_10120	Mmus	Mmus		1	0	1
OG_10127	Mmus	Mmus		1	0	1
OG_10132	Mmus,Tadh	CniBilPla	Cnidaria,Dmel,Hoilungia,TrH2	1	4	7
OG_10138	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_10150	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	10
OG_10151	Dmel,Nvec,Spis	CniBil	Hvul,Mmus	1	2	7
OG_10152	Spolac	Spolac		1	0	1
OG_10167	Mmus	Mmus		1	0	1
OG_10175	Mmus	Mmus		1	0	1
OG_1018	Mmus	Mmus		1	0	1
OG_10180	HoiH23	HoiH23		1	0	1
OG_10185	Hvul	Hvul		1	0	1
OG_10198	Mmus	Mmus		1	0	1
OG_10206	Mmus	Mmus		1	0	1
OG_10207	Mmus	Mmus		1	0	1
OG_10210	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_10213	Hvul	Hvul		1	0	1
OG_1022	Dmel,Mmus	Bilateria		1	0	6
OG_10224	Dmel,Mlei,Mmus	Metazoa	Cnidaria,Placozoa,Spolac	1	3	7
OG_10229	Dmel,Mlei,TrH2	Metazoa	Cnidaria,Hoilungia,Mmus,Spolac,Tadh	1	5	9
OG_10233	HoiH23,Tadh	Placozoa	Hhon,TrH2	1	2	5
OG_10239	Mmus	Mmus		1	0	1
OG_10240	HoiH23,Hvul,Nvec,Tadh,TrH2	CniBilPla	Bilateria,Hhon,Spis	1	3	12
OG_10249	Spolac,Tadh,TrH2	Metazoa	CniBil,Hoilungia,Mlei	1	3	7
OG_10278	Mmus	Mmus		1	0	1
OG_10279	Spolac	Spolac		1	0	1
OG_10286	Mmus	Mmus		1	0	1
OG_10290	Mmus	Mmus		1	0	2
OG_10294	Mmus,TrH2	CniBilPla	Cnidaria,Dmel,Hoilungia,Tadh	1	4	7
OG_10295	Hhon,HoiH23,Hvul	CniBilPla	Anthozoa,Bilateria,Trichoplax	1	3	8
OG_10298	Dmel,Mmus	Bilateria		1	0	5
OG_1031	Dmel	Dmel		1	0	1
OG_10317	HoiH23	HoiH23		1	0	1
OG_10320	Hvul,Mmus	CniBil	Anthozoa,Dmel	1	2	6
OG_10325	Hvul,TrH2	CniBilPla	Anthozoa,Bilateria,Hoilungia,Tadh	1	4	7
OG_10330	Spolac	Spolac		1	0	1
OG_10337	Hhon,HoiH23,Hvul,Mmus,Tadh,TrH2	CniBilPla	Anthozoa,Dmel	1	2	13
OG_10356	Dmel	Dmel		1	0	1
OG_10367	HoiH23	HoiH23		1	0	1
OG_10386	Dmel,Hhon,Mmus	CniBilPla	Cnidaria,HoiH23,Trichoplax	1	3	8
OG_10409	Mmus	Mmus		1	0	1
OG_10425	Hvul	Hvul		1	0	1
OG_10427	HoiH23,TrH2	Placozoa	Hhon,Tadh	1	2	5
OG_10429	Dmel,Hhon,TrH2	CniBilPla	Cnidaria,HoiH23,Mmus,Tadh	1	4	9
OG_10431	TrH2	TrH2		1	0	1
OG_10434	Dmel	Dmel		1	0	1
OG_10435	Dmel,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Hoilungia	1	2	9
OG_1044	Dmel	Dmel		1	0	1
OG_10440	Hhon,HoiH23	Hoilungia		1	0	3
OG_10452	Dmel	Dmel		1	0	1
OG_10454	Dmel,Hvul,Mmus,Nvec	CniBil	Spis	1	1	13
OG_10460	Spolac	Spolac		1	0	1
OG_10470	Spolac	Spolac		1	0	1
OG_10474	Mmus	Mmus		1	0	1
OG_10477	Nvec	Nvec		1	0	1
OG_10487	Mmus	Mmus		1	0	1
OG_10495	Hvul	Hvul		1	0	1
OG_10496	Tadh,TrH2	Trichoplax		1	0	3
OG_10498	Mmus	Mmus		1	0	1
OG_10500	Dmel,Hhon,HoiH23,Tadh,TrH2	CniBilPla	Cnidaria,Mmus	1	2	11
OG_1052	Mmus	Mmus		1	0	2
OG_10523	TrH2	TrH2		1	0	1
OG_10524	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_10536	Spolac	Spolac		1	0	1
OG_10541	Spolac	Spolac		1	0	1
OG_10542	Mmus	Mmus		1	0	1
OG_10544	Hvul	Hvul		1	0	1
OG_10546	Dmel	Dmel		1	0	1
OG_10547	Mmus	Mmus		1	0	2
OG_10548	Mmus	Mmus		1	0	1
OG_10568	Mmus	Mmus		1	0	1
OG_1057	Hvul,Mmus	CniBil	Anthozoa,Dmel	1	2	5
OG_10575	Mmus	Mmus		1	0	2
OG_10585	Hvul	Hvul		1	0	1
OG_10587	Hhon,HoiH23,Tadh	Placozoa	TrH2	1	1	6
OG_10599	Mmus	Mmus		1	0	1
OG_10604	Dmel	Dmel		1	0	1
OG_10628	Spolac	Spolac		1	0	1
OG_10631	Mmus	Mmus		1	0	1
OG_10641	Mmus	Mmus		1	0	1
OG_10644	Mmus	Mmus		1	0	1
OG_10647	Mmus	Mmus		1	0	1
OG_10655	Mlei,Tadh	Metazoa	CniBil,Hoilungia,Spolac,TrH2	1	4	6
OG_1066	Mmus	Mmus		1	0	1
OG_10660	Mmus	Mmus		1	0	1
OG_10661	Spolac	Spolac		1	0	1
OG_10696	Hvul	Hvul		1	0	1
OG_10700	Tadh,TrH2	Trichoplax		1	0	3
OG_10701	Hvul	Hvul		1	0	1
OG_10707	HoiH23,Mmus,Tadh	CniBilPla	Cnidaria,Dmel,Hhon,TrH2	1	4	9
OG_10710	Hvul,Spolac	Metazoa	Anthozoa,Bilateria,Mlei,Placozoa	1	4	6
OG_10715	Hvul,Mmus,Nvec	CniBil	Dmel,Spis	1	2	7
OG_10726	Mmus	Mmus		1	0	1
OG_10732	Hhon	Hhon		1	0	1
OG_10742	Hvul	Hvul		1	0	1
OG_10754	Mmus	Mmus		1	0	1
OG_10757	Hvul	Hvul		1	0	1
OG_10762	Mmus	Mmus		1	0	1
OG_10767	Mmus	Mmus		1	0	1
OG_10772	Hvul	Hvul		1	0	1
OG_10775	Spolac	Spolac		1	0	1
OG_1079	Mmus	Mmus		1	0	1
OG_10795	Mmus	Mmus		1	0	1
OG_108	Tadh,TrH2	Trichoplax		1	0	3
OG_10800	Hvul	Hvul		1	0	1
OG_10806	Mmus	Mmus		1	0	1
OG_10807	Mmus	Mmus		1	0	1
OG_1082	Spolac	Spolac		1	0	1
OG_10820	TrH2	TrH2		1	0	1
OG_10821	Hvul	Hvul		1	0	1
OG_10840	Dmel,Mmus	Bilateria		1	0	3
OG_10841	Mmus	Mmus		1	0	1
OG_10859	Mmus	Mmus		1	0	1
OG_10868	Dmel,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Hoilungia	1	2	9
OG_10869	Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Bilateria	1	2	12
OG_10875	Spolac	Spolac		1	0	1
OG_10896	Dmel,Hhon,HoiH23,Hvul,Mmus,Spis	CniBilPla	Nvec,Trichoplax	1	2	13
OG_10897	Hhon,HoiH23,Spolac,Tadh,TrH2	Metazoa	CniBil,Mlei	1	2	10
OG_10904	Mmus	Mmus		1	0	1
OG_10908	Hhon	Hhon		1	0	1
OG_10916	Dmel	Dmel		1	0	1
OG_1092	Dmel,HoiH23,Tadh	CniBilPla	Cnidaria,Hhon,Mmus,TrH2	1	4	9
OG_10924	Dmel,Hvul,Mmus	CniBil	Anthozoa	1	1	6
OG_10933	Dmel,Mmus	Bilateria		1	0	5
OG_10951	Spolac	Spolac		1	0	1
OG_10954	TrH2	TrH2		1	0	1
OG_10955	Spolac	Spolac		1	0	1
OG_1097	Hvul	Hvul		1	0	1
OG_10973	Dmel	Dmel		1	0	1
OG_10987	Dmel	Dmel		1	0	1
OG_10988	Mmus	Mmus		1	0	1
OG_10991	Dmel	Dmel		1	0	1
OG_10997	Dmel,Mmus	Bilateria		1	0	3
OG_11009	Mmus	Mmus		1	0	1
OG_11021	Mmus	Mmus		1	0	1
OG_11022	Spolac	Spolac		1	0	1
OG_11027	Mmus	Mmus		1	0	1
OG_11028	Hvul	Hvul		1	0	1
OG_11032	Dmel	Dmel		1	0	1
OG_11035	Mmus	Mmus		1	0	1
OG_11045	Dmel,HoiH23,Tadh,TrH2	CniBilPla	Cnidaria,Hhon,Mmus	1	3	10
OG_11047	Dmel,Mmus	Bilateria		1	0	3
OG_11050	Mmus	Mmus		1	0	1
OG_11052	Mmus	Mmus		1	0	1
OG_11056	Mmus	Mmus		1	0	1
OG_1106	Dmel	Dmel		1	0	1
OG_11067	Dmel	Dmel		1	0	1
OG_11068	TrH2	TrH2		1	0	1
OG_11069	TrH2	TrH2		1	0	1
OG_11077	TrH2	TrH2		1	0	1
OG_11081	Hhon,HoiH23	Hoilungia		1	0	3
OG_11083	Spolac	Spolac		1	0	1
OG_11087	Hhon,HoiH23,Mmus,TrH2	CniBilPla	Cnidaria,Dmel,Tadh	1	3	10
OG_11089	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_11091	Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Bilateria	1	2	11
OG_11095	Mmus	Mmus		1	0	1
OG_1111	Mmus	Mmus		1	0	1
OG_11125	Dmel	Dmel		1	0	1
OG_1114	Dmel	Dmel		1	0	1
OG_11142	Dmel	Dmel		1	0	1
OG_11151	Mmus	Mmus		1	0	1
OG_11160	Dmel	Dmel		1	0	1
OG_11172	Dmel	Dmel		1	0	1
OG_11177	Mmus	Mmus		1	0	1
OG_11179	Spolac	Spolac		1	0	1
OG_11181	Dmel	Dmel		1	0	1
OG_11188	Spolac	Spolac		1	0	1
OG_11197	TrH2	TrH2		1	0	1
OG_11199	HoiH23	HoiH23		1	0	1
OG_11200	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_11204	Mmus	Mmus		1	0	2
OG_11205	Dmel	Dmel		1	0	1
OG_11221	Mmus	Mmus		1	0	1
OG_11234	Spolac	Spolac		1	0	1
OG_11241	Dmel	Dmel		1	0	1
OG_11254	Mmus	Mmus		1	0	1
OG_11259	HoiH23,Tadh	Placozoa	Hhon,TrH2	1	2	5
OG_11273	Hvul,Mmus	CniBil	Anthozoa,Dmel	1	2	6
OG_11297	Hvul	Hvul		1	0	1
OG_1130	Mmus	Mmus		1	0	1
OG_11302	Mmus	Mmus		1	0	1
