term	pval	ontology	fg	oe	symbol	size
GO:0034707 | chloride channel complex	1.1e-10	CC	9	23.0769230769231	20	1.16755209837199
Neur_chan_LBD	1.32811128012614e-10	Pfam	8	6255.42857142857	20	1.94839859099672
Neur_chan_memb	1.32811128012614e-10	Pfam	8	6255.42857142857	20	1.94839859099672
GO:1902711 | GABA-A receptor complex	2.1e-10	CC	7	38.8888888888889	20	1.26088283948627
GO:0004890 | GABA-A receptor activity	2.5e-10	MF	7	38.8888888888889	20	1.26088283948627
GO:0022851 | GABA-gated chloride ion channel activity	1e-09	MF	6	50	20	1.30344543588752
GO:0007214 | gamma-aminobutyric acid signaling pathwa...	1.8e-09	BP	7	30.4347826086957	20	1.2179368637153
GO:0005237 | inhibitory extracellular ligand-gated io...	2.9e-09	MF	6	42.8571428571429	20	1.27750663978917
Stathmin	5.99864451836917e-09	Pfam	4	26272.8	20	2.10226220053444
GO:0031115 | negative regulation of microtubule polym...	8.9e-09	BP	5	55.5555555555556	20	1.32088133263238
GO:1902476 | chloride transmembrane transport	1.2e-08	BP	8	17.7777777777778	20	1.11797919176369
GO:0005231 | excitatory extracellular ligand-gated io...	1.3e-08	MF	8	17.3913043478261	20	1.11370200471687
GO:0008503 | benzodiazepine receptor activity	1.7e-08	MF	5	50	20	1.30344543588752
GO:0007157 | heterophilic cell-cell adhesion via plas...	2.3e-08	BP	6	31.5789473684211	20	1.2244989381093
GO:0043025 | neuronal cell body	3e-08	CC	18	4.60358056265985	20	0.814306912476763
GO:1904315 | transmitter-gated ion channel activity i...	4e-08	MF	8	15.0943396226415	20	1.08573206519433
GO:0099634 | postsynaptic specialization membrane	5.4e-08	CC	10	9.80392156862745	20	0.99569062877888
GO:0098982 | GABA-ergic synapse	9.2e-08	CC	9	11.1111111111111	20	1.02262284864004
GO:1904862 | inhibitory synapse assembly	2.9e-07	BP	5	33.3333333333333	20	1.2340497337143
GO:0048471 | perinuclear region of cytoplasm	3.6e-07	CC	15	4.74683544303797	20	0.822437946861207
GO:0050809 | diazepam binding	5.2e-07	MF	4	50	20	1.30344543588752
GO:0071420 | cellular response to histamine	5.6e-07	BP	5	29.4117647058824	20	1.21182551671342
GO:0031117 | positive regulation of microtubule depol...	8.6e-07	BP	3	100	20	1.4142135623731
GO:0098688 | parallel fiber to Purkinje cell synapse	8.6e-07	CC	5	26.3157894736842	20	1.19172832616465
GO:0030426 | growth cone	1e-06	CC	9	8.33333333333333	20	0.959593014747594
GO:0008017 | microtubule binding	1.1e-06	MF	9	8.33333333333333	20	0.959593014747594
GO:0005874 | microtubule	1.7e-06	CC	12	7.5	20	0.935447092780613
DUF1041	2.0434661123508e-06	Pfam	3	19704.6	20	2.07233385900719
GO:1903078 | positive regulation of protein localizat...	2.2e-06	BP	6	15	20	1.08447741288405
GO:0099507 | ligand-gated ion channel activity involv...	3.2e-06	MF	5	20.8333333333333	20	1.14837222302893
GO:0060078 | regulation of postsynaptic membrane pote...	3.3e-06	BP	11	12.5	20	1.04733471870652
GO:0031749 | D2 dopamine receptor binding	3.3e-06	MF	3	75	20	1.36932876380791
GO:0007158 | neuron cell-cell adhesion	3.4e-06	BP	3	75	20	1.36932876380791
GO:0097119 | postsynaptic density protein 95 clusteri...	3.4e-06	BP	3	75	20	1.36932876380791
GO:1902474 | positive regulation of protein localizat...	3.4e-06	BP	3	75	20	1.36932876380791
GO:0099565 | chemical synaptic transmission, postsyna...	3.9e-06	BP	10	13.5135135135135	20	1.06337588851216
GO:0099092 | postsynaptic density, intracellular comp...	5.1e-06	CC	5	19.2307692307692	20	1.13313576254798
Ig_3	5.30373322320019e-06	Pfam	7	2034.3982300885	20	1.8189106545773
GO:0015631 | tubulin binding	7.5e-06	MF	14	10.0719424460432	20	1.00155540806495
GO:1990048 | anterograde neuronal dense core vesicle ...	8.5e-06	BP	3	60	20	1.33347337820582
GO:0097104 | postsynaptic membrane assembly	8.5e-06	BP	3	60	20	1.33347337820582
GO:0010976 | positive regulation of neuron projection...	1.2e-05	BP	8	7.27272727272727	20	0.928276522289408
GO:0051932 | synaptic transmission, GABAergic	1.3e-05	BP	8	19.047619047619	20	1.13130044488369
GO:0016358 | dendrite development	1.4e-05	BP	9	6.08108108108108	20	0.885426899322789
GO:0042734 | presynaptic membrane	1.4e-05	CC	10	5.37634408602151	20	0.854685354842403
GO:0044325 | transmembrane transporter binding	1.5e-05	MF	7	8.64197530864197	20	0.967787694246836
GO:0072553 | terminal button organization	1.7e-05	BP	3	50	20	1.30344543588752
GO:0032590 | dendrite membrane	2.6e-05	CC	6	16.2162162162162	20	1.0999770571774
GO:0008344 | adult locomotory behavior	2.9e-05	BP	6	9.83606557377049	20	0.996404242952064
GO:0032587 | ruffle membrane	3.6e-05	CC	5	13.1578947368421	20	1.05791606837178
GO:2000809 | positive regulation of synaptic vesicle ...	4.7e-05	BP	3	37.5	20	1.2546040282606
GO:1900244 | positive regulation of synaptic vesicle ...	6.9e-05	BP	3	33.3333333333333	20	1.2340497337143
GO:0015459 | potassium channel regulator activity	7e-05	MF	5	11.3636363636364	20	1.02738372960147
GO:0031114 | regulation of microtubule depolymerizati...	8.2e-05	BP	6	20.6896551724138	20	1.14706288078932
GO:1903408 | positive regulation of P-type sodium:pot...	9.2e-05	BP	2	100	20	1.4142135623731
GO:1900075 | positive regulation of neuromuscular syn...	9.2e-05	BP	2	100	20	1.4142135623731
GO:0061367 | behavioral response to acetic acid induc...	9.2e-05	BP	2	100	20	1.4142135623731
GO:0090125 | cell-cell adhesion involved in synapse m...	9.2e-05	BP	2	100	20	1.4142135623731
GO:0097114 | NMDA glutamate receptor clustering	9.2e-05	BP	2	100	20	1.4142135623731
GO:1900408 | negative regulation of cellular response...	9.2e-05	BP	2	100	20	1.4142135623731
GO:1903526 | negative regulation of membrane tubulati...	9.2e-05	BP	2	100	20	1.4142135623731
GO:0032230 | positive regulation of synaptic transmis...	9.9e-05	BP	3	30	20	1.21536877313829
Tubulin-binding	0.000104817336783797	Pfam	2	21894	20	2.08334469393528
Tweety	0.000104817336783797	Pfam	2	21894	20	2.08334469393528
GO:0005875 | microtubule associated complex	0.00011	CC	5	10.2040816326531	20	1.00437738141971
GO:0090036 | regulation of protein kinase C signaling	0.00013	BP	3	27.2727272727273	20	1.1982189155415
GO:0007026 | negative regulation of microtubule depol...	0.00014	BP	4	14.8148148148148	20	1.08198716589846
GO:0030425 | dendrite	0.00014	CC	23	5.21541950113379	20	0.846929304339952
GO:0043198 | dendritic shaft	0.00014	CC	5	10	20	1
G-gamma	0.00018622239127604	Pfam	3	5185.42105263158	20	1.92737749975733
MAGUK_N_PEST	0.000208813687935941	Pfam	2	16420.5	20	2.05314061309497
Ndr	0.000208813687935941	Pfam	2	16420.5	20	2.05314061309497
PDZ_assoc	0.000208813687935941	Pfam	2	16420.5	20	2.05314061309497
Ten_N	0.000208813687935941	Pfam	2	16420.5	20	2.05314061309497
Tox-GHH	0.000208813687935941	Pfam	2	16420.5	20	2.05314061309497
GO:0060076 | excitatory synapse	0.00022	CC	9	17.6470588235294	20	1.11654481922643
GO:1902083 | negative regulation of peptidyl-cysteine...	0.00027	BP	2	66.6666666666667	20	1.35052165511861
GO:1902856 | negative regulation of non-motile cilium...	0.00027	BP	2	66.6666666666667	20	1.35052165511861
GO:0034454 | microtubule anchoring at centrosome	0.00027	BP	2	66.6666666666667	20	1.35052165511861
GO:0060077 | inhibitory synapse	0.00033	CC	3	21.4285714285714	20	1.15368679416964
GO:0045211 | postsynaptic membrane	0.00034	CC	17	6.66666666666667	20	0.907694189110142
KIF1B	0.000346660502485002	Pfam	2	13136.4	20	2.02940295755474
LysM	0.000346660502485002	Pfam	2	13136.4	20	2.02940295755474
Na_K-ATPase	0.000346660502485002	Pfam	2	13136.4	20	2.02940295755474
TLD	0.000346660502485002	Pfam	2	13136.4	20	2.02940295755474
GO:0021680 | cerebellar Purkinje cell layer developme...	0.00036	BP	3	21.4285714285714	20	1.15368679416964
COesterase	0.000484607628269923	Pfam	3	3789.34615384615	20	1.89170935387887
GO:0043219 | lateral loop	0.00051	CC	2	50	20	1.30344543588752
DPPIV_N	0.000517956243718898	Pfam	2	10947	20	2.0097997706449
DUF3694	0.000517956243718898	Pfam	2	10947	20	2.0097997706449
