GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0002030	inhibitory G protein-coupled receptor ph...	3	3	0.04	1.7e-06	0.0205955	BP
GO:0099502	calcium-dependent activation of synaptic...	10	6	0.12	5.9e-06	0.02362425	BP
GO:0060466	activation of meiosis involved in egg ac...	4	3	0.05	6.6e-06	0.02362425	BP
GO:0048278	vesicle docking	24	5	0.29	7.8e-06	0.02362425	BP
GO:0046686	response to cadmium ion	26	5	0.31	1.2e-05	0.0282683333333333	BP
GO:2001222	regulation of neuron migration	27	5	0.32	1.4e-05	0.0282683333333333	BP
GO:1901385	regulation of voltage-gated calcium chan...	29	5	0.35	2.1e-05	0.0298215384615385	BP
GO:0071277	cellular response to calcium ion	50	6	0.6	2.6e-05	0.0298215384615385	BP
GO:0032430	positive regulation of phospholipase A2 ...	6	3	0.07	3.2e-05	0.0298215384615385	BP
GO:0150037	regulation of calcium-dependent activati...	6	3	0.07	3.2e-05	0.0298215384615385	BP
GO:0090129	positive regulation of synapse maturatio...	6	3	0.07	3.2e-05	0.0298215384615385	BP
GO:0032222	regulation of synaptic transmission, cho...	6	3	0.07	3.2e-05	0.0298215384615385	BP
GO:0061669	spontaneous neurotransmitter secretion	6	3	0.07	3.2e-05	0.0298215384615385	BP
GO:1904645	response to amyloid-beta	17	4	0.2	4e-05	0.0346142857142857	BP
GO:2000821	regulation of grooming behavior	7	3	0.08	5.6e-05	0.0452293333333333	BP
GO:0048169	regulation of long-term neuronal synapti...	20	4	0.24	8e-05	0.060575	BP
GO:0099505	regulation of presynaptic membrane poten...	9	3	0.11	0.00013	0.067844	BP
GO:0071911	synchronous neurotransmitter secretion	2	2	0.02	0.00014	0.067844	BP
GO:0031283	negative regulation of guanylate cyclase...	2	2	0.02	0.00014	0.067844	BP
GO:1903235	positive regulation of calcium ion-depen...	2	2	0.02	0.00014	0.067844	BP
GO:0071874	cellular response to norepinephrine stim...	2	2	0.02	0.00014	0.067844	BP
GO:0051631	regulation of acetylcholine uptake	2	2	0.02	0.00014	0.067844	BP
GO:1904009	cellular response to monosodium glutamat...	2	2	0.02	0.00014	0.067844	BP
GO:0051951	positive regulation of glutamate uptake ...	2	2	0.02	0.00014	0.067844	BP
GO:0098746	fast, calcium ion-dependent exocytosis o...	2	2	0.02	0.00014	0.067844	BP
GO:0061003	positive regulation of dendritic spine m...	10	3	0.12	0.00019	0.0852537037037037	BP
GO:0034765	regulation of ion transmembrane transpor...	309	18	3.7	0.00019	0.0852537037037037	BP
GO:0048791	calcium ion-regulated exocytosis of neur...	13	5	0.16	0.00024	0.103842857142857	BP
GO:0032225	regulation of synaptic transmission, dop...	12	3	0.14	0.00034	0.142037931034483	BP
GO:0050804	modulation of chemical synaptic transmis...	335	22	4.01	0.00041	0.149655882352941	BP
GO:1901485	positive regulation of transcription fac...	3	2	0.04	0.00042	0.149655882352941	BP
GO:1902268	negative regulation of polyamine transme...	3	2	0.04	0.00042	0.149655882352941	BP
GO:0061833	protein localization to tricellular tigh...	3	2	0.04	0.00042	0.149655882352941	BP
GO:0033603	positive regulation of dopamine secretio...	3	2	0.04	0.00042	0.149655882352941	BP
GO:0050885	neuromuscular process controlling balanc...	32	4	0.38	0.00053	0.183362162162162	BP
GO:0000082	G1/S transition of mitotic cell cycle	120	7	1.44	0.00055	0.183362162162162	BP
GO:0006816	calcium ion transport	243	14	2.91	0.00056	0.183362162162162	BP
GO:0001956	positive regulation of neurotransmitter ...	17	5	0.2	0.00063	0.200853947368421	BP
GO:0050803	regulation of synapse structure or activ...	152	12	1.82	0.00068	0.211235897435897	BP
GO:0007258	JUN phosphorylation	4	2	0.05	0.00084	0.254415	BP
GO:2001235	positive regulation of apoptotic signali...	63	5	0.75	0.00089	0.262022093023256	BP
GO:0050807	regulation of synapse organization	148	10	1.77	0.00091	0.262022093023256	BP
GO:0045956	positive regulation of calcium ion-depen...	19	5	0.23	0.00093	0.262022093023256	BP
GO:1903076	regulation of protein localization to pl...	64	5	0.77	0.00096	0.264327272727273	BP
GO:0098700	neurotransmitter loading into synaptic v...	5	2	0.06	0.00138	0.355717021276596	BP
GO:0106072	negative regulation of adenylate cyclase...	5	2	0.06	0.00138	0.355717021276596	BP
GO:0031584	activation of phospholipase D activity	5	2	0.06	0.00138	0.355717021276596	BP
GO:0007189	adenylate cyclase-activating G protein-c...	115	8	1.38	0.00174	0.43916875	BP
GO:0006596	polyamine biosynthetic process	6	2	0.07	0.00206	0.499138	BP
GO:0071803	positive regulation of podosome assembly	6	2	0.07	0.00206	0.499138	BP
GO:0051260	protein homooligomerization	81	5	0.97	0.00274	0.65088431372549	BP
GO:0033574	response to testosterone	7	2	0.08	0.00286	0.653752830188679	BP
GO:1902514	regulation of calcium ion transmembrane ...	7	2	0.08	0.00286	0.653752830188679	BP
GO:0099003	vesicle-mediated transport in synapse	180	17	2.15	0.00319	0.713919642857143	BP
GO:0051588	regulation of neurotransmitter transport	75	11	0.9	0.00328	0.713919642857143	BP
GO:0031629	synaptic vesicle fusion to presynaptic a...	18	8	0.22	0.0033	0.713919642857143	BP
GO:0032228	regulation of synaptic transmission, GAB...	26	3	0.31	0.00353	0.750279824561404	BP
GO:0006378	mRNA polyadenylation	8	2	0.1	0.00378	0.789563793103448	BP
GO:0008016	regulation of heart contraction	127	6	1.52	0.00402	0.811705	BP
GO:0007626	locomotory behavior	127	6	1.52	0.00402	0.811705	BP
GO:0007212	dopamine receptor signaling pathway	28	3	0.33	0.00437	0.867910655737705	BP
