annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
Lig_chan	8	18	219	32841	1.42103173397411e-13	6.67884914967834e-12
Lig_chan-Glu_bd	8	18	219	32841	1.42103173397411e-13	6.67884914967834e-12
Bravo_FIGEY	4	4	219	32841	1.92410137513161e-09	6.02885097541238e-08
Cation_ATPase_C	5	15	219	32841	3.58278906613559e-08	8.41955430541865e-07
Cation_ATPase_N	5	18	219	32841	1.0056811851833e-07	1.89068062814461e-06
Cation_ATPase	5	26	219	32841	7.39256458157286e-07	9.92715815239784e-06
Ion_trans	8	107	219	32841	6.36545297539331e-07	9.92715815239784e-06
ATP_Ca_trans_C	3	4	219	32841	1.16429512099631e-06	1.21604157081837e-05
Reticulon	3	4	219	32841	1.16429512099631e-06	1.21604157081837e-05
E1-E2_ATPase	5	33	219	32841	2.56780397903047e-06	2.41373574028864e-05
Na_trans_cytopl	3	6	219	32841	5.76420527207548e-06	4.92577541431904e-05
Ig_3	7	113	219	32841	1.1306312091378e-05	8.85661113824608e-05
ANF_receptor	8	167	219	32841	1.75643926193627e-05	0.000127004069709238
EF-hand_7	6	86	219	32841	2.47515380191169e-05	0.000166188898128356
Na_trans_assoc	3	10	219	32841	3.39087156579814e-05	0.00021249461812335
fn3	7	136	219	32841	3.7545598309524e-05	0.000220580390068454
CDK5_activator	2	2	219	32841	4.42671015824557e-05	0.000244771032279461
I-set	7	145	219	32841	5.64572864656402e-05	0.000294832495987232
NMDAR2_C	2	3	219	32841	0.000132216271034806	0.000564924067148718
Synapsin	2	3	219	32841	0.000132216271034806	0.000564924067148718
Synapsin_C	2	3	219	32841	0.000132216271034806	0.000564924067148718
Synapsin_N	2	3	219	32841	0.000132216271034806	0.000564924067148718
C2	6	123	219	32841	0.000182366236430477	0.00074532287932456
4_1_CTD	2	4	219	32841	0.000263268246948616	0.000951815969737305
Hydrolase	3	19	219	32841	0.000261932443495296	0.000951815969737305
SAB	2	4	219	32841	0.000263268246948616	0.000951815969737305
Rad60-SLD	2	5	219	32841	0.000436849489827421	0.0015208834090288
Spectrin	3	23	219	32841	0.000469396109611521	0.00157582979655296
RIIa	2	6	219	32841	0.000652392132105093	0.0021146503592372
cNMP_binding	3	30	219	32841	0.00103972855341619	0.00315272529100392
Pkinase_C	3	30	219	32841	0.00103972855341619	0.00315272529100392
DCX	2	9	219	32841	0.00154519382039063	0.00440146118535513
PH_9	2	9	219	32841	0.00154519382039063	0.00440146118535513
FA	2	13	219	32841	0.00328957732338866	0.00909471377642746
C1_1	3	50	219	32841	0.00455183581926673	0.0122249304860307
BTB_2	3	51	219	32841	0.00481282024148345	0.0125668084083179
CaM_bdg_C0	1	1	219	32841	0.00666849365122912	0.0160727795696292
CNRIP1	1	1	219	32841	0.00666849365122912	0.0160727795696292
KCNQ2_u3	1	1	219	32841	0.00666849365122912	0.0160727795696292
EF-hand_1	2	20	219	32841	0.00777101206897829	0.0178164666947307
Ion_trans_2	2	20	219	32841	0.00777101206897829	0.0178164666947307
FERM_C	2	26	219	32841	0.012948793961826	0.0260315770600463
FERM_N	2	26	219	32841	0.012948793961826	0.0260315770600463
KCNQC3-Ank-G_bd	1	2	219	32841	0.0132927202008747	0.0260315770600463
MitoNEET_N	1	2	219	32841	0.0132927202008747	0.0260315770600463
Pkinase	7	368	219	32841	0.0121328119269515	0.0260315770600463
Potassium_chann	1	2	219	32841	0.0132927202008747	0.0260315770600463
Tiam_CC_Ex	1	2	219	32841	0.0132927202008747	0.0260315770600463
Metallophos	2	29	219	32841	0.0159660338517673	0.0306287180013495
BAT2_N	1	3	219	32841	0.0198729721657948	0.0352464034638624
Na_Ca_ex_C	1	3	219	32841	0.0198729721657948	0.0352464034638624
p25-alpha	1	3	219	32841	0.0198729721657948	0.0352464034638624
zf-CDGSH	1	3	219	32841	0.0198729721657948	0.0352464034638624
Aldolase_II	1	4	219	32841	0.0264095401387433	0.0459721624637383
Y_phosphatase	2	40	219	32841	0.0292440965524299	0.0499808195623348
Hydrolase_3	1	5	219	32841	0.0329027128009722	0.0542606140928314
KCNQ_channel	1	5	219	32841	0.0329027128009722	0.0542606140928314
EFhand_Ca_insen	1	6	219	32841	0.0393527769347459	0.0626976446079003
RBD	1	6	219	32841	0.0393527769347459	0.0626976446079003
Tropomodulin	1	7	219	32841	0.0457600174357754	0.0716906939827148
Cadherin	3	122	219	32841	0.0484845604095679	0.0747139127622849
NHL	1	8	219	32841	0.0521247173255711	0.0790277972355433
ig	2	57	219	32841	0.0556154187358928	0.0829817358916495
Calx-beta	1	9	219	32841	0.0584471577637191	0.0832429216634787
Na_Ca_ex	1	9	219	32841	0.0584471577637191	0.0832429216634787
SLC12	1	9	219	32841	0.0584471577637191	0.0832429216634787
AA_permease	1	10	219	32841	0.0647276180600683	0.0881796535890786
CarboxypepD_reg	1	10	219	32841	0.0647276180600683	0.0881796535890786
Filamin	1	10	219	32841	0.0647276180600683	0.0881796535890786
Laminin_G_3	1	11	219	32841	0.0709663756868496	0.0939554833037164
PAS_9	1	11	219	32841	0.0709663756868496	0.0939554833037164
CH	2	67	219	32841	0.0738245465598997	0.0963820468976468
Xlink	1	14	219	32841	0.089435179959939	0.115163108441565
PG_binding_1	1	21	219	32841	0.131120058979023	0.166557912757137
Peptidase_M10	1	22	219	32841	0.136917886739035	0.16934580728249
Peptidase_M14	1	22	219	32841	0.136917886739035	0.16934580728249
Hemopexin	1	23	219	32841	0.142677202464808	0.174177364047947
PID	1	25	219	32841	0.154081314738484	0.185687738274583
RRM_1	3	219	219	32841	0.180376554193832	0.2137739262651
zf-RING_UBOX	1	30	219	32841	0.18193525639583	0.2137739262651
WW	1	39	219	32841	0.229791375930939	0.266671473302571
FERM_M	1	44	219	32841	0.255163058923105	0.292503994375266
IQ	1	45	219	32841	0.260136662914196	0.294612606191982
Sushi	1	53	219	32841	0.298753519062234	0.334319414188691
Ig_2	1	58	219	32841	0.321863230730129	0.355942866925084
zf-B_box	1	63	219	32841	0.344214720594935	0.376234694603766
EGF	1	65	219	32841	0.352948589504349	0.381346751878262
RhoGEF	1	67	219	32841	0.361566663232423	0.386218935725542
SH3_1	1	107	219	32841	0.511824497565054	0.540578682821518
Lectin_C	1	113	219	32841	0.531097311358845	0.554701636308127
PDZ	1	124	219	32841	0.564484727504777	0.583094114125813
PH	1	176	219	32841	0.692950081410989	0.708014213615575
7tm_1	1	301	219	32841	0.86777170715174	0.877102585723264
V-set	1	533	219	32841	0.972553347522346	0.972553347522346
