GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:1904009	cellular response to monosodium glutamat...	2	2	0.01	1.3e-05	0.0787475	BP
GO:0031283	negative regulation of guanylate cyclase...	2	2	0.01	1.3e-05	0.0787475	BP
GO:0061833	protein localization to tricellular tigh...	3	2	0.01	3.9e-05	0.11812125	BP
GO:1901485	positive regulation of transcription fac...	3	2	0.01	3.9e-05	0.11812125	BP
GO:0007258	JUN phosphorylation	4	2	0.01	7.7e-05	0.186571	BP
GO:0031584	activation of phospholipase D activity	5	2	0.02	0.00013	0.262491666666667	BP
GO:0071803	positive regulation of podosome assembly	6	2	0.02	0.00019	0.328835714285714	BP
GO:0001764	neuron migration	99	4	0.36	0.00043	0.65118125	BP
GO:0051965	positive regulation of synapse assembly	44	3	0.16	0.00053	0.660818181818182	BP
GO:0045762	positive regulation of adenylate cyclase...	10	2	0.04	0.00057	0.660818181818182	BP
GO:0016525	negative regulation of angiogenesis	46	3	0.17	6e-04	0.660818181818182	BP
GO:0090314	positive regulation of protein targeting...	11	2	0.04	7e-04	0.698942307692308	BP
GO:0007189	adenylate cyclase-activating G protein-c...	115	4	0.42	0.00075	0.698942307692308	BP
GO:0031629	synaptic vesicle fusion to presynaptic a...	18	2	0.07	0.00191	1	BP
GO:0099149	regulation of postsynaptic neurotransmit...	21	2	0.08	0.00261	1	BP
GO:0071276	cellular response to cadmium ion	22	2	0.08	0.00286	1	BP
GO:0033173	calcineurin-NFAT signaling cascade	23	2	0.08	0.00313	1	BP
GO:0048278	vesicle docking	24	2	0.09	0.00341	1	BP
GO:1902595	regulation of DNA replication origin bin...	1	1	0	0.00367	1	BP
GO:1903575	cornified envelope assembly	1	1	0	0.00367	1	BP
GO:1902669	positive regulation of axon guidance	1	1	0	0.00367	1	BP
GO:0034352	positive regulation of glial cell apopto...	1	1	0	0.00367	1	BP
GO:1901385	regulation of voltage-gated calcium chan...	29	2	0.11	0.00496	1	BP
