GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0007186	G protein-coupled receptor signaling pat...	577	50	13.32	8.2e-12	1.01188e-07	BP
GO:0007214	gamma-aminobutyric acid signaling pathwa...	26	10	0.6	1.3e-10	8.021e-07	BP
GO:0060124	positive regulation of growth hormone se...	23	8	0.53	2.5e-08	0.000102833333333333	BP
GO:0051932	synaptic transmission, GABAergic	42	11	0.97	4.8e-08	0.00014808	BP
GO:0150099	neuron-glial cell signaling	20	7	0.46	1.9e-07	0.00046892	BP
GO:0007168	receptor guanylyl cyclase signaling path...	8	5	0.18	3.3e-07	0.0006787	BP
GO:0006182	cGMP biosynthetic process	9	5	0.21	7.3e-07	0.00128688571428571	BP
GO:0014049	positive regulation of glutamate secreti...	25	7	0.58	1.1e-06	0.00169675	BP
GO:0007193	adenylate cyclase-inhibiting G protein-c...	64	10	1.48	1.7e-06	0.00233088888888889	BP
GO:0033602	negative regulation of dopamine secretio...	19	6	0.44	3e-06	0.00284769230769231	BP
GO:0007194	negative regulation of adenylate cyclase...	19	6	0.44	3e-06	0.00284769230769231	BP
GO:0014053	negative regulation of gamma-aminobutyri...	19	6	0.44	3e-06	0.00284769230769231	BP
GO:0032811	negative regulation of epinephrine secre...	19	6	0.44	3e-06	0.00284769230769231	BP
GO:0001649	osteoblast differentiation	92	11	2.12	7.8e-06	0.00687514285714286	BP
GO:0050805	negative regulation of synaptic transmis...	65	8	1.5	0.00011	0.0904933333333333	BP
GO:0043117	positive regulation of vascular permeabi...	35	6	0.81	0.00013	0.0943647058823529	BP
GO:1902093	positive regulation of flagellated sperm...	35	6	0.81	0.00013	0.0943647058823529	BP
GO:0070474	positive regulation of uterine smooth mu...	38	6	0.88	0.00021	0.143966666666667	BP
GO:0099502	calcium-dependent activation of synaptic...	6	3	0.14	0.00023	0.14808	BP
GO:0035106	operant conditioning	39	6	0.9	0.00024	0.14808	BP
GO:1902308	regulation of peptidyl-serine dephosphor...	2	2	0.05	0.00053	0.295086956521739	BP
GO:0021604	cranial nerve structural organization	2	2	0.05	0.00053	0.295086956521739	BP
GO:0014057	positive regulation of acetylcholine sec...	30	5	0.69	0.00055	0.295086956521739	BP
GO:0033685	negative regulation of luteinizing hormo...	31	5	0.72	0.00065	0.32084	BP
GO:0070459	prolactin secretion	31	5	0.72	0.00065	0.32084	BP
GO:0001709	cell fate determination	10	3	0.23	0.00129	0.577335714285714	BP
GO:0032930	positive regulation of superoxide anion ...	10	3	0.23	0.00129	0.577335714285714	BP
GO:0007212	dopamine receptor signaling pathway	36	5	0.83	0.00131	0.577335714285714	BP
GO:1903233	regulation of calcium ion-dependent exoc...	3	2	0.07	0.00157	0.644864516129032	BP
GO:0048790	maintenance of presynaptic active zone s...	3	2	0.07	0.00157	0.644864516129032	BP
GO:0008285	negative regulation of cell population p...	331	17	7.64	0.00162	0.644864516129032	BP
GO:0001991	regulation of systemic arterial blood pr...	11	3	0.25	0.00174	0.6709875	BP
GO:0045921	positive regulation of exocytosis	77	7	1.78	0.00192	0.717963636363636	BP
GO:0048168	regulation of neuronal synaptic plastici...	25	4	0.58	0.00238	0.8638	BP
GO:0007266	Rho protein signal transduction	60	6	1.39	0.00249	0.866604545454545	BP
GO:0014059	regulation of dopamine secretion	32	9	0.74	0.00267	0.866604545454545	BP
GO:0001764	neuron migration	82	7	1.89	0.00276	0.866604545454545	BP
GO:0007600	sensory perception	233	13	5.38	0.00282	0.866604545454545	BP
GO:1902254	negative regulation of intrinsic apoptot...	13	3	0.3	0.00292	0.866604545454545	BP
GO:0030073	insulin secretion	130	9	3	0.00307	0.866604545454545	BP
GO:0035235	ionotropic glutamate receptor signaling ...	4	2	0.09	0.00309	0.866604545454545	BP
GO:0033132	negative regulation of glucokinase activ...	4	2	0.09	0.00309	0.866604545454545	BP
GO:0006171	cAMP biosynthetic process	4	2	0.09	0.00309	0.866604545454545	BP
GO:0033864	positive regulation of NAD(P)H oxidase a...	4	2	0.09	0.00309	0.866604545454545	BP
GO:0098742	cell-cell adhesion via plasma-membrane a...	44	5	1.02	0.00325	0.871847826086956	BP
GO:0140056	organelle localization by membrane tethe...	44	5	1.02	0.00325	0.871847826086956	BP
GO:0046578	regulation of Ras protein signal transdu...	85	7	1.96	0.00338	0.887429787234043	BP
GO:0014827	intestine smooth muscle contraction	47	5	1.09	0.00435	1	BP
GO:0002158	osteoclast proliferation	15	3	0.35	0.00449	1	BP
GO:0009187	cyclic nucleotide metabolic process	18	9	0.42	0.00471	1	BP
GO:0007274	neuromuscular synaptic transmission	5	2	0.12	0.00507	1	BP
GO:0010807	regulation of synaptic vesicle priming	5	2	0.12	0.00507	1	BP
GO:0002029	desensitization of G protein-coupled rec...	5	2	0.12	0.00507	1	BP
GO:0048754	branching morphogenesis of an epithelial...	70	6	1.62	0.00539	1	BP
GO:0030855	epithelial cell differentiation	197	11	4.55	0.00583	1	BP
GO:0051480	regulation of cytosolic calcium ion conc...	171	10	3.95	0.00615	1	BP
GO:0090278	negative regulation of peptide hormone s...	51	5	1.18	0.00618	1	BP
