orthogroup	genes_input	genes_output	species_input	species_output	occupancy_output	kept_orthogroup
OG_10	60	40	54	40	0.634920634920635	OG1
OG_10000	68	41	43	41	0.650793650793651	OG0
OG_10003	79	58	58	58	0.920634920634921	OG0
OG_10004	71	62	62	62	0.984126984126984	OG0
OG_10008	35	32	33	32	0.507936507936508	OG1
OG_10009	73	58	63	58	0.920634920634921	OG1
OG_1001	69	61	61	61	0.968253968253968	OG0
OG_10011	66	48	53	48	0.761904761904762	OG2
OG_10013	106	39	39	39	0.619047619047619	OG0
OG_1002	52	47	48	47	0.746031746031746	OG0
OG_10020	100	51	62	51	0.80952380952381	OG1
OG_10022	70	54	58	54	0.857142857142857	OG0
OG_10027	69	51	57	51	0.80952380952381	OG0
OG_10030	81	58	58	58	0.920634920634921	OG0
OG_1004	64	30	32	30	0.476190476190476	OG0
OG_10042	58	36	40	36	0.571428571428571	OG1
OG_10045	85	43	49	43	0.682539682539683	OG2
OG_1005	81	53	55	53	0.841269841269841	OG0
OG_1006	55	47	47	47	0.746031746031746	OG0
OG_10067	67	29	32	29	0.46031746031746	OG0
OG_1007	64	53	56	53	0.841269841269841	OG0
OG_10072	93	31	58	31	0.492063492063492	OG2
OG_1008	49	49	49	49	0.777777777777778	OG0
OG_10083	72	46	56	46	0.73015873015873	OG1
OG_10089	91	48	51	48	0.761904761904762	OG0
OG_1009	68	59	59	59	0.936507936507937	OG0
OG_101	40	22	36	22	0.349206349206349	OG1
OG_1010	68	51	58	51	0.80952380952381	OG0
OG_10103	40	35	35	35	0.555555555555556	OG0
OG_1011	57	52	52	52	0.825396825396825	OG0
OG_10116	50	35	38	35	0.555555555555556	OG0
OG_10117	86	39	46	39	0.619047619047619	OG1
OG_10119	74	39	42	39	0.619047619047619	OG3
OG_1012	97	58	62	58	0.920634920634921	OG0
OG_10127	83	53	54	53	0.841269841269841	OG1
OG_10130	120	54	61	54	0.857142857142857	OG1
OG_1014	64	54	57	54	0.857142857142857	OG0
OG_10146	81	49	53	49	0.777777777777778	OG4
