metacell	broad_cell_type	cell_type
1	Lipophil	Lipophil
2	Lipophil	Lipophil
3	Lipophil	Lipophil
4	Lipophil	Lipophil
5	Lipophil	Lipophil
6	Lipophil	Lipophil
7	Lipophil	Lipophil
8	Lipophil	Lipophil
9	Lipophil	Lipophil
10	Lipophil	Lipophil
11	Lipophil	Lipophil
12	Intermediate	Lipophil_gland_intermediate
13	Gland	Gland
14	Gland	Gland
15	Gland	Gland
16	Gland	Gland
17	Gland	Gland
18	Gland	Gland
19	Gland	Gland
20	Gland	Gland
21	Gland	Gland
22	Fiber	Fiber
23	Fiber	Fiber
24	Fiber	Fiber
25	Fiber	Fiber
26	Epithelial	Epithelial_1
27	Epithelial	Epithelial_1
28	Epithelial	Epithelial_1
29	Epithelial	Epithelial_1
30	Epithelial	Epithelial_1
31	Epithelial	Epithelial_1
32	Epithelial	Epithelial_2
33	Epithelial	Epithelial_3
34		Unknown_1
35		Unknown_2
36	Peptidergic	Peptidergic_1
37		Unknown_3
38		Unknown_3
39	Peptidergic	Peptidergic_2
40	Peptidergic	Peptidergic_3
41	Peptidergic	Peptidergic_4
42	Peptidergic	Peptidergic_5
43	Peptidergic	Peptidergic_6
44	Peptidergic	Peptidergic_7
45	Peptidergic	Peptidergic_8
